City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Prague,Art Deco Imperial Hotel,"Na Porici 15, 110 00 Prague, Prague Region",9.1,"(3,343)",£327total,Booking.com
Prague,Hilton Prague,"Pobrezni 311/1, 186 00 Prague, Prague Region",8.0,"(2,910)",£346total,Booking.com
Prague,Hotel Augustus et Otto,"Smíchov Na Celné 508/3, Prague, Prague Region",8.1,(792),£96total,Booking.com
Prague,Angel City Apartments,Prague 5,9.1,"(1,169)",£216total,Booking.com
Prague,Cosmopolitan Hotel Prague,"Zlatnicka 3, 11000 Prague, Prague Region",9.2,"(2,758)",£311total,Booking.com
Prague,Occidental Praha Wilson,"Václavské Námestí, 59, 110 00 Prague, Prague Region",8.5,(795),£229total,Booking.com
Prague,Prague Castle Apartments Pawlansky,Prague 1,9.3,(166),£357total,Booking.com
Prague,Grand Hotel Bohemia,"Kralodvorska 4, Prague, Prague Region",9.1,"(2,566)",£375total,Booking.com
Prague,NH Collection Carlo IV,"Senovazne Namesti 13, 110 00 Prague, Prague Region",8.8,"(1,784)",£396total,NH Collection Hotels
Prague,Six Continents,Prague 1,9.0,(423),£171total,Hotels.com
