City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Rome,Spanish Hills Collection - Luxury Suites & Jacuzzi,"Via Lombardia,30, 00187 Rome",9.0,(136),£264total,Booking.com
Rome,Unicum Roma Suites,"via Vittorio Spinazzola 3, 00164 Rome",9.3,(111),£301total,Booking.com
Rome,Stasera a casa da M.E.,"Via Tuscolana 268 Scala C Int 4, 181 Rome",9.2,(22),£229total,Booking.com
Rome,Enjoy Your Stay - Trastevere Apt,Historical Center,9.5,(19),£387total,Booking.com
Rome,Rome Winners Home,"Via Appia Nuova 465, 00181 Rome",9.0,(47),£241total,Booking.com
Rome,Hotel Diocleziano,"Via Gaeta 71, 00185 Rome",8.9,(661),£309total,Booking.com
Rome,Farnese House in Rome,Historical Center,9.5,(162),£510total,Booking.com
Rome,Nice Rome Holiday,"7 Via Belisario, 00187 Rome",8.6,(236),£267total,Booking.com
Rome,Hotel Pulitzer Roma,"Viale Guglielmo Marconi, 905, 00146 Rome",8.8,(867),£260total,Hotels.com
Rome,La Fiaba Roma Apartment,Monte Mario,9.1,(30),£298total,Booking.com
