City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Tenerife,Hotel Silken Atlántida Santa Cruz,"Avda. 3 de Mayo, 3, 38005 Santa Cruz de Tenerife, Tenerife",8.5,"(3,596)",£297total,Booking.com
Tenerife,Hotel Taburiente,"C/ Dr Jose Naveiras 24a, 38001 Santa Cruz de Tenerife, Tenerife",8.7,"(2,345)",£291total,Booking.com
Tenerife,Hotel Colón Rambla,"C/ Viera Y Clavijo 49, 38004 Santa Cruz de Tenerife, Tenerife",8.6,"(2,039)",£291total,Booking.com
Tenerife,Vistamar,,8.2,(99),£259total,Booking.com
Tenerife,Urban Anaga Hotel,"Calle Imeldo Seris 19, 38003 Santa Cruz de Tenerife, Tenerife",8.6,"(1,112)",£312total,Booking.com
Tenerife,La Laguna Gran Hotel,"C/ Nava y Grimón, 18, 38201 San Cristóbal de La Laguna, Tenerife",9.0,"(4,271)",£262total,Snaptravel
Tenerife,Dream Flat,,9.0,(69),£155total,Booking.com
Tenerife,Iberostar Heritage Grand Mencey,"Calle Doctor Jose Naveiras, 38, 38004 Santa Cruz de Tenerife, Tenerife",8.9,"(1,943)",£379total,Tripadvisor
Tenerife,Occidental Santa Cruz Contemporáneo,"Rambla De Santa Cruz, 116, 38001 Santa Cruz de Tenerife, Tenerife",8.2,"(2,560)",£264total,Booking.com
Tenerife,Apartamento moderno nucleo Santa Cruz,,9.4,(23),£240total,Booking.com
