City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, ON M5H 1A1",8.8,"(5,378)",£449total,Expedia
Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, ON M5J 1A6",8.3,"(2,929)",£542total,Expedia
Toronto,Radisson Blu Toronto Downtown,"249 Queens Quay West, Toronto, ON M5J 2N5",8.6,"(1,253)",£449total,Booking.com
Toronto,Unique Above Garage Loft,West End,9.1,(11),£442total,Booking.com
Toronto,DoubleTree by Hilton Toronto Downtown,"108 Chestnut Street, Toronto, ON M5G 1R3",7.8,"(3,143)",£379total,Expedia
Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Road, Toronto, ON M9W 1J5",8.4,(273),£344total,Expedia
Toronto,Life Suites Loft - Cn Tower,Downtown,7.5,(390),£446total,Booking.com
Toronto,"Chelsea Hotel, Toronto","33 Gerrard Street West, Toronto, ON M5G 1Z4",7.7,"(5,492)",£345total,Expedia
Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, ON M5H 2M9",8.7,"(1,821)",£545total,Booking.com
Toronto,Simply Comfort - Dundurn Lofts,Downtown,8.2,(264),£559total,Booking.com
