,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
0,Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, ON M5H 1A1",8.8,"(5,378)",£449total,Expedia
1,Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, ON M5J 1A6",8.3,"(2,929)",£542total,Expedia
2,Toronto,Radisson Blu Toronto Downtown,"249 Queens Quay West, Toronto, ON M5J 2N5",8.6,"(1,253)",£449total,Booking.com
3,Toronto,Unique Above Garage Loft,West End,9.1,(11),£442total,Booking.com
4,Toronto,DoubleTree by Hilton Toronto Downtown,"108 Chestnut Street, Toronto, ON M5G 1R3",7.8,"(3,143)",£379total,Expedia
5,Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Road, Toronto, ON M9W 1J5",8.4,(273),£344total,Expedia
6,Toronto,Life Suites Loft - Cn Tower,Downtown,7.5,(390),£446total,Booking.com
7,Toronto,"Chelsea Hotel, Toronto","33 Gerrard Street West, Toronto, ON M5G 1Z4",7.7,"(5,492)",£345total,Expedia
8,Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, ON M5H 2M9",8.7,"(1,821)",£545total,Booking.com
9,Toronto,Simply Comfort - Dundurn Lofts,Downtown,8.2,(264),£559total,Booking.com
10,Dubai,Five Jumeirah Village Dubai,"District 14, Street 1 Jumeirah Village Circle, Dubai",8.9,"(24,394)",£603total,Booking.com
11,Dubai,Five Palm Jumeirah Dubai,"No. 1 The Palm, Dubai",8.9,"(15,756)","£1,447total",Booking.com
12,Dubai,Park Regis Kris Kin Hotel Dubai,"8264 Sheikh Khalifah Bin Zayed ST. Opp Burjuman Centre Dubai City, Dubai 8264",8.2,"(3,490)",£353total,Expedia
13,Dubai,Elite Residence Dubai Marina,,9.0,(6),£590total,Booking.com
14,Dubai,Hilton Dubai Al Habtoor City,"Al Habtoor City, Sheikh Zayed Road, Dubai",8.1,"(1,679)",£574total,Booking.com
15,Dubai,Taj Dubai,"Downtown Burj Khalifa Street, Dubai",9.0,"(5,308)","£1,059total",Booking.com
16,Dubai,Maison Privee - Burj Residence,Downtown Dubai,7.8,(26),"£1,157total",Expedia
17,Dubai,Atlantis The Palm,"1 Crescent Road, Dubai 211222",8.8,"(16,339)","£1,625total",Booking.com
18,Dubai,Dusit Thani Dubai,"133 Sheikh Zayed Road, Dubai",8.3,"(5,921)",£824total,Expedia
19,Dubai,Luton Vacation Homes Grandeur Residence,,9.0,(3),"£1,313total",Expedia
20,Malta,Be.Hotel,"St. George's Bay, St. Julian's STJ 3315",8.5,"(7,300)",£137total,Expedia
21,Malta,Ax The Palace,"High Street, Sliema SLM 1542",8.5,"(1,256)",£262total,Expedia
22,Malta,"19, Luqa Townhouse",,,,£686total,Booking.com
23,Malta,Golden Tulip Vivaldi Hotel,"Dragonara Road, St Julians, Stj 06, St. Julian's",8.2,"(3,980)",£159total,Expedia
24,Malta,The Village Boutique & Spa,"Giuseppe Stivala Alley 1, Naxxar NXR 1412",9.3,(119),£223total,Expedia
25,Malta,Hyatt Regency Malta,"St George's Bay, St. Julian's STJ 3310",9.1,(636),£339total,Booking.com
26,Malta,Maritim Antonine Hotel & Spa Malta,"George Borg Olivier Street, Mellieha MLH 1021",8.3,"(3,376)",£98total,travelup
27,Malta,"Radisson Blu Resort, Malta St Julian's","St. George's Bay, St. Julian's STJ 3391",8.3,(954),£325total,travelup
28,Malta,Holm Boutique & Spa,"Fabri Lane, St. Julian's STJ 1330",8.9,(519),£304total,Expedia
29,Malta,"The Westin Dragonara Resort, Malta","Stj02 Dragonara Road, St. Julians, St. Julian's STJ 3143",8.7,"(1,132)",£359total,Westin
