City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,GreatBased on 255 verified guest reviews,£268total,Expedia
Bali,Hyatt Regency Bali,"Jl Danau Tamblingan 89, Denpasar 80228",9.1,ExcellentBased on 555 verified guest reviews,£255total,Expedia
Bali,Plataran Ubud Hotel & Spa,"Jl. Hanoman, Pengosekan, Ubud, Bali, 80571 Indonesia, Denpasar 80361",9.2,ExcellentBased on 404 verified guest reviews,£356total,Expedia
Bali,Villa Seminyak Estate & Spa - By Astadala,Seminyak,8.8,GreatBased on 3 verified guest reviews,£114total,Hotels.com
Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.3,"ExcellentBased on 1,052 verified guest reviews",£292total,Expedia
Bali,Sagara Villas And Suites,"Jl. Cemara No. 33, Denpasar 80227",8.4,GreatBased on 126 verified guest reviews,£80total,Expedia
Bali,"The Ritz-Carlton, Bali","Jalan Raya Nusa Dua Selaton Lot III, Sawangan, Nusa Dua, Denpasar 80363",8.9,GreatBased on 347 verified guest reviews,£573total,Ritz-Carlton Hotels
Bali,Potato Head Studios at Desa Potato Head,"Jl. Petitenget No.51b, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Denpasar 80361",9.6,ExcellentBased on 84 verified guest reviews,£452total,Hotels.com
Bali,Kubu Gajah Villas,South Denpasar,10.0,ExcellentBased on 1 verified guest review,£418total,Hotels.com
Bali,Hilton Garden Inn Bali Ngurah Rai Airport,"Jalan Airport Ngurah Rai No. 7 Kuta, Denpasar",8.2,"GreatBased on 1,499 verified guest reviews",£74total,Expedia
Bali,Klumpu Bali Resort,"Jl. Kesari, No. 16B, Denpasar 80228",9.6,ExcellentBased on 192 verified guest reviews,£122total,Hotels.com
Bali,Sanur Art Villas,South Denpasar,7.7,GoodBased on 212 verified guest reviews,£58total,Expedia
Bali,Manzelejepun Luxury Villa & Pavilion,"Jl. Sekar Sari, Br. Kesambi, Desa Kertalangu, Denpasar 80237",9.1,ExcellentBased on 109 verified guest reviews,£59total,Hotels.com
Bali,Palm Garden Hotel,"Jl. Kesumasari 3 Sanur, Denpasar 80228",8.0,GreatBased on 209 verified guest reviews,£43total,Hotels.com
Bali,Anna Villa,South Denpasar,9.0,ExcellentBased on 26 verified guest reviews,£178total,Booking.com
Bali,Artotel Sanur Bali,"Jl. Kusuma Sari No.1, Denpasar 80227",9.2,ExcellentBased on 32 verified guest reviews,£110total,Expedia
Bali,Natah Bale Villas,"Jl. Cemara 32, Sanur, Denpasar 80228",8.4,GreatBased on 1 verified guest review,£245total,Hotels.com
Bali,Villa Sayang Taman,South Denpasar,8.7,GreatBased on 9 verified guest reviews,£100total,Booking.com
Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.3,GreatBased on 31 verified guest reviews,£56total,Booking.com
