City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bangkok,Royal Orchid Sheraton Hotel & Towers,"2 Charoen Krung Soi 30, Siphya, Bangkok 10500",8.6,"GreatBased on 2,123 verified guest reviews",£177total,Expedia
Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Bangkok 10600",8.5,"GreatBased on 3,113 verified guest reviews",£215total,Expedia
Bangkok,Avani Atrium Bangkok,"1880 New Petchburi Road, Bangkok 10310",8.4,"GreatBased on 1,813 verified guest reviews",£134total,Expedia
Bangkok,"Sathorn Vista, Bangkok - Marriott Executive Apartments",Sathon,8.9,GreatBased on 171 verified guest reviews,£243total,Marriott Executive Apartments
Bangkok,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Bangkok 10330",8.9,GreatBased on 552 verified guest reviews,£216total,Expedia
Bangkok,Le Méridien Bangkok,"40/5 Surawong Road, Bangkok 10500",8.9,GreatBased on 475 verified guest reviews,£269total,Expedia
Bangkok,Bangkok Two Bedroom Apartment,Sathon,8.0,GreatBased on 92 verified guest reviews,£193total,Expedia
Bangkok,W Bangkok,"106 North Sathorn Road, Silom, Bangrak, Bangkok 10500",9.2,ExcellentBased on 664 verified guest reviews,£319total,W Hotels
Bangkok,Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Bangkok 10110",8.8,"GreatBased on 1,690 verified guest reviews",£257total,Expedia
Bangkok,Mövenpick Residences Ekkamai Bangkok,Watthana,8.1,GreatBased on 147 verified guest reviews,£184total,Hotels.com
Bangkok,So/ Bangkok,"2 North Sathorn Road, Bangkok 10500",8.9,GreatBased on 736 verified guest reviews,£341total,Expedia
Bangkok,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Road Soi 13-15, Klongtoey Nua, Wattana, Bangkok 10110",8.9,GreatBased on 530 verified guest reviews,£239total,Expedia
Bangkok,Somerset Ekamai Bangkok,Watthana,8.6,"GreatBased on 1,176 verified guest reviews",£168total,Expedia
Bangkok,Hansar Bangkok Hotel - Sha Plus,"3 Soi Mahadlekluang 2, Rajdamri Road, Bangkok 10330",8.7,GreatBased on 276 verified guest reviews,£230total,Hotels.com
Bangkok,Grande Centre Point Hotel Terminal 21 - Sha Extra Plus,"2, Sukhumvit Soi 19 (Wattana), Bangkok 10110",8.8,"GreatBased on 1,028 verified guest reviews",£230total,Expedia
Bangkok,"Marriott Executive Apartments Bangkok, Sukhumvit Thonglor",Watthana,9.1,ExcellentBased on 175 verified guest reviews,£351total,Hotels.com
Bangkok,Shangri-La Bangkok,"89 Soi Wat Suan Plu, New Road, Bangkok 10500",8.9,"GreatBased on 1,747 verified guest reviews",£370total,Expedia
Bangkok,The Continent Hotel Bangkok By Compass Hospitality,"413 Sukhumvit Road Klongtoey Nua, Bangkok 10110",8.2,"GreatBased on 1,277 verified guest reviews",£170total,The Continent Hotel Bangkok By Compass Hospitality
Bangkok,Teak Villa,Bang Na,9.4,ExcellentBased on 222 verified guest reviews,£60total,Booking.com
Bangkok,"The Athenee Hotel, a Luxury Collection Hotel, Bangkok","61 Wireless Road (Witthayu), Bangkok 10330",9.0,ExcellentBased on 463 verified guest reviews,£380total,Expedia
