City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Barcelona,Onix Liceo,"Nou de la Rambla, 36, 08001 Barcelona",8.1,"GreatBased on 1,458 verified guest reviews",£218total,Onix Liceo
Barcelona,Eurostars Grand Marina,"Moll De Barcelona S/n, 08039 Barcelona",8.3,"GreatBased on 3,711 verified guest reviews",£512total,Eurostars Grand Marina
Barcelona,Abba Sants Hotel,"Numancia 32, 08029 Barcelona",8.3,"GreatBased on 2,131 verified guest reviews",£234total,Abba Sants Hotel
Barcelona,Sweet Inn - Calabria,Eixample,9.1,ExcellentBased on 75 verified guest reviews,£544total,Booking.com
Barcelona,H10 Art Gallery,"Enric Granados 62-64, 08008 Barcelona",8.7,"GreatBased on 1,397 verified guest reviews",£326total,H10 Art Gallery
Barcelona,Hotel Pulitzer Barcelona,"Bergara 8, 08002 Barcelona",8.9,"GreatBased on 1,346 verified guest reviews",£364total,Hotel Pulitzer Barcelona
Barcelona,Sweet Inn - Rosemarine,Eixample,8.5,GreatBased on 58 verified guest reviews,£491total,Booking.com
Barcelona,Hotel Exe Laietana Palace,"Via Laietana 17, 08003 Barcelona",8.0,"GreatBased on 1,208 verified guest reviews",£281total,Hotel Exe Laietana Palace
Barcelona,H10 Madison,"C/ Dr. Joaquim Pou, 2-4-6, 08002 Barcelona",9.4,"ExcellentBased on 1,502 verified guest reviews",£384total,H10 Madison
Barcelona,Sweet Inn Plaza Espana Fira,Sants-Montjuïc,9.0,ExcellentBased on 30 verified guest reviews,£528total,Booking.com
Barcelona,The Barcelona EDITION,"Avinguda de Francesc Cambo 14, Barcelona",8.9,GreatBased on 126 verified guest reviews,£864total,EDITION
Barcelona,H10 Itaca,"Avenida Roma 22, 08015 Barcelona",8.6,GreatBased on 735 verified guest reviews,£233total,H10 Itaca
Barcelona,Ripoll Apartments,Ciutat Vella,8.7,GreatBased on 46 verified guest reviews,£502total,Sembo
Barcelona,AC Hotel Irla by Marriott,"Carrer De Calvet, 40-42, 08021 Barcelona",8.0,GreatBased on 57 verified guest reviews,£362total,AC Hotels
Barcelona,Exe Plaza Catalunya,"Ronda de la Universitat 18, 08007 Barcelona",8.7,"GreatBased on 2,401 verified guest reviews",£319total,Exe Plaza Catalunya
Barcelona,My Space Barcelona Pool City Center,Eixample,6.1,OkayBased on 40 verified guest reviews,£369total,Booking.com
Barcelona,Exe Cristal Palace,"Diputacio 257, 08007 Barcelona",8.0,"GreatBased on 2,132 verified guest reviews",£271total,Exe Cristal Palace
Barcelona,Arenas Atiram Hotel,"Carrer Del Capita Arenas, 20, 08034 Barcelona",8.0,"GreatBased on 1,242 verified guest reviews",£252total,Arenas Atiram Hotel
Barcelona,Private Pool Garden Apartments,Sarria-Sant Gervasi,8.0,GreatBased on 9 verified guest reviews,£595total,Booking.com
Barcelona,Hotel Arts Barcelona,"Marina 19-21, 08005 Barcelona",8.4,"GreatBased on 1,549 verified guest reviews",£882total,Ritz-Carlton Hotels
