City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Belfast,The Fitzwilliam Hotel Belfast,"1-3 Great Victoria Street, Belfast, BT3 7HR",9.1,"ExcellentBased on 3,321 verified guest reviews",£684total,Preferred Hotels & Resorts
Belfast,The Flint,"48 Howard Street, Belfast, BT2 7GE",9.3,"ExcellentBased on 4,188 verified guest reviews",£475total,Expedia
Belfast,Holiday Inn Belfast City Centre,"40 Hope Street, Belfast",8.6,"GreatBased on 4,369 verified guest reviews",£362total,Expedia
Belfast,Central Belfast Apartments: Salisbury,Belfast City Centre,8.7,GreatBased on 123 verified guest reviews,£395total,Expedia
Belfast,Clayton Hotel Belfast,"22-26 Ormeau Avenue, Belfast, BT2 8HS",8.1,"GreatBased on 3,357 verified guest reviews",£439total,Expedia
Belfast,Maldron Hotel Belfast City,"20 Brunswick Street, Belfast, BT2 7GE",8.7,"GreatBased on 4,738 verified guest reviews",£432total,Expedia
Belfast,Central Belfast Apartments: Alfred Street,Belfast City Centre,9.1,ExcellentBased on 47 verified guest reviews,£434total,Hotels.com
Belfast,Lwr Ormeau Guest House,"144 Ormeau Road, Belfast, BT7 1LU",8.0,GreatBased on 494 verified guest reviews,£239total,Booking.com
Belfast,Malmaison Belfast,"34-38 Victoria Street, Belfast, BT1 3GH",8.1,"GreatBased on 1,730 verified guest reviews",£512total,Expedia
Belfast,Central Belfast Apartments: Eden,Belfast City Centre,8.8,GreatBased on 93 verified guest reviews,£436total,Expedia
Belfast,Wellesley Guest Accommodation,"108 Wellesley Avenue, Belfast, BT9 6ND",8.6,GreatBased on 260 verified guest reviews,£152total,Expedia
Belfast,Hilton Belfast,"4 Lanyon Place, Belfast, BT1 3LP",8.5,"GreatBased on 4,139 verified guest reviews",£576total,Expedia
Belfast,Ebor Cosy Homli Parking Wifi Smart,Blackstaff,8.8,GreatBased on 5 verified guest reviews,£412total,Expedia
Belfast,Crowne Plaza Belfast,"117 Milltown Road, Belfast, BT8 7XP",8.4,"GreatBased on 3,387 verified guest reviews",£463total,Expedia
Belfast,Jurys Inn Belfast,"bt27ap Fisherwick Place,Great Victoria Street Belfast, Belfast, BT2 7AP",8.2,"GreatBased on 9,838 verified guest reviews",£329total,FINDHOTEL
Belfast,Central Belfast Apartments: Victoria,Belfast City Centre,8.9,GreatBased on 77 verified guest reviews,£457total,Expedia
Belfast,AC Hotel by Marriott Belfast,"Donegall Quay, Belfast Harbour, Belfast, BT1 3FE",8.6,"GreatBased on 2,621 verified guest reviews",£499total,Expedia
Belfast,Europa Hotel,"Great Victoria Street, Belfast, BT2 7AP",8.6,"GreatBased on 2,742 verified guest reviews",£511total,Booking.com
Belfast,Central Belfast Apartments Sandford,Ballymacarrett,9.4,ExcellentBased on 46 verified guest reviews,£457total,Hotels.com
Belfast,Citi North,"41 Cliftonville Road, Belfast, BT14 6JN",8.9,GreatBased on 823 verified guest reviews,£340total,Booking.com
