City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"GreatBased on 8,734 verified guest reviews",£246total,Expedia
Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"GreatBased on 2,873 verified guest reviews",£244total,Expedia
Berlin,Scandic Berlin Potsdamer Platz,"Gabriele-Tergit-Promenade 19, 10963 Berlin",8.5,"GreatBased on 11,252 verified guest reviews",£256total,Expedia
Berlin,Limehome Berlin Malmöer Straße,Pankow,7.9,GoodBased on 381 verified guest reviews,£265total,Expedia
Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.2,"GreatBased on 2,192 verified guest reviews",£205total,Expedia
Berlin,Sheraton Berlin Grand Hotel Esplanade,"Lützowufer 15, 10785 Berlin",8.2,"GreatBased on 1,975 verified guest reviews",£391total,Expedia
Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"GreatBased on 1,560 verified guest reviews",£339total,Expedia
Berlin,Leonardo Hotel Berlin Mitte,"Bertolt-Brecht-Platz 4, 10117 Berlin",8.2,"GreatBased on 9,426 verified guest reviews",£265total,Expedia
Berlin,Select Hotel Berlin The Wall,"Zimmerstrasse 88, 10117 Berlin",8.7,"GreatBased on 2,088 verified guest reviews",£196total,Expedia
Berlin,Mondrian Suites Berlin Checkpoint Charlie,Kreuzberg,8.5,"GreatBased on 2,793 verified guest reviews",£238total,Expedia
Berlin,Intercityhotel Berlin Hauptbahnhof,"Katharina Paulus Strasse 5, 10557 Berlin",8.3,"GreatBased on 9,681 verified guest reviews",£248total,Expedia
Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"GreatBased on 4,990 verified guest reviews",£416total,Expedia
Berlin,Adapt Apartments Berlin,Treptow-Köpenick,8.7,"GreatBased on 1,048 verified guest reviews",£293total,Booking.com
Berlin,Hotel Indigo Berlin - KU'Damm,"Hardenbergstrasse 15, 10623 Berlin",8.6,GreatBased on 804 verified guest reviews,£234total,Expedia
Berlin,The Student Hotel Berlin,"Alexanderstrasse 40, 10179 Berlin",8.7,"GreatBased on 1,800 verified guest reviews",£294total,Expedia
Berlin,FeWo in Köpenick,Treptow-Köpenick,9.0,ExcellentBased on 32 verified guest reviews,£172total,Booking.com
Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.4,"GreatBased on 1,672 verified guest reviews",£325total,Expedia
Berlin,Hotel Bristol Berlin,"Kurfuerstendamm 27, 10719 Berlin",8.1,"GreatBased on 3,454 verified guest reviews",£392total,Expedia
Berlin,4 Sterne Souterrain Appartment Alt-Mariendorf,Mariendorf,9.5,ExcellentBased on 54 verified guest reviews,£318total,Booking.com
Berlin,H10 Berlin Ku'damm,"Joachimsthaler Strasse 31-32, 10719 Berlin",8.4,"GreatBased on 4,506 verified guest reviews",£290total,Expedia
