City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dalaman,Otantik Tas Ev,"Güzelyurt Mahallesi Kemalsahin Bulvari, no 353, Dalaman 48600",,,£108total,Expedia
Dalaman,Alibaba Airport Hotel,"Karacali Mahallesi Kanalbasi Sokak, No:25/1, Dalaman 48770",8.5,GreatBased on 12 verified guest reviews,£118total,Expedia
Dalaman,Dalaman Airport Lykia Thermal & Spa Hotel,"Havaalani Yolu 3. km Kenan Evren, Dalaman 48770",7.2,GoodBased on 411 verified guest reviews,£118total,lastminute.com
Dalaman,Dalaman Villa Karya,,9.0,ExcellentBased on 3 verified guest reviews,£579total,Booking.com
Dalaman,Thermemaris Thermal & Spa Resort,"Incebel Mevkii, Dalaman 48770",,,£200total,lastminute.com
Dalaman,Hotel Sevgi 2,"Sarigerme, No. 248, Sarigerme 48100",,,£121total,Expedia
Dalaman,AliBaba Villa Near Airport and Beach,,7.5,GoodBased on 15 verified guest reviews,£139total,Booking.com
Dalaman,Dalyan Live Spa Hotel,"Dalyan Mah., Maras Cd. No:26, Ortaca 48600",8.9,GreatBased on 83 verified guest reviews,£218total,Expedia
Dalaman,Hotel Dalyance,"Gülpinar Cd., Ortaca 48600",9.4,ExcellentBased on 2 verified guest reviews,£204total,Expedia
Dalaman,Dalaman Airport Daltur Aparts,,9.0,ExcellentBased on 16 verified guest reviews,£128total,Booking.com
Dalaman,Vespera hotel,"Tufan Caddesi No:4, Ortaca 48600",,,£181total,Booking.com
Dalaman,Zigo's Hotel - Special Class,"Guzelyurt Mahallesi, 1753 Sokak No:14, Ortaca 48600",9.4,ExcellentBased on 30 verified guest reviews,£407total,Booking.com
Dalaman,Dalaman Airport Guesthouse,,9.6,ExcellentBased on 267 verified guest reviews,£111total,Expedia
Dalaman,Ozalp Han Hotel,"Terzialiler, Ataturk Blv. No:151, Ortaca 48600",,,£97total,Expedia
Dalaman,Dalaman Airport Alibaba Place,,8.5,GreatBased on 45 verified guest reviews,£150total,Booking.com
Dalaman,Isil Suite,"Mah. 207 Sk., B-14, Zemin No. 3, Ortaca 48840",8.9,GreatBased on 38 verified guest reviews,£97total,Booking.com
Dalaman,Hotel Caktug,"Merkez Mah. Ataturk Cad. No 37, Dalaman 48770",,,£151total,Expedia
Dalaman,"Villa Kiara 6km to Airport,5 minutes to the center by walk",,,,£104total,Booking.com
Dalaman,Sirman Suite Boutique Hotel,"Psilis Mevkii No:364, Sarigerme 88600",,,£154total,Expedia
