City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dubai,Dusit Thani Dubai,"133 Sheikh Zayed Road, Dubai",8.3,"GreatBased on 6,002 verified guest reviews",£811total,Dusit Thani Dubai
Dubai,Al Bandar Rotana - Creek,"Baniyas Street 1, Dubai 4080",8.8,"GreatBased on 3,823 verified guest reviews",£429total,Al Bandar Rotana - Creek
Dubai,Shangri-La Dubai,"Sheikh Zayed Road P.O. Box 75880, Dubai 0",8.8,"GreatBased on 3,024 verified guest reviews",£902total,Shangri-La
Dubai,Mon Reve - Higuests,Downtown Dubai,6.8,OkayBased on 26 verified guest reviews,£563total,Expedia
Dubai,Al Bandar Arjaan by Rotana - Creek,"Baniyas Street, Deira, Dubai, 18, Dubai",8.8,"GreatBased on 1,100 verified guest reviews",£439total,Al Bandar Arjaan by Rotana - Creek
Dubai,Armani Hotel Dubai,"Burj Khalifa Tower, Dubai 888333",8.9,"GreatBased on 1,636 verified guest reviews","£2,002total",Armani Hotel Dubai
Dubai,Luton Vacation Homes Grandeur Residence,,9.0,ExcellentBased on 3 verified guest reviews,£701total,Expedia
Dubai,Address Beach Resort,"The Walk, Jumeirah Beach Residences, Dubai",8.8,GreatBased on 889 verified guest reviews,"£2,002total",Address Beach Resort
Dubai,Amwaj Rotana Jumeirah Beach,"Jumeirah Beach Residence, 86834, Dubai 86834",8.3,"GreatBased on 3,833 verified guest reviews",£871total,Amwaj Rotana Jumeirah Beach
Dubai,Roda Amwaj Suites,Dubai Marina,8.1,"GreatBased on 8,534 verified guest reviews",£751total,Roda Amwaj Suites
Dubai,Al Jaddaf Rotana Suite Hotel,"Al Jadaf Street, Behind Latifa Hospital, Al Jadaf - Dubai Al Jadaf Street, Behind Latifa Hospital, Al Jadaf - Dubai, Dubai",9.0,ExcellentBased on 834 verified guest reviews,£562total,Al Jaddaf Rotana Suite Hotel
Dubai,"Habtoor Grand Resort, Autograph Collection","Al Falea Street, Jumeirah Beach, 24454, Dubái, Dubai",8.1,"GreatBased on 3,543 verified guest reviews",£971total,Autograph Collection
Dubai,Higuests Vacation Homes - Sparkle Towers 1,Dubai Marina,8.5,GreatBased on 32 verified guest reviews,£685total,Expedia
Dubai,"La Ville Hotel & Suites City Walk, Dubai, Autograph Collection","Al Multaqa Street, Post Office Box 414433, Dubai",9.0,"ExcellentBased on 1,070 verified guest reviews","£1,083total",Autograph Collection
Dubai,The Westin Dubai Mina Seyahi Beach Resort & Marina,"Dubai Marina, PO Box 213084, Dubai",8.8,"GreatBased on 1,222 verified guest reviews","£1,525total",Westin
Dubai,Fantastay Botanica Towers,Dubai Marina,6.6,OkayBased on 7 verified guest reviews,"£1,228total",Expedia
Dubai,Le Méridien Mina Seyahi Beach Resort & Waterpark,"Dubai Marina, PO Box 213084, Dubai",8.1,"GreatBased on 1,730 verified guest reviews","£1,427total",Le Meridien
Dubai,Rose Rayhaan by Rotana,"Sheikh Zayed Road, Trade Center 2,P.O. Box 126452, Dubai 126452",8.5,"GreatBased on 5,911 verified guest reviews",£480total,Rose Rayhaan by Rotana
Dubai,Lux Bnb 1bdr Burj Khalifa & Sea Views,Downtown Dubai,7.7,GoodBased on 19 verified guest reviews,£882total,Expedia
Dubai,"Sheraton Mall of the Emirates Hotel, Dubai","Sheikh Zayed Road, Al Barsha 1, Dubai 283825",8.7,"GreatBased on 2,524 verified guest reviews",£659total,Sheraton
