City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Edinburgh,The Bonham Hotel,"35 Drumsheugh Gardens, Edinburgh, EH3 7RN",9.1,"ExcellentBased on 1,087 verified guest reviews",£658total,Expedia
Edinburgh,Radisson Collection Hotel Royal Mile Edinburgh,"1 George IV Bridge, Edinburgh, EH1 1AD",8.5,"GreatBased on 1,714 verified guest reviews",£667total,Expedia
Edinburgh,The Glasshouse Autograph Collection,"2 Greenside Place, Edinburgh, EH1 3AA",8.7,GreatBased on 656 verified guest reviews,£594total,Autograph Collection
Edinburgh,Braid Apartments by Mansley,New Town,9.3,ExcellentBased on 617 verified guest reviews,£486total,Expedia
Edinburgh,Courtyard by Marriott Edinburgh,"1-3 Baxters Place, Edinburgh, EH1 3AF",8.5,"GreatBased on 4,496 verified guest reviews",£368total,Expedia
Edinburgh,Intercontinental Edinburgh The George,"19-21 George Street, Edinburgh, EH2 2PB",8.8,"GreatBased on 2,163 verified guest reviews",£721total,Expedia
Edinburgh,A Stay On The Brae,South,9.7,ExcellentBased on 24 verified guest reviews,£346total,Expedia
Edinburgh,Leonardo Royal Edinburgh Haymarket,"1 Morrison Link, Edinburgh, EH3 8DN",7.9,"GoodBased on 12,083 verified guest reviews",£391total,Expedia
Edinburgh,Kew House,"1 Kew Terrace, Edinburgh, EH12 5JE",9.7,ExcellentBased on 1 verified guest review,£500total,Expedia
Edinburgh,Stylish Apartment,Leith,9.0,ExcellentBased on 121 verified guest reviews,£580total,Expedia
Edinburgh,Antler Guest House,"58 Pilrig Street, Edinburgh, EH6 4BS",9.4,ExcellentBased on 239 verified guest reviews,£279total,Expedia
Edinburgh,Bruntsfield Hotel,"69-74 Bruntsfield Place, Edinburgh, EH10 4HH",8.4,"GreatBased on 1,589 verified guest reviews",£343total,Expedia
Edinburgh,Amazing Apartments - Annandale Street,,8.9,GreatBased on 67 verified guest reviews,£538total,Expedia
Edinburgh,Novotel Edinburgh Centre,"80 Lauriston Place, Edinburgh, EH3 9DE",8.0,"GreatBased on 4,835 verified guest reviews",£337total,Expedia
Edinburgh,"Sheraton Grand Hotel & Spa, Edinburgh","1 Festival Square, Edinburgh, EH3 9SR",8.7,"GreatBased on 2,427 verified guest reviews","£1,156total",Expedia
Edinburgh,City Padzzz,Leith,8.3,GreatBased on 3 verified guest reviews,£506total,Expedia
Edinburgh,Hotel Indigo Edinburgh - Princes Street,"20 Princes Street, Edinburgh, EH2 2AN",8.3,"GreatBased on 2,045 verified guest reviews",£583total,Expedia
Edinburgh,Cheval The Edinburgh Grand,"42 St Andrew Square, Edinburgh, EH2 2AD",9.3,"ExcellentBased on 1,100 verified guest reviews",£833total,Expedia
Edinburgh,Cosy Home with Views of Arthur's Seat,East,9.3,ExcellentBased on 5 verified guest reviews,£528total,Expedia
Edinburgh,Eden Locke,"127 George Street, Edinburgh, EH2 4JN",9.2,"ExcellentBased on 1,624 verified guest reviews",£529total,Expedia
