City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Hong Kong,Royal Plaza Hotel,"193 Prince Edward Road West, Hong Kong 610012",8.5,"GreatBased on 6,048 verified guest reviews",£333total,Expedia
Hong Kong,Hyatt Centric Victoria Harbour Hong Kong,"1 North Point Estate Lane, Hong Kong",8.2,"GreatBased on 2,659 verified guest reviews",£242total,Expedia
Hong Kong,"Cordis, Hong Kong","555 Shanghai Street, Hong Kong",9.0,"ExcellentBased on 2,894 verified guest reviews",£343total,"Cordis, Hong Kong"
Hong Kong,"Deal! 3 Bedr, 4 Beds, 2 Bath, Best Location, Kowloon, Ymt Mtr Station",Yau Tsim Mong District,,,£704total,Booking.com
Hong Kong,"Kowloon Shangri-La, Hong Kong","64 Mody Road, Hong Kong",8.9,"GreatBased on 1,767 verified guest reviews",£393total,Shangri-La
Hong Kong,New World Millennium Hong Kong Hotel,"72 Mody Road, Hong Kong",8.5,"GreatBased on 1,444 verified guest reviews",£327total,Expedia
Hong Kong,Sea View Holiday House,Islands District,6.7,OkayBased on 407 verified guest reviews,£145total,Booking.com
Hong Kong,Intercontinental Grand Stanford Hong Kong,"70 Mody Road, Hong Kong",8.6,"GreatBased on 1,277 verified guest reviews",£333total,Expedia
Hong Kong,The Mira Hong Kong Hotel,"Mira Place, 118-130 Nathan Road, Hong Kong",8.3,GreatBased on 972 verified guest reviews,£320total,The Mira Hong Kong Hotel
Hong Kong,"Tai O Inn, by the Sea",Islands District,7.6,GoodBased on 160 verified guest reviews,£322total,Booking.com
Hong Kong,Harbour Grand Kowloon,"20 Tak Fung Street, Hong Kong",8.2,"GreatBased on 1,486 verified guest reviews",£342total,Expedia
Hong Kong,Hyatt Regency Hong Kong Tsim Sha Tsui,"18 Hanoi Road, Tsim Sha Tsui, Hong Kong",8.6,"GreatBased on 1,217 verified guest reviews",£351total,Expedia
Hong Kong,Shama Central,Central and Western District,7.9,GoodBased on 71 verified guest reviews,£426total,Agoda.com
Hong Kong,Nathan Hotel,"378 Nathan Road, Hong Kong",8.4,"GreatBased on 2,652 verified guest reviews",£213total,Expedia
Hong Kong,Sheraton Hong Kong Hotel & Towers,"20 Nathan Road, Hong Kong",8.3,GreatBased on 953 verified guest reviews,£382total,Expedia
Hong Kong,CM+ Hotels And Serviced Apartments,Central and Western District,8.7,GreatBased on 58 verified guest reviews,£531total,lastminute.com
Hong Kong,Stanford Hillview Hotel,"13-17 Observatory Rd On Knutsford, Hong Kong",8.1,"GreatBased on 1,498 verified guest reviews",£144total,Expedia
Hong Kong,OZO Wesley Hong Kong,"22 Hennessy Road, Wanchai, Hong Kong",8.5,"GreatBased on 1,710 verified guest reviews",£194total,OZO Hotels
Hong Kong,218 Apartment,Wan Chai District,8.3,GreatBased on 81 verified guest reviews,£138total,Agoda.com
Hong Kong,Hilton Garden Inn Hong Kong Mongkok,"2 Soy Street, Hong Kong",8.0,GreatBased on 898 verified guest reviews,£199total,Expedia
