City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Lisbon,Casa Do Mercado Lisboa By LX Talc,"Rua Da Boavista 10, 1200-379 Lisbon, Lisbon District",8.9,GreatBased on 315 verified guest reviews,£216total,Booking.com
Lisbon,Maxime Hotel,"Praça da Alegria, 58, 1250-004 Lisbon, Lisbon District",9.0,"ExcellentBased on 2,378 verified guest reviews",£295total,Expedia
Lisbon,Iberostar Selection Lisboa,"Rua Castilho 64, 1250-071 Lisbon, Lisbon District",8.6,GreatBased on 946 verified guest reviews,£461total,Expedia
Lisbon,Lis Apartments,Arroios,8.8,GreatBased on 141 verified guest reviews,£275total,Hotels.com
Lisbon,Hotel Alif Avenidas,"Avenida Duque D'Avila, 189, 1050-082 Lisbon, Lisbon District",8.3,"GreatBased on 2,498 verified guest reviews",£197total,Expedia
Lisbon,Ramada by Wyndham Lisbon,"Avenida Engenheiro Arantes E Oliveira 9, 1900-221 Lisbon, Lisbon District",8.3,"GreatBased on 2,341 verified guest reviews",£201total,Hotels.com
Lisbon,Villa Baixa - Lisbon Luxury Apartments,Baixa,9.5,ExcellentBased on 972 verified guest reviews,£384total,Expedia
Lisbon,Jupiter Lisboa Hotel,"Avenida da Republica, 46, 1050-195 Lisbon, Lisbon District",8.9,"GreatBased on 3,421 verified guest reviews",£263total,Expedia
Lisbon,Lutecia Smart Design Hotel,"Avenida Frei Miguel Contreiras, 52, 1749-086 Lisbon, Lisbon District",8.4,"GreatBased on 5,153 verified guest reviews",£203total,Expedia
Lisbon,LX Factory Apartment,Alcântara,8.8,GreatBased on 28 verified guest reviews,£215total,Expedia
Lisbon,Lisbon Wine Hotel,"Rua Portas de Santo Antão 88, 1150-266 Lisbon, Lisbon District",9.3,ExcellentBased on 898 verified guest reviews,£260total,Expedia
Lisbon,Corinthia Lisbon,"Avenida Columbano Bordalo Pinheiro, 105, 1099-031 Lisbon, Lisbon District",8.9,"GreatBased on 2,365 verified guest reviews",£481total,Expedia
Lisbon,Graca Heartwarming Flat,São Vicente,9.6,ExcellentBased on 5 verified guest reviews,£307total,Hotels.com
Lisbon,Esqina Urban Lodge,"Rua dos Sapateiros 92, 1100-054 Lisbon, Lisbon District",8.7,GreatBased on 354 verified guest reviews,£256total,Expedia
Lisbon,Quinta Colina by Shiadu,"Calçada Santana, 200, 1150 Lisbon, Lisbon District",9.0,"ExcellentBased on 1,061 verified guest reviews",£271total,Expedia
Lisbon,Morgan-Jupiter Apartments,Santo António,8.3,GreatBased on 58 verified guest reviews,£292total,Expedia
Lisbon,Hotel da Estrela - Small Luxury Hotels of the World - member of Unlock Hotels,"Rua Saraiva De Carvalho 35, 1250-242 Lisbon, Lisbon District",8.6,GreatBased on 377 verified guest reviews,£249total,Expedia
Lisbon,Lux Lisboa Park,"Rua Padre Antonio Vieira, 32, 1070-197 Lisbon, Lisbon District",8.9,"GreatBased on 6,385 verified guest reviews",£451total,Lux Lisboa Park
Lisbon,Stay in the heart of Lisbon - Altis Suites,Santo António,8.5,GreatBased on 41 verified guest reviews,£265total,Booking.com
Lisbon,Rossio Boutique Hotel,"Rua Barros Queirós, 31, 1100-076 Lisbon, Lisbon District",8.4,"GreatBased on 2,552 verified guest reviews",£232total,Expedia
