City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
London,Montcalm Royal London House-City of London,"22-25 Finsbury Square, London, EC2A 1DX",8.6,"GreatBased on 7,991 verified guest reviews",£810total,Montcalm Royal London House-City of London
London,The Montcalm at the Brewery London City,"52 Chiswell Street, London, EC1Y 4SB",8.0,"GreatBased on 2,814 verified guest reviews",£642total,The Montcalm at the Brewery London City
London,"Radisson Blu Edwardian Hampshire Hotel, London","31-36 Leicester Square, London, WC2H 7LH",8.8,"GreatBased on 2,493 verified guest reviews","£1,044total","Radisson Blu Edwardian Hampshire Hotel, London"
London,The Z Hotel Trafalgar,"53-59 Chandos Place, London, WC2N 4HS",8.8,"GreatBased on 4,338 verified guest reviews",£380total,Z Hotels
London,The Z Hotel Gloucester Place,"51 Gloucester Place, London, W1U 8JF",8.4,"GreatBased on 3,682 verified guest reviews",£360total,The Z Hotel Gloucester Place
London,Studios 2 Let Serviced Apartments - Cartwright Gardens,Camden,7.9,"GoodBased on 6,457 verified guest reviews",£292total,Studios 2 Let Serviced Apartments - Cartwright Gardens
London,Park Grand London Lancaster Gate,"14-16 Craven Hill, Lancaster Gate, London, W2 3DU",7.7,"GoodBased on 1,167 verified guest reviews",£461total,Park Grand London Lancaster Gate
London,The Barbican Rooms,"42-46 Chiswell Street, London, EC1Y 4SD",8.2,"GreatBased on 1,734 verified guest reviews",£566total,The Barbican Rooms
London,So Sienna,Hammersmith and Fulham,6.6,OkayBased on 865 verified guest reviews,£233total,Expedia
London,Royal Lancaster London,"Lancaster Terrace, London, W2 2TY",9.1,"ExcellentBased on 2,402 verified guest reviews",£877total,Royal Lancaster London
London,The Lodge Hotel - Putney,"52-54 Upper Richmond Road, London",8.8,"GreatBased on 1,556 verified guest reviews",£399total,The Lodge Hotel - Putney
London,The Knaresborough by Aura Collection,Kensington and Chelsea,7.9,GoodBased on 225 verified guest reviews,£375total,Expedia
London,The Z Hotel City,"24 Fleet Street, London, EC4Y 1AA",8.3,"GreatBased on 5,303 verified guest reviews",£310total,The Z Hotel City
London,Dorsett City London,"9 Aldgate High Street, London, EC3N 1AH",8.3,"GreatBased on 5,334 verified guest reviews",£638total,Dorsett City London
London,Park Lane Apartments - Clarges St,Mayfair,7.8,GoodBased on 513 verified guest reviews,£800total,Expedia
London,Millennium & Copthorne Hotels At Chelsea Football Club,"Stamford Bridge, London, SW6 1HS",8.0,"GreatBased on 3,400 verified guest reviews",£405total,Millennium & Copthorne Hotels At Chelsea Football Club
London,Dolphin House Serviced Apartments,"Dolphin Square, London, SW1V 3LX",8.4,"GreatBased on 2,253 verified guest reviews",£430total,Dolphin House Serviced Apartments
London,Citadines Barbican London,"7-21 Goswell Road, London, EC1M 7AH",8.4,"GreatBased on 1,377 verified guest reviews",£389total,Citadines Barbican London
