City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Los Angeles,The Westin Los Angeles Airport,"5400 West Century Boulevard, Los Angeles, CA 90045",8.1,"GreatBased on 2,219 verified guest reviews","£1,739total",Westin
Los Angeles,citizenM Los Angeles Downtown,"361 South Spring Street, Los Angeles, CA 90013",8.8,GreatBased on 354 verified guest reviews,"£1,791total",Expedia
Los Angeles,Kimpton Everly Hotel,"1800 Argyle Avenue, Los Angeles, CA 90028",8.6,"GreatBased on 1,130 verified guest reviews","£2,036total",Expedia
Los Angeles,Prime location three bedroom beautiful villa,Beverly Grove,9.3,ExcellentBased on 25 verified guest reviews,"£1,414total",Booking.com
Los Angeles,Mama Shelter Los Angeles,"6500 Selma Avenue, Los Angeles, CA 90028",8.5,GreatBased on 359 verified guest reviews,"£2,083total",Expedia
Los Angeles,The Garland,"4222 Vineland Avenue, Los Angeles, CA 91602",8.8,"GreatBased on 1,134 verified guest reviews","£1,962total",Expedia
Los Angeles,"10min To Dtla + Hollywood, Silverlake + Echo Park",Central Los Angeles,8.6,GreatBased on 5 verified guest reviews,"£1,562total",Booking.com
Los Angeles,Renaissance Los Angeles Airport Hotel,"9620 Airport Boulevard, Los Angeles, CA 90045",8.2,"GreatBased on 1,626 verified guest reviews","£1,566total",Renaissance
Los Angeles,The Godfrey Hotel Hollywood,"1400 Cahuenga Boulevard, Los Angeles, CA 90028",8.4,GreatBased on 109 verified guest reviews,"£1,890total",Expedia
Los Angeles,Ginosi Metropolitan Apartel,Hollywood,6.7,OkayBased on 15 verified guest reviews,£517total,Ginosi Metropolitan Apartel
Los Angeles,Silver Lake Pool & Inn,"4141 Santa Monica Boulevard, Los Angeles, CA 90026",8.9,GreatBased on 142 verified guest reviews,"£2,937total",Expedia
Los Angeles,4 Hight Loft Marina de Lux,,10.0,ExcellentBased on 3 verified guest reviews,"£1,826total",Booking.com
Los Angeles,Loews Hollywood Hotel,"1755 North Highland Avenue, Los Angeles, CA 90028",8.6,"GreatBased on 1,986 verified guest reviews","£2,620total",Booking.com
Los Angeles,Friendship Motor Inn,"1148 Crenshaw Boulevard, Los Angeles, CA 90019",8.4,"GreatBased on 1,470 verified guest reviews",£578total,Hotels.com
Los Angeles,Oceana Los Angeles,Mid-City,7.3,GoodBased on 95 verified guest reviews,£410total,Booking.com
Los Angeles,Modern Pool House at the Heart of LA,,9.5,ExcellentBased on 2 verified guest reviews,"£1,354total",Booking.com
Los Angeles,The Shay,"8801 Washington Blvd, Los Angeles, CA 90232",9.5,ExcellentBased on 8 verified guest reviews,"£3,465total",Hotels.com
