City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Murcia,Hotel Nelva,"Avenida Primero De Mayo, 5, 30006 Murcia",8.8,"GreatBased on 4,110 verified guest reviews",£218total,Expedia
Murcia,Occidental Murcia Siete Coronas,"Paseo de Garay, 5, Murcia",8.9,"GreatBased on 3,769 verified guest reviews",£205total,Expedia
Murcia,NH Amistad Murcia,"Condestable, 1, 30009 Murcia",8.4,"GreatBased on 1,899 verified guest reviews",£182total,Expedia
Murcia,Piso Centro Luxury,,,,£227total,Booking.com
Murcia,Agalia Hotel,"Avda. Arquitecto Miguel Ángel Beloqui 7, 30006 Murcia",8.3,"GreatBased on 2,871 verified guest reviews",£209total,Expedia
Murcia,Hotel Murcia Rincón de Pepe Affiliated by Meliá,"Calle Apostoles, 34, 30001 Murcia",8.8,"GreatBased on 1,899 verified guest reviews",£229total,Expedia
Murcia,Apartamento Florencia,,,,£255total,Booking.com
Murcia,Hotel Azarbe,"Avenida Del Rocio 2, 30007 Murcia",8.6,"GreatBased on 1,734 verified guest reviews",£190total,Expedia
Murcia,Catalonia Conde de Floridablanca,"Calle Princesa, 18, 30002 Murcia",8.7,"GreatBased on 1,738 verified guest reviews",£224total,Expedia
Murcia,Apartamento Floridablanca,,8.4,GreatBased on 151 verified guest reviews,£252total,Booking.com
Murcia,Hesperia Murcia Centro,"Calle de Madre de Dios, 4, 30004 Murcia",8.8,"GreatBased on 3,371 verified guest reviews",£187total,Expedia
Murcia,AC Hotel Murcia by Marriott,"Avenida Juan Carlos I, 39, 30009 Murcia",8.4,"GreatBased on 1,039 verified guest reviews",£213total,Expedia
Murcia,Apartamento Céntrico La Catedral,,8.8,GreatBased on 113 verified guest reviews,£280total,Booking.com
Murcia,Hotel Cetina Murcia,"Calle Radio Murcia 3, 30001 Murcia",8.9,"GreatBased on 2,960 verified guest reviews",£182total,Expedia
Murcia,Hotel El Churra,"Avenida Marques De Los Velez, 12, 30008 Murcia",8.5,"GreatBased on 1,951 verified guest reviews",£198total,Expedia
Murcia,Beautiful Villa in Murcia with pool just 10m away,,9.4,ExcellentBased on 8 verified guest reviews,£210total,Booking.com
Murcia,ibis budget Huerta De Murcia,"Jose Manuel Sanchez Pedreno 6, 30009 Murcia",8.5,"GreatBased on 2,360 verified guest reviews",£141total,Expedia
Murcia,Hotal Azahar,"C/ Del Arquitecto Juan José Belmonte 4, 30007 Murcia",8.2,GreatBased on 418 verified guest reviews,£176total,Expedia
Murcia,Casa Adriatico - A Murcia Holiday Rentals Property,,8.0,GreatBased on 1 verified guest review,£282total,Booking.com
Murcia,Zenit Murcia,"Plaza De San Pedro 5-6, 30004 Murcia",8.4,GreatBased on 873 verified guest reviews,£213total,Expedia
