City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
New York,The Knickerbocker Hotel,"6 Times Square, New York, NY 10036",8.5,"GreatBased on 1,145 verified guest reviews","£1,083total",The Knickerbocker Hotel
New York,MOXY NYC Times Square,"485 7th Avenue, New York, NY 10018",8.2,"GreatBased on 11,224 verified guest reviews",£479total,Expedia
New York,Moxy NYC East Village,"112 East 11th Street, New York, NY 10003",8.4,"GreatBased on 1,229 verified guest reviews",£703total,Moxy
New York,Sanctuary NYC Retreats,Lower East Side,9.0,ExcellentBased on 557 verified guest reviews,£598total,Expedia
New York,Hotel Beacon,"2130 Broadway at 75th Street, New York, NY 10023",8.8,"GreatBased on 1,559 verified guest reviews",£619total,Hotel Beacon
New York,West 57th Street by Hilton Club,"102 West 57th Street, New York, NY 10019",8.5,GreatBased on 57 verified guest reviews,"£1,145total",Hilton Grand Vacations
New York,Harlem Lodge,Harlem,8.2,GreatBased on 316 verified guest reviews,£380total,Booking.com
New York,11 Howard,"11 Howard Street, New York, NY 10013",8.0,GreatBased on 483 verified guest reviews,"£1,056total",Expedia
New York,"The Langham, New York, Fifth Avenue","400 Fifth Avenue, New York, NY 10018",9.1,ExcellentBased on 621 verified guest reviews,"£2,051total","The Langham, New York, Fifth Avenue"
New York,Great Cozy Apt,Harlem,9.7,ExcellentBased on 3 verified guest reviews,£615total,Booking.com
New York,The Times Square EDITION,"20 Times Square, 701 7th Avenue, New York, NY 10036",8.9,GreatBased on 920 verified guest reviews,£942total,Expedia
New York,Mandarin Oriental New York,"80 Columbus Circle At 60th Street, New York, NY 10023",8.6,GreatBased on 209 verified guest reviews,"£2,037total",Mandarin Oriental
New York,The Harlem Cascades,Harlem,8.1,GreatBased on 228 verified guest reviews,£304total,Booking.com
New York,citizenM New York Times Square,"218 West 50th Street, New York, NY 10019",9.0,"ExcellentBased on 3,984 verified guest reviews",£518total,Expedia
New York,Holiday Inn Manhattan-Financial District,"99 Washington Street, New York, NY 10006",8.0,"GreatBased on 7,411 verified guest reviews",£368total,Expedia
New York,NYC Empire State Studios,Midtown,6.7,OkayBased on 59 verified guest reviews,£494total,Booking.com
New York,The Manhattan At Times Square Hotel,"790 7th Avenue, New York, NY 10019",5.9,"PassableBased on 3,761 verified guest reviews",£546total,The Manhattan At Times Square Hotel
New York,Kimpton Hotel Eventi,"851 Avenue of The Americas, New York, NY 10001",8.5,GreatBased on 763 verified guest reviews,£926total,Expedia
New York,Cozy Fully Furnished Apartment Near Prospect Park & Public Transport,Prospect Heights,8.5,GreatBased on 58 verified guest reviews,£583total,Booking.com
New York,Hotel Boutique at Grand Central,"128 East 45th Street, New York, NY 10017",8.2,"GreatBased on 1,466 verified guest reviews",£424total,Expedia
