City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Paris,"Kimpton St Honore Paris, an IHG hotel","27-29 Boulevard Des Capucines, 75009 Paris",8.8,GreatBased on 156 verified guest reviews,"£1,228total",Kimpton
Paris,Mercure Paris Pigalle Sacre Coeur,"21 Boulevard De Clichy, 75009 Paris",8.2,GreatBased on 637 verified guest reviews,£477total,Expedia
Paris,Hotel Panache,"1, rue Geoffroy Marie, 75009 Paris",8.5,GreatBased on 463 verified guest reviews,£519total,Hotel Panache
Paris,Pepper & Paper Apartments,5th arrondissement,9.0,ExcellentBased on 326 verified guest reviews,£454total,Expedia
Paris,Hotel Chaplain,"11 bis, rue Jules Chaplain, 75006 Paris",8.3,"GreatBased on 1,183 verified guest reviews",£562total,Hotel Chaplain
Paris,Hotel Le Mareuil,"51 rue de Malte, 75011 Paris",9.0,ExcellentBased on 997 verified guest reviews,£598total,Hotel Le Mareuil
Paris,Yays Paris Issy,,8.8,GreatBased on 416 verified guest reviews,£365total,Hotels.com
Paris,West End Hotel,"7 Rue Clement Marot, 75008 Paris",8.8,GreatBased on 227 verified guest reviews,£756total,West End Hotel
Paris,Hotel Chavanel,"22 Rue Tronchet, 75008 Paris",8.5,GreatBased on 119 verified guest reviews,£828total,Hotel Chavanel
Paris,Apartments Ws Saint-Lazare - Opera,8th arrondissement,7.5,GoodBased on 516 verified guest reviews,£355total,Booking.com
Paris,Maison Fl,"6 Rue De La Tour, 75116 Paris",8.8,GreatBased on 592 verified guest reviews,£538total,Maison Fl
Paris,Le Relais Montmartre,"6, rue Constance, 75018 Paris",9.1,ExcellentBased on 526 verified guest reviews,£534total,Expedia
Paris,Les Patios du Marais 1,3rd arrondissement,7.4,"GoodBased on 1,985 verified guest reviews",£372total,Booking.com
Paris,CitizenM Paris Gare de Lyon,"8 Rue Van Gogh, 75012 Paris",8.6,"GreatBased on 10,453 verified guest reviews",£351total,Expedia
Paris,Hotel Du Ministere,"31 Rue De Surene, 75008 Paris",9.0,ExcellentBased on 740 verified guest reviews,£696total,Hotel Du Ministere
Paris,Le Vintage,Quartier Latin,8.5,GreatBased on 63 verified guest reviews,£718total,Booking.com
Paris,La Maison Champs Elysées,"8 Rue Jean Goujon, 75008 Paris",8.2,GreatBased on 168 verified guest reviews,£870total,Expedia
Paris,Grand Hotel Chicago,"99, Bis Rue De Rome, 75017 Paris",8.4,GreatBased on 279 verified guest reviews,£420total,Hotels.com
Paris,Le Studio Flore,18th arrondissement,9.0,ExcellentBased on 17 verified guest reviews,£427total,Booking.com
Paris,Le Placide Saint Germain des Pres,"6 Rue Saint Placide, 75006 Paris",8.7,GreatBased on 101 verified guest reviews,£518total,Le Placide Saint Germain des Pres
