City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Prague,Hotel Kings Court,"U Obecniho Domu 3, 110 00 Prague, Prague Region",9.1,"ExcellentBased on 4,981 verified guest reviews",£419total,Expedia
Prague,Alcron Hotel Prague,"Stepanska 40, 110 00 Prague, Prague Region",9.3,"ExcellentBased on 4,303 verified guest reviews",£287total,Expedia
Prague,Hilton Prague,"Pobrezni 311/1, 186 00 Prague, Prague Region",8.0,"GreatBased on 3,357 verified guest reviews",£328total,Expedia
Prague,Prague Castle Apartments Pawlansky,Prague 1,9.2,ExcellentBased on 155 verified guest reviews,£470total,Expedia
Prague,Occidental Praha Wilson,"Václavské Námestí, 59, 110 00 Prague, Prague Region",8.5,GreatBased on 780 verified guest reviews,£221total,Expedia
Prague,Cosmopolitan Hotel Prague,"Zlatnicka 3, 11000 Prague, Prague Region",9.2,"ExcellentBased on 2,834 verified guest reviews",£330total,Expedia
Prague,Angel City Apartments,Prague 5,9.1,"ExcellentBased on 1,044 verified guest reviews",£237total,Booking.com
Prague,Art Deco Imperial Hotel,"Na Porici 15, 110 00 Prague, Prague Region",9.1,"ExcellentBased on 3,464 verified guest reviews",£404total,Expedia
Prague,Le Palais Art Hotel Prague,"U Zvonarky 1, 120 00 Prague, Prague Region",8.5,GreatBased on 472 verified guest reviews,£234total,Expedia
Prague,Old Town Apartment,Prague 1,9.2,ExcellentBased on 39 verified guest reviews,£390total,Booking.com
Prague,Grand Hotel Bohemia,"Kralodvorska 4, Prague, Prague Region",9.1,"ExcellentBased on 2,774 verified guest reviews",£344total,Expedia
Prague,Hotel Taurus,"Vinohradska 105, Prague, Prague Region",8.2,"GreatBased on 5,860 verified guest reviews",£140total,Expedia
Prague,Modern Apartment Riegrovy sady,Prague 2,9.6,ExcellentBased on 35 verified guest reviews,£252total,Booking.com
Prague,"Radisson Blu Hotel, Prague, Prague, Cz","Zitna 561/8, 120 00 Prague, Prague Region",8.6,"GreatBased on 1,905 verified guest reviews",£294total,Expedia
Prague,Iron Gate Hotel and Suites,"Michalska 19, 110 00 Prague, Prague Region",8.9,"GreatBased on 1,317 verified guest reviews",£357total,Expedia
Prague,Royal Route Residence,Prague 1,9.4,ExcellentBased on 232 verified guest reviews,£216total,Booking.com
Prague,Panorama Hotel Prague,"Milevska 7, 140 63 Prague, Prague Region",8.3,"GreatBased on 5,535 verified guest reviews",£211total,Expedia
Prague,The Emblem Hotel,"Platnerska 111/19, 110 00 Prague, Prague Region",8.8,GreatBased on 460 verified guest reviews,£513total,Expedia
Prague,High Heaven Residence,Prague 1,9.4,ExcellentBased on 534 verified guest reviews,£192total,Booking.com
Prague,Esplanade Hotel Prague,"Washingtonova 1600/19, Praha 1, Prague, Prague Region",8.2,GreatBased on 373 verified guest reviews,£242total,Expedia
