City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Rome,Unicum Roma Suites,"via Vittorio Spinazzola 3, 00164 Rome",9.3,ExcellentBased on 121 verified guest reviews,£317total,Expedia
Rome,Hotel Alpi,"84, Via Castelfidardo, 00185 Rome",8.9,"GreatBased on 1,096 verified guest reviews",£364total,Expedia
Rome,Nice Rome Holiday,"7 Via Belisario, 00187 Rome",8.6,GreatBased on 223 verified guest reviews,£253total,Expedia
Rome,Hisuiterome,Historical Center,9.1,ExcellentBased on 231 verified guest reviews,£536total,Expedia
Rome,Hotel Diocleziano,"Via Gaeta 71, 00185 Rome",8.9,GreatBased on 558 verified guest reviews,£324total,Expedia
Rome,Mercure Roma Corso Trieste,"Via Gradisca 29, 00198 Rome",,,£288total,Expedia
Rome,Vico Rooms And Terrace,Flaminio,9.1,ExcellentBased on 298 verified guest reviews,£265total,Expedia
Rome,Gasometer Urban Suites,"Via Del Porto Fluviale, 35/37, 00146 Rome",9.3,ExcellentBased on 542 verified guest reviews,£261total,Expedia
Rome,Palazzo Cardinal Cesi,"Via Conciliazione 51, 00193 Rome",8.8,GreatBased on 167 verified guest reviews,£573total,Expedia
Rome,Bed And Best,Historical Center,9.3,ExcellentBased on 133 verified guest reviews,£254total,Expedia
Rome,Guest Roma House,"Via Emilio Faà Di Bruno 15, 00195 Rome",9.5,ExcellentBased on 199 verified guest reviews,£275total,Expedia
Rome,Rome Winners Home,"Via Appia Nuova 465, 00181 Rome",9.0,ExcellentBased on 51 verified guest reviews,£334total,Expedia
Rome,Il Gattopardo Relais,Historical Center,8.2,GreatBased on 150 verified guest reviews,£185total,Expedia
Rome,Radisson Blu Ghr Hotel,"Via Domenico Chelini 41, 00197 Rome",8.2,"GreatBased on 1,108 verified guest reviews",£473total,Expedia
Rome,Tommy Guest House Roma,"Vicolo Del Casale Galvani 11, 00187 Rome",9.3,ExcellentBased on 20 verified guest reviews,£300total,Hotels.com
Rome,Residenza B,Historical Center,9.9,ExcellentBased on 121 verified guest reviews,£510total,Expedia
Rome,NH Collection Roma Fori Imperiali,"Via di Santa Eufemia, 19, Rome",9.1,ExcellentBased on 690 verified guest reviews,£797total,Expedia
Rome,B&B Birba,"Via Rodolfo Valentino, 19, 00139 Rome",8.9,GreatBased on 100 verified guest reviews,£181total,Expedia
Rome,Lovin' Rome - Piazza di Spagna,Historical Center,8.5,GreatBased on 148 verified guest reviews,£276total,Expedia
Rome,Gioberti Hotel,"Via Gioberti, 20, 00185 Rome",8.3,GreatBased on 539 verified guest reviews,£358total,Hotels.com
