City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, ON M5H 1A1",8.7,"GreatBased on 5,954 verified guest reviews",£517total,Expedia
Toronto,Fairmont Royal York,"100 Front Street West, Toronto, ON M5J 1E3",8.7,"GreatBased on 3,718 verified guest reviews",£562total,Expedia
Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, ON M5J 1A6",8.2,"GreatBased on 2,968 verified guest reviews",£541total,Expedia
Toronto,A Stunning Chalet Style Home,North York,9.4,ExcellentBased on 34 verified guest reviews,£225total,Booking.com
Toronto,DoubleTree by Hilton Toronto Downtown,"108 Chestnut Street, Toronto, ON M5G 1R3",7.8,"GoodBased on 3,313 verified guest reviews",£371total,Expedia
Toronto,DoubleTree by Hilton Toronto Airport,"925 Dixon Road, Toronto, ON M9W 1J8",8.2,"GreatBased on 1,115 verified guest reviews",£374total,Doubletree by Hilton
Toronto,Simply Comfort. Maple Leaf Square,Downtown,8.5,GreatBased on 253 verified guest reviews,£441total,Booking.com
Toronto,Hyatt Regency Toronto,"370 King Street West, Toronto, ON M5V 1J9",8.3,"GreatBased on 1,539 verified guest reviews",£471total,Expedia
Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Road, Toronto, ON M9W 1J5",8.4,GreatBased on 282 verified guest reviews,£361total,Expedia
Toronto,Star Villa,Etobicoke,7.5,GoodBased on 130 verified guest reviews,£187total,Booking.com
Toronto,Cambridge Suites Toronto,"15 Richmond Street East, Toronto, ON M5C 1N2",9.2,ExcellentBased on 21 verified guest reviews,£384total,Expedia
Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, ON M5H 2M9",8.5,"GreatBased on 1,777 verified guest reviews",£533total,Sheraton
Toronto,Life Suites Loft - Cn Tower,Downtown,7.5,GoodBased on 459 verified guest reviews,£501total,Booking.com
Toronto,Old Mill Toronto,"9 Old Mill Road, Toronto, ON M8X 1G5",8.6,GreatBased on 202 verified guest reviews,£562total,Expedia
Toronto,The Westin Toronto Airport,"950 Dixon Road, Toronto, ON M9W 5N4",8.1,GreatBased on 308 verified guest reviews,£407total,Expedia
Toronto,Simply Comfort Modern Apt North York,North York,8.6,GreatBased on 51 verified guest reviews,£624total,Booking.com
Toronto,Hilton Toronto,"145 Richmond Street West, Toronto, ON M5H 2L2",8.2,"GreatBased on 1,128 verified guest reviews",£586total,Expedia
Toronto,Marriott Downtown at CF Toronto Eaton Centre,"525 Bay Street, Toronto, ON M5G 2L2",8.6,"GreatBased on 1,159 verified guest reviews",£567total,Marriott Hotels & Resorts
Toronto,"Upscale Suite at CN Tower, Metro Convention & Rogers Centre",Downtown,9.5,ExcellentBased on 37 verified guest reviews,£692total,Booking.com
Toronto,Sandman Signature Toronto Airport Hotel,"55 Reading Crt, Toronto, ON M9W 7K7",7.9,"GoodBased on 1,070 verified guest reviews",£318total,Expedia
