City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dubai,Suzuki Swift,4,"Sheikh Zayed Road, Dubai",Avis,117.0,30.0,7.5
Dubai,Toyota Yaris,4,"Sheikh Zayed Road, Dubai",HolidayCars.com,121.0,31.0,8.0
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Booking.com,117.0,30.0,8.0
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Rentalcars,117.0,30.0,8.0
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",KAYAK,117.0,30.0,8.0
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Avis,130.0,33.0,7.5
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",HolidayCars.com,135.0,34.0,8.0
Dubai,Chevrolet Spark,4,DXB,VIP Cars,144.0,36.0,9.2
Dubai,Chevrolet Spark,5,Airport terminal,Opodo,160.0,40.0,9.5
Dubai,Chevrolet Spark,5,Airport terminal,Holiday Autos,411.0,103.0,9.5
Dubai,Chevrolet Spark,5,Airport terminal,easyCar,411.0,103.0,8.0
Dubai,Chevrolet Spark,4,DXB,VIP Cars,151.0,38.0,9.2
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",VIP Cars,142.0,36.0,7.5
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Enjoy Travel,145.0,37.0,6.0
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Wisecars,151.0,38.0,6.2
Dubai,Mitsubishi Mirage G4,4,Airport terminal,VIP Cars,147.0,37.0,9.2
Dubai,Ford Ka,5,Airport terminal,Opodo,159.0,40.0,9.2
Dubai,Ford Ka,5,Airport terminal,easyCar,159.0,40.0,8.0
Dubai,Ford Ka,5,Airport terminal,VIP Cars,160.0,40.0,9.5
Dubai,Ford Ka,5,Airport terminal,Discover Cars,160.0,40.0,9.2
Dubai,Ford Ka,5,Airport terminal,Wisecars,165.0,42.0,9.5
Dubai,Nissan Micra,4,DXB,Opodo,184.0,46.0,9.5
Dubai,Nissan Micra,4,DXB,Discover Cars,197.0,50.0,9.2
Dubai,Nissan Micra,4,DXB,Argus Car Hire,283.0,71.0,9.5
Dubai,Nissan Micra,4,DXB,Holiday Autos,498.0,125.0,9.5
Dubai,Nissan Micra,4,DXB,easyCar,498.0,125.0,8.0
Dubai,Chevrolet Aveo Sedan,5,DXB,VIP Cars,160.0,40.0,9.2
Dubai,Ford Fiesta,5,Airport terminal,Opodo,162.0,41.0,9.2
Dubai,Ford Fiesta,5,Airport terminal,easyCar,162.0,41.0,8.0
Dubai,Ford Fiesta,5,Airport terminal,VIP Cars,164.0,41.0,9.5
Dubai,Ford Fiesta,5,Airport terminal,Discover Cars,165.0,42.0,9.2
Dubai,Ford Fiesta,5,Airport terminal,Wisecars,170.0,43.0,9.5
Dubai,Nissan Micra,4,"Jumeirah Emirates Towers, Dubai",VIP Cars,169.0,43.0,9.2
Dubai,Nissan Sunny,5,DXB,Discover Cars,170.0,43.0,9.2
Dubai,Nissan Sunny,5,DXB,Opodo,179.0,45.0,9.5
Dubai,Nissan Sunny,5,DXB,Holiday Autos,457.0,115.0,9.5
Dubai,Nissan Sunny,5,DXB,easyCar,457.0,115.0,8.0
Dubai,Toyota Yaris,5,"Deira City Center, Dubai",Discover Cars,177.0,45.0,9.2
Dubai,Toyota Yaris,5,"Deira City Center, Dubai",VIP Cars,182.0,46.0,7.2
Dubai,Toyota Yaris,5,"Deira City Center, Dubai",Rentalcars,208.0,52.0,8.0
Dubai,Toyota Yaris,5,"Deira City Center, Dubai",Booking.com,208.0,52.0,8.0
Dubai,Toyota Yaris,5,"Deira City Center, Dubai",KAYAK,208.0,52.0,8.0
