City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dublin,Ford Ka,4,DUB,VIP Cars,81.0,21.0,9.2
Dublin,Ford Ka,4,DUB,QEEQ.COM,83.0,21.0,9.5
Dublin,Ford Ka,4,DUB,Discover Cars,87.0,22.0,8.8
Dublin,Ford Ka,4,DUB,Sixt,89.0,23.0,8.2
Dublin,Ford Ka,4,DUB,Rentalcars,101.0,26.0,7.5
Dublin,Ford Ka,4,DUB,Booking.com,101.0,26.0,7.5
Dublin,Ford Ka,4,DUB,KAYAK,101.0,26.0,7.5
Dublin,Ford Ka,4,DUB,Opodo,115.0,29.0,9.2
Dublin,Ford Ka,4,DUB,Argus Car Hire,131.0,33.0,9.2
Dublin,Ford Ka,4,DUB,Holiday Autos,231.0,58.0,9.2
Dublin,Ford Ka,4,DUB,easyCar,231.0,58.0,8.2
Dublin,Ford Fiesta,5,Airport terminal,QEEQ.COM,88.0,22.0,9.5
Dublin,Ford Fiesta,5,Airport terminal,Opodo,116.0,29.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Argus Car Hire,140.0,35.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Holiday Autos,245.0,62.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,easyCar,245.0,62.0,7.8
Dublin,Volkswagen Polo,5,DUB,VIP Cars,86.0,22.0,9.2
Dublin,Volkswagen Polo,5,DUB,QEEQ.COM,88.0,22.0,9.5
Dublin,Volkswagen Polo,5,DUB,Discover Cars,91.0,23.0,8.8
Dublin,Volkswagen Polo,5,DUB,Sixt,94.0,24.0,8.2
Dublin,Volkswagen Polo,5,DUB,Rentalcars,107.0,27.0,7.5
Dublin,Volkswagen Polo,5,DUB,Booking.com,107.0,27.0,7.5
Dublin,Volkswagen Polo,5,DUB,KAYAK,107.0,27.0,7.5
Dublin,Volkswagen Polo,5,DUB,Opodo,116.0,29.0,9.2
Dublin,Volkswagen Polo,5,DUB,Argus Car Hire,140.0,35.0,9.2
Dublin,Volkswagen Polo,5,DUB,Holiday Autos,245.0,62.0,9.2
Dublin,Volkswagen Polo,5,DUB,easyCar,245.0,62.0,8.2
Dublin,Ford Fiesta,5,Airport terminal,QEEQ.COM,88.0,22.0,9.5
Dublin,Ford Fiesta,5,Airport terminal,Bsp Auto,94.0,24.0,8.8
Dublin,Ford Fiesta,5,Airport terminal,Discover Cars,102.0,26.0,8.8
Dublin,Ford Fiesta,5,Airport terminal,Rentalcars,107.0,27.0,7.5
Dublin,Ford Fiesta,5,Airport terminal,Booking.com,107.0,27.0,7.5
Dublin,Ford Fiesta,5,Airport terminal,KAYAK,107.0,27.0,7.5
Dublin,Ford Fiesta,5,Airport terminal,Opodo,116.0,29.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Argus Car Hire,140.0,35.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Holiday Autos,245.0,62.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,easyCar,245.0,62.0,7.8
Dublin,Ford Ka,4,Airport terminal,QEEQ.COM,83.0,21.0,9.5
Dublin,Ford Ka,4,Airport terminal,Bsp Auto,88.0,22.0,8.8
Dublin,Ford Ka,4,Airport terminal,Discover Cars,96.0,24.0,8.8
Dublin,Ford Ka,4,Airport terminal,Rentalcars,101.0,26.0,7.5
Dublin,Ford Ka,4,Airport terminal,Booking.com,101.0,26.0,7.5
Dublin,Ford Ka,4,Airport terminal,KAYAK,101.0,26.0,7.5
Dublin,Ford Ka,4,Airport terminal,Opodo,115.0,29.0,9.0
Dublin,Ford Ka,4,Airport terminal,Argus Car Hire,131.0,33.0,9.0
Dublin,Ford Ka,4,Airport terminal,Holiday Autos,230.0,58.0,9.0
Dublin,Ford Ka,4,Airport terminal,easyCar,230.0,58.0,7.8
Dublin,Opel Astra,5,DUB,VIP Cars,92.0,23.0,9.2
Dublin,Opel Astra,5,DUB,QEEQ.COM,94.0,24.0,9.5
Dublin,Opel Astra,5,DUB,Discover Cars,98.0,25.0,8.8
Dublin,Opel Astra,5,DUB,Sixt,102.0,26.0,8.2
Dublin,Opel Astra,5,DUB,Rentalcars,115.0,29.0,7.5
Dublin,Opel Astra,5,DUB,Booking.com,115.0,29.0,7.5
Dublin,Opel Astra,5,DUB,KAYAK,115.0,29.0,7.5
Dublin,Opel Astra,5,DUB,Opodo,145.0,37.0,9.2
Dublin,Opel Astra,5,DUB,Argus Car Hire,150.0,38.0,9.0
Dublin,Opel Astra,5,DUB,Holiday Autos,264.0,66.0,9.2
Dublin,Opel Astra,5,DUB,easyCar,264.0,66.0,8.2
Dublin,Volkswagen Polo,5,DUB,QEEQ.COM,108.0,27.0,9.5
Dublin,Volkswagen Polo,5,DUB,Discover Cars,114.0,29.0,8.8
Dublin,Volkswagen Polo,5,DUB,Bsp Auto,117.0,30.0,8.8
Dublin,Volkswagen Polo,5,DUB,Opodo,121.0,31.0,9.0
Dublin,Volkswagen Polo,5,DUB,Rentalcars,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,Booking.com,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,KAYAK,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,Enjoy Travel,169.0,43.0,4.0
Dublin,Volkswagen Polo,5,DUB,HolidayCars.com,169.0,43.0,7.5
Dublin,Volkswagen Polo,5,DUB,Argus Car Hire,174.0,44.0,9.0
Dublin,Volkswagen Polo,5,DUB,Holiday Autos,306.0,77.0,9.0
Dublin,Volkswagen Polo,5,DUB,easyCar,306.0,77.0,7.8
Dublin,Volkswagen Golf,5,Airport terminal,QEEQ.COM,94.0,24.0,9.5
Dublin,Volkswagen Golf,5,Airport terminal,Rentalcars,115.0,29.0,7.5
Dublin,Volkswagen Golf,5,Airport terminal,Booking.com,115.0,29.0,7.5
Dublin,Volkswagen Golf,5,Airport terminal,KAYAK,115.0,29.0,7.5
Dublin,Volkswagen Golf,5,Airport terminal,Opodo,145.0,37.0,9.0
Dublin,Volkswagen Golf,5,Airport terminal,Argus Car Hire,150.0,38.0,9.0
Dublin,Volkswagen Golf,5,Airport terminal,Holiday Autos,264.0,66.0,9.0
Dublin,Volkswagen Golf,5,Airport terminal,easyCar,264.0,66.0,7.8
Dublin,Volkswagen Polo,5,DUB,QEEQ.COM,108.0,27.0,9.5
Dublin,Volkswagen Polo,5,DUB,Opodo,120.0,30.0,9.0
Dublin,Volkswagen Polo,5,DUB,Rentalcars,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,Booking.com,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,KAYAK,135.0,34.0,7.5
Dublin,Volkswagen Polo,5,DUB,Argus Car Hire,174.0,44.0,9.0
Dublin,Volkswagen Polo,5,DUB,Holiday Autos,306.0,77.0,9.0
Dublin,Volkswagen Polo,5,DUB,easyCar,306.0,77.0,7.8
Dublin,Opel Corsa,5,DUB,QEEQ.COM,114.0,29.0,9.5
Dublin,Opel Corsa,5,DUB,HolidayCars.com,119.0,30.0,7.5
Dublin,Opel Corsa,5,DUB,Avis,119.0,30.0,8.0
Dublin,Opel Corsa,5,DUB,Enjoy Travel,120.0,30.0,4.0
Dublin,Opel Corsa,5,DUB,Bsp Auto,177.0,45.0,8.8
Dublin,Ford Fiesta,5,"Spencer Dock, Park Lane, Dublin",QEEQ.COM,113.0,29.0,9.5
Dublin,Ford Fiesta,5,"Spencer Dock, Park Lane, Dublin",Opodo,129.0,33.0,9.0
Dublin,Ford Fiesta,5,"Spencer Dock, Park Lane, Dublin",Booking.com,132.0,33.0,7.5
Dublin,Ford Fiesta,5,"Spencer Dock, Park Lane, Dublin",Rentalcars,136.0,34.0,7.5
Dublin,Ford Fiesta,5,"Spencer Dock, Park Lane, Dublin",KAYAK,136.0,34.0,7.5
Dublin,Nissan Micra,4,Airport terminal,QEEQ.COM,125.0,32.0,9.5
Dublin,Nissan Micra,4,Airport terminal,Opodo,175.0,44.0,9.0
Dublin,Nissan Micra,4,Airport terminal,Argus Car Hire,202.0,51.0,9.0
Dublin,Nissan Micra,4,Airport terminal,Holiday Autos,355.0,89.0,9.0
Dublin,Nissan Micra,4,Airport terminal,easyCar,355.0,89.0,7.8
Dublin,Toyota Yaris,5,DUB,VIP Cars,124.0,31.0,9.2
Dublin,Toyota Yaris,5,DUB,Discover Cars,132.0,33.0,8.8
Dublin,Toyota Yaris,5,DUB,QEEQ.COM,134.0,34.0,9.5
Dublin,Toyota Yaris,5,DUB,Sixt,137.0,35.0,8.2
Dublin,Toyota Yaris,5,DUB,Rentalcars,154.0,39.0,7.5
Dublin,Toyota Yaris,5,DUB,Booking.com,154.0,39.0,7.5
Dublin,Toyota Yaris,5,DUB,KAYAK,154.0,39.0,7.5
Dublin,Ford Ka,4,DUB,QEEQ.COM,107.0,27.0,9.5
Dublin,Ford Ka,4,DUB,Discover Cars,113.0,29.0,8.8
Dublin,Ford Ka,4,DUB,Bsp Auto,116.0,29.0,8.8
Dublin,Ford Ka,4,DUB,Opodo,117.0,30.0,9.0
Dublin,Ford Ka,4,DUB,Rentalcars,133.0,34.0,7.5
Dublin,Ford Ka,4,DUB,Booking.com,133.0,34.0,7.5
Dublin,Ford Ka,4,DUB,KAYAK,133.0,34.0,7.5
Dublin,Ford Ka,4,DUB,Enjoy Travel,168.0,42.0,4.0
Dublin,Ford Ka,4,DUB,HolidayCars.com,168.0,42.0,7.5
Dublin,Ford Ka,4,DUB,Argus Car Hire,173.0,44.0,9.0
Dublin,Ford Ka,4,DUB,Holiday Autos,303.0,76.0,9.0
Dublin,Ford Ka,4,DUB,easyCar,303.0,76.0,7.8
Dublin,Volkswagen up!,4,DUB,QEEQ.COM,120.0,30.0,9.5
Dublin,Volkswagen up!,4,DUB,Opodo,133.0,34.0,9.0
Dublin,Volkswagen up!,4,DUB,Argus Car Hire,194.0,49.0,9.0
Dublin,Volkswagen up!,4,DUB,Holiday Autos,341.0,86.0,9.0
Dublin,Volkswagen up!,4,DUB,easyCar,341.0,86.0,7.8
