City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Faro,Mini car,4,Airport terminal,KAYAK,29.0,8.0,9.8
Faro,Mini car,4,Airport terminal,QEEQ.COM,29.0,8.0,9.8
Faro,Mini car,4,Airport terminal,HolidayCars.com,32.0,8.0,8.0
Faro,Mini car,4,Airport terminal,Discover Cars,35.0,9.0,9.0
Faro,Mini car,4,Airport terminal,Booking.com,35.0,9.0,7.5
Faro,Mini car,4,Airport terminal,Rentalcars,36.0,9.0,7.5
Faro,Mini car,4,Airport terminal,Opodo,63.0,16.0,9.2
Faro,Mini car,4,Airport terminal,Argus Car Hire,74.0,19.0,9.2
Faro,Mini car,4,Airport terminal,Holiday Autos,82.0,21.0,9.2
Faro,Mini car,4,Airport terminal,easyCar,82.0,21.0,8.0
Faro,Mini car,4,Airport terminal,KAYAK,30.0,8.0,9.8
Faro,Mini car,4,Airport terminal,QEEQ.COM,30.0,8.0,9.8
Faro,Mini car,4,Airport terminal,Enjoy Travel,31.0,8.0,5.8
Faro,Mini car,4,Airport terminal,Booking.com,37.0,10.0,7.5
Faro,Mini car,4,Airport terminal,HolidayCars.com,37.0,10.0,8.0
Faro,Mini car,4,Airport terminal,Rentalcars,38.0,10.0,7.5
Faro,Mini car,4,Airport terminal,Opodo,65.0,17.0,9.2
Faro,Mini car,4,Airport terminal,Argus Car Hire,76.0,19.0,9.2
Faro,Mini car,4,Airport terminal,Holiday Autos,90.0,23.0,9.2
Faro,Mini car,4,Airport terminal,easyCar,90.0,23.0,8.0
Faro,Ford Fiesta,5,Airport terminal,KAYAK,32.0,8.0,9.8
Faro,Ford Fiesta,5,Airport terminal,QEEQ.COM,32.0,8.0,9.8
Faro,Ford Fiesta,5,Airport terminal,HolidayCars.com,35.0,9.0,8.0
Faro,Ford Fiesta,5,Airport terminal,Booking.com,37.0,10.0,7.5
Faro,Ford Fiesta,5,Airport terminal,Rentalcars,38.0,10.0,7.5
Faro,Ford Fiesta,5,Airport terminal,Discover Cars,38.0,10.0,9.0
Faro,Ford Fiesta,5,Airport terminal,Opodo,66.0,17.0,9.2
Faro,Ford Fiesta,5,Airport terminal,Argus Car Hire,77.0,20.0,9.2
Faro,Ford Fiesta,5,Airport terminal,Holiday Autos,91.0,23.0,9.2
Faro,Ford Fiesta,5,Airport terminal,easyCar,91.0,23.0,8.0
Faro,Ford Fiesta,5,Airport terminal,Enjoy Travel,34.0,9.0,5.8
Faro,Ford Fiesta,5,Airport terminal,KAYAK,35.0,9.0,9.8
Faro,Ford Fiesta,5,Airport terminal,QEEQ.COM,35.0,9.0,9.8
Faro,Ford Fiesta,5,Airport terminal,HolidayCars.com,40.0,10.0,8.0
Faro,Ford Fiesta,5,Airport terminal,Rentalcars,41.0,11.0,7.5
Faro,Ford Fiesta,5,Airport terminal,Booking.com,41.0,11.0,7.5
Faro,Ford Fiesta,5,Airport terminal,Opodo,68.0,17.0,9.2
Faro,Ford Fiesta,5,Airport terminal,Argus Car Hire,79.0,20.0,9.2
Faro,Ford Fiesta,5,Airport terminal,Holiday Autos,100.0,25.0,9.2
Faro,Ford Fiesta,5,Airport terminal,easyCar,100.0,25.0,8.0
Faro,Fiat 500,4,Shuttle,KAYAK,43.0,11.0,9.8
Faro,Fiat 500,4,Shuttle,QEEQ.COM,43.0,11.0,9.8
Faro,Fiat 500,4,Shuttle,Enjoy Travel,44.0,11.0,5.8
Faro,Fiat 500,4,Shuttle,VIP Cars,45.0,12.0,9.0
Faro,Fiat 500,4,Shuttle,Rentalcars,49.0,13.0,7.5
Faro,Fiat 500,4,Shuttle,Discover Cars,49.0,13.0,9.0
Faro,Fiat 500,4,Shuttle,HolidayCars.com,49.0,13.0,8.0
Faro,Fiat 500,4,Shuttle,Booking.com,51.0,13.0,7.5
Faro,Fiat 500,4,Shuttle,Zest Car Rental,52.0,13.0,9.2
Faro,Fiat 500,4,Shuttle,Argus Car Hire,80.0,20.0,9.2
Faro,Fiat 500,4,Shuttle,Opodo,87.0,22.0,9.2
Faro,Fiat 500,4,Shuttle,Holiday Autos,116.0,29.0,9.2
Faro,Fiat 500,4,Shuttle,easyCar,116.0,29.0,8.0
Faro,Volkswagen up!,4,Shuttle,HolidayCars.com,39.0,10.0,8.0
Faro,Volkswagen up!,4,Shuttle,Discover Cars,42.0,11.0,9.0
Faro,Opel Corsa,5,Shuttle,KAYAK,49.0,13.0,9.8
Faro,Opel Corsa,5,Shuttle,QEEQ.COM,49.0,13.0,9.8
Faro,Opel Corsa,5,Shuttle,VIP Cars,50.0,13.0,9.0
Faro,Opel Corsa,5,Shuttle,Enjoy Travel,50.0,13.0,5.8
Faro,Opel Corsa,5,Shuttle,Discover Cars,54.0,14.0,9.0
Faro,Opel Corsa,5,Shuttle,HolidayCars.com,54.0,14.0,8.0
Faro,Opel Corsa,5,Shuttle,Rentalcars,55.0,14.0,7.5
Faro,Opel Corsa,5,Shuttle,Booking.com,57.0,15.0,7.5
Faro,Opel Corsa,5,Shuttle,Zest Car Rental,57.0,15.0,9.2
Faro,Opel Corsa,5,Shuttle,Argus Car Hire,85.0,22.0,9.2
Faro,Opel Corsa,5,Shuttle,Opodo,90.0,23.0,9.2
Faro,Opel Corsa,5,Shuttle,Holiday Autos,130.0,33.0,9.2
Faro,Opel Corsa,5,Shuttle,easyCar,130.0,33.0,8.0
Faro,Fiat Panda,5,Shuttle,KAYAK,36.0,9.0,9.8
Faro,Fiat Panda,5,Shuttle,QEEQ.COM,36.0,9.0,9.8
Faro,Fiat Panda,5,Shuttle,Wisecars,39.0,10.0,7.5
Faro,Fiat Panda,5,Shuttle,HolidayCars.com,41.0,11.0,8.0
Faro,Fiat Panda,5,Shuttle,Discover Cars,42.0,11.0,9.0
Faro,Fiat Panda,5,Shuttle,Rentalcars,44.0,11.0,7.5
Faro,Fiat Panda,5,Shuttle,Booking.com,44.0,11.0,7.5
Faro,Fiat Panda,5,Shuttle,Opodo,65.0,17.0,9.2
Faro,Fiat Panda,5,Shuttle,Argus Car Hire,74.0,19.0,9.2
Faro,Fiat Panda,5,Shuttle,Holiday Autos,98.0,25.0,9.2
Faro,Fiat Panda,5,Shuttle,easyCar,98.0,25.0,8.0
Faro,Seat Ibiza,5,Shuttle,HolidayCars.com,41.0,11.0,8.0
Faro,Seat Ibiza,5,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Opel Corsa,5,Shuttle,KAYAK,39.0,10.0,9.8
Faro,Opel Corsa,5,Shuttle,QEEQ.COM,39.0,10.0,9.8
Faro,Opel Corsa,5,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Fiat Panda,4,Shuttle,KAYAK,38.0,10.0,9.8
Faro,Fiat Panda,4,Shuttle,QEEQ.COM,38.0,10.0,9.8
Faro,Fiat Panda,4,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Standard car,5,Airport terminal,KAYAK,42.0,11.0,9.8
Faro,Standard car,5,Airport terminal,QEEQ.COM,42.0,11.0,9.8
Faro,Volkswagen up!,4,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Seat Ibiza,5,Airport terminal,KAYAK,44.0,11.0,9.8
Faro,Seat Ibiza,5,Airport terminal,QEEQ.COM,44.0,11.0,9.8
Faro,Seat Ibiza,5,Airport terminal,Rentalcars,46.0,12.0,7.5
Faro,Seat Ibiza,5,Airport terminal,Booking.com,51.0,13.0,7.5
Faro,Ford Fiesta,5,Shuttle,Discover Cars,47.0,12.0,9.0
