City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Ibiza,Smart Forfour,4,Airport terminal,QEEQ.COM,47.0,12.0,9.8
Ibiza,Smart Forfour,4,Airport terminal,HolidayCars.com,47.0,12.0,7.8
Ibiza,Smart Forfour,4,Airport terminal,Discover Cars,50.0,13.0,9.0
Ibiza,Smart Forfour,4,Airport terminal,Rentalcars,55.0,14.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,KAYAK,55.0,14.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Booking.com,57.0,15.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Opodo,78.0,20.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Argus Car Hire,89.0,23.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Holiday Autos,129.0,33.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,easyCar,129.0,33.0,7.8
Ibiza,Fiat 500,4,Airport terminal,HolidayCars.com,48.0,12.0,9.0
Ibiza,Fiat 500,4,Airport terminal,Discover Cars,52.0,13.0,9.0
Ibiza,Fiat 500,4,Airport terminal,Rentalcars,159.0,40.0,7.5
Ibiza,Fiat 500,4,Airport terminal,KAYAK,159.0,40.0,7.5
Ibiza,Fiat 500,4,Airport terminal,Booking.com,164.0,41.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Enjoy Travel,48.0,12.0,5.5
Ibiza,Smart Forfour,4,Airport terminal,QEEQ.COM,49.0,13.0,9.8
Ibiza,Smart Forfour,4,Airport terminal,HolidayCars.com,53.0,14.0,7.8
Ibiza,Smart Forfour,4,Airport terminal,Rentalcars,59.0,15.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,KAYAK,59.0,15.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Booking.com,60.0,15.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Opodo,80.0,20.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Argus Car Hire,90.0,23.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Holiday Autos,135.0,34.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,easyCar,135.0,34.0,7.8
Ibiza,Smart Forfour,4,Airport terminal,HolidayCars.com,58.0,15.0,9.0
Ibiza,Smart Forfour,4,Airport terminal,Discover Cars,61.0,16.0,9.0
Ibiza,Smart Forfour,4,Airport terminal,Rentalcars,170.0,43.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,KAYAK,170.0,43.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Booking.com,175.0,44.0,7.5
Ibiza,Opel Corsa,5,Airport terminal,HolidayCars.com,52.0,13.0,9.0
Ibiza,Opel Corsa,5,Airport terminal,Discover Cars,55.0,14.0,9.0
