City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Paris,Citroen C1,4,Exact address revealed after booking,Getaround,69.0,18.0,6.2
Paris,Fiat 500,4,LBG,QEEQ.COM,123.0,31.0,9.2
Paris,Fiat 500,4,LBG,HolidayCars.com,123.0,31.0,7.8
Paris,Fiat 500,4,LBG,Opodo,126.0,32.0,9.0
Paris,Fiat 500,4,LBG,easyCar,126.0,32.0,7.8
Paris,Compact car,5,"60-62 Boulevard Diderot, Paris",Europcar,113.0,29.0,8.2
Paris,Fiat 500X,5,LBG,QEEQ.COM,151.0,38.0,9.2
Paris,Fiat 500X,5,LBG,HolidayCars.com,151.0,38.0,7.8
Paris,Economy car,4,"60-62 Boulevard Diderot, Paris",Europcar,111.0,28.0,8.2
Paris,Toyota Yaris,5,LBG,HolidayCars.com,146.0,37.0,7.8
Paris,Toyota Yaris,5,LBG,QEEQ.COM,147.0,37.0,9.2
Paris,Toyota Yaris,5,LBG,Opodo,152.0,38.0,9.0
Paris,Toyota Yaris,5,LBG,Holiday Autos,152.0,38.0,9.0
Paris,Toyota Yaris,5,LBG,easyCar,152.0,38.0,7.8
Paris,Toyota Yaris,5,LBG,Argus Car Hire,152.0,38.0,9.0
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Wisecars,149.0,38.0,8.8
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",VIP Cars,150.0,38.0,9.8
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Rentalcars,154.0,39.0,7.2
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Booking.com,154.0,39.0,7.2
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",KAYAK,154.0,39.0,7.2
Paris,Fiat 500,4,LBG,QEEQ.COM,107.0,27.0,7.0
Paris,Fiat 500,4,LBG,HolidayCars.com,110.0,28.0,5.5
Paris,Fiat 500,4,LBG,Opodo,122.0,31.0,6.8
Paris,Fiat 500,4,LBG,Holiday Autos,123.0,31.0,6.8
Paris,Fiat 500,4,LBG,Argus Car Hire,124.0,31.0,6.8
Paris,Fiat 500,4,"10 Rue De La Paix, Paris",Rentalcars,135.0,34.0,7.2
Paris,Fiat 500,4,"10 Rue De La Paix, Paris",VIP Cars,135.0,34.0,9.8
Paris,Fiat 500,4,"10 Rue De La Paix, Paris",Booking.com,135.0,34.0,7.2
Paris,Fiat 500,4,"10 Rue De La Paix, Paris",KAYAK,135.0,34.0,7.2
Paris,Compact car,5,"Gare Du Nord Lev-1,18 Rue Dunkerque, Paris",Europcar,154.0,39.0,8.2
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Wisecars,162.0,41.0,8.8
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",VIP Cars,164.0,41.0,9.8
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Rentalcars,168.0,42.0,7.2
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",Booking.com,168.0,42.0,7.2
Paris,Peugeot 308,5,"10 Rue De La Paix, Paris",KAYAK,168.0,42.0,7.2
Paris,Fiat 500,4,"Carrousel-louvre, Paris",VIP Cars,133.0,34.0,9.8
Paris,Fiat 500,4,"Carrousel-louvre, Paris",Booking.com,133.0,34.0,8.2
Paris,Fiat 500,4,"Carrousel-louvre, Paris",Opodo,133.0,34.0,9.0
Paris,Fiat 500,4,"Carrousel-louvre, Paris",KAYAK,133.0,34.0,8.2
Paris,Fiat 500,4,"Carrousel-louvre, Paris",Hertz,133.0,34.0,6.0
Paris,Renault Twingo,4,"H 3 Gare De Ly Pl Henri Frenay, Paris",Rentalcars,135.0,34.0,8.2
Paris,Renault Twingo,4,"H 3 Gare De Ly Pl Henri Frenay, Paris",Booking.com,135.0,34.0,8.2
Paris,Renault Twingo,4,"H 3 Gare De Ly Pl Henri Frenay, Paris",KAYAK,135.0,34.0,8.2
Paris,Volkswagen Golf,5,"9 Rue Clément, Paris",Opodo,170.0,43.0,8.8
Paris,Volkswagen Golf,5,"9 Rue Clément, Paris",Rentalcars,176.0,44.0,7.2
Paris,Volkswagen Golf,5,"9 Rue Clément, Paris",Booking.com,176.0,44.0,7.2
Paris,Volkswagen Golf,5,"9 Rue Clément, Paris",KAYAK,176.0,44.0,7.2
Paris,Peugeot 208,5,"10 Rue De La Paix, Paris",Wisecars,143.0,36.0,8.8
Paris,Peugeot 208,5,"10 Rue De La Paix, Paris",Rentalcars,148.0,37.0,7.2
Paris,Peugeot 208,5,"10 Rue De La Paix, Paris",VIP Cars,148.0,37.0,9.8
Paris,Peugeot 208,5,"10 Rue De La Paix, Paris",Booking.com,148.0,37.0,7.2
Paris,Peugeot 208,5,"10 Rue De La Paix, Paris",KAYAK,148.0,37.0,7.2
