City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Toronto,Nissan Sentra,5,Pick up at airport,Turo,90.0,23.0,4.8
Toronto,Chevrolet Spark,4,YYZ,KAYAK,124.0,31.0,7.8
Toronto,Chevrolet Spark,4,YYZ,QEEQ.COM,124.0,31.0,7.8
Toronto,Kia Rio,4,YYZ,KAYAK,124.0,31.0,7.8
Toronto,Kia Rio,4,YYZ,QEEQ.COM,124.0,31.0,7.8
Toronto,Toyota Corolla,5,YYZ,KAYAK,130.0,33.0,7.8
Toronto,Toyota Corolla,5,YYZ,QEEQ.COM,130.0,33.0,7.8
Toronto,Hyundai Accent,5,Shuttle,Discover Cars,172.0,43.0,9.0
Toronto,Toyota RAV4,5,YYZ,KAYAK,148.0,37.0,7.8
Toronto,Toyota RAV4,5,YYZ,QEEQ.COM,148.0,37.0,7.8
Toronto,Honda Civic,5,Shuttle,Discover Cars,172.0,43.0,9.0
Toronto,Chevrolet Spark,5,YYZ,KAYAK,221.0,56.0,10.0
Toronto,Chevrolet Spark,5,YYZ,QEEQ.COM,221.0,56.0,10.0
Toronto,Chevrolet Spark,5,YYZ,Bsp Auto,370.0,93.0,9.0
Toronto,Chevrolet Spark,5,YYZ,Rentalcars,386.0,97.0,8.0
Toronto,Chevrolet Spark,5,YYZ,Booking.com,386.0,97.0,8.0
Toronto,Chevrolet Spark,5,YYZ,Argus Car Hire,753.0,189.0,7.0
Toronto,Chevrolet Spark,5,YYZ,Opodo,807.0,202.0,7.0
Toronto,Chevrolet Spark,5,YYZ,Holiday Autos,1275.0,319.0,7.0
Toronto,Chevrolet Spark,5,YYZ,easyCar,1275.0,319.0,5.8
Toronto,Toyota Corolla,5,Shuttle,Discover Cars,182.0,46.0,9.0
Toronto,Ford F-150,5,Shuttle,KAYAK,148.0,37.0,7.8
Toronto,Ford F-150,5,Shuttle,QEEQ.COM,148.0,37.0,7.8
Toronto,Kia Rio,4,call for pick-up,VIP Cars,158.0,40.0,5.8
Toronto,Kia Rio,4,call for pick-up,HolidayCars.com,158.0,40.0,5.8
Toronto,Kia Rio,4,call for pick-up,KAYAK,165.0,42.0,10.0
Toronto,Kia Rio,4,call for pick-up,QEEQ.COM,165.0,42.0,10.0
Toronto,Kia Rio,4,call for pick-up,Bsp Auto,166.0,42.0,6.8
Toronto,Kia Rio,4,call for pick-up,Wisecars,166.0,42.0,6.8
Toronto,Kia Rio,4,call for pick-up,Discover Cars,167.0,42.0,9.0
Toronto,Chevrolet Spark,4,YTZ,Opodo,152.0,38.0,9.0
Toronto,Chevrolet Spark,4,YTZ,Discover Cars,152.0,38.0,8.0
Toronto,Chevrolet Spark,4,YTZ,Enjoy Travel,152.0,38.0,4.8
Toronto,Chevrolet Spark,4,YTZ,QEEQ.COM,152.0,38.0,9.0
Toronto,Chevrolet Spark,4,YTZ,Holiday Autos,152.0,38.0,9.0
Toronto,Chevrolet Spark,4,YTZ,easyCar,152.0,38.0,8.0
Toronto,Chevrolet Spark,4,YTZ,HolidayCars.com,152.0,38.0,8.0
Toronto,Chevrolet Spark,4,YTZ,Hertz,152.0,38.0,5.8
Toronto,Mazda Mazda2,5,YYZ,KAYAK,169.0,43.0,7.8
Toronto,Mazda Mazda2,5,YYZ,QEEQ.COM,169.0,43.0,7.8
Toronto,Mazda Mazda2,5,YYZ,Discover Cars,170.0,43.0,6.8
Toronto,Mazda Mazda2,5,YYZ,HolidayCars.com,178.0,45.0,5.8
Toronto,Volkswagen Jetta,5,Shuttle,KAYAK,156.0,39.0,7.8
Toronto,Volkswagen Jetta,5,Shuttle,QEEQ.COM,156.0,39.0,7.8
Toronto,Hyundai Sonata,5,Shuttle,KAYAK,156.0,39.0,7.8
Toronto,Hyundai Sonata,5,Shuttle,QEEQ.COM,156.0,39.0,7.8
