,City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
0,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",EconomyBookings,82.0,21.0,8.2
1,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",Sixt,83.0,21.0,8.5
2,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",Bsp Auto,86.0,22.0,9.0
3,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",Rentalcars,107.0,27.0,7.8
4,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",Booking.com,107.0,27.0,7.8
5,Dublin,Ford Ka,4.0,"Q-park, Marlborough Street, Dublin",KAYAK,107.0,27.0,7.8
6,Dublin,Volkswagen Polo,4.0,DUB,Enjoy Travel,82.0,21.0,4.8
7,Dublin,Volkswagen Polo,4.0,DUB,EconomyBookings,84.0,21.0,8.2
8,Dublin,Volkswagen Polo,4.0,DUB,QEEQ.COM,84.0,21.0,9.8
9,Dublin,Volkswagen Polo,4.0,DUB,HolidayCars.com,84.0,21.0,7.8
10,Dublin,Volkswagen Polo,4.0,DUB,Discover Cars,87.0,22.0,9.0
11,Dublin,Volkswagen Polo,4.0,DUB,Opodo,94.0,24.0,9.2
12,Dublin,Volkswagen Polo,4.0,DUB,Rentalcars,97.0,25.0,7.8
13,Dublin,Volkswagen Polo,4.0,DUB,Booking.com,97.0,25.0,7.8
14,Dublin,Volkswagen Polo,4.0,DUB,KAYAK,97.0,25.0,7.8
15,Dublin,Volkswagen Polo,4.0,DUB,Argus Car Hire,127.0,32.0,9.2
16,Dublin,Volkswagen Polo,4.0,DUB,Holiday Autos,222.0,56.0,9.2
17,Dublin,Volkswagen Polo,4.0,DUB,easyCar,222.0,56.0,8.2
18,Dublin,Volkswagen Polo,4.0,DUB,QEEQ.COM,84.0,21.0,9.8
19,Dublin,Volkswagen Polo,4.0,DUB,EconomyBookings,90.0,23.0,6.0
20,Dublin,Volkswagen Polo,4.0,DUB,Opodo,94.0,24.0,9.2
21,Dublin,Volkswagen Polo,4.0,DUB,Rentalcars,96.0,24.0,7.8
22,Dublin,Volkswagen Polo,4.0,DUB,Booking.com,96.0,24.0,7.8
23,Dublin,Volkswagen Polo,4.0,DUB,KAYAK,96.0,24.0,7.8
24,Dublin,Volkswagen Polo,4.0,DUB,Argus Car Hire,127.0,32.0,9.2
25,Dublin,Volkswagen Polo,4.0,DUB,Holiday Autos,222.0,56.0,9.2
26,Dublin,Volkswagen Polo,4.0,DUB,easyCar,222.0,56.0,8.2
27,Dublin,Ford Fiesta,4.0,DUB,QEEQ.COM,88.0,22.0,9.8
28,Dublin,Ford Fiesta,4.0,DUB,Rentalcars,94.0,24.0,7.8
29,Dublin,Ford Fiesta,4.0,DUB,Booking.com,94.0,24.0,7.8
30,Dublin,Ford Fiesta,4.0,DUB,Opodo,94.0,24.0,9.2
31,Dublin,Ford Fiesta,4.0,DUB,KAYAK,94.0,24.0,7.8
32,Dublin,Ford Fiesta,4.0,DUB,Argus Car Hire,127.0,32.0,9.2
33,Dublin,Ford Fiesta,4.0,DUB,Holiday Autos,223.0,56.0,9.2
34,Dublin,Ford Fiesta,4.0,DUB,easyCar,223.0,56.0,8.2
35,Dublin,Volkswagen Polo,5.0,DUB,EconomyBookings,91.0,23.0,8.2
36,Dublin,Volkswagen Polo,5.0,DUB,Bsp Auto,92.0,23.0,9.0
37,Dublin,Volkswagen Polo,5.0,DUB,Sixt,93.0,24.0,8.5
38,Dublin,Volkswagen Polo,5.0,DUB,Discover Cars,93.0,24.0,9.0
39,Dublin,Volkswagen Polo,5.0,DUB,QEEQ.COM,101.0,26.0,9.8
40,Dublin,Volkswagen Polo,5.0,DUB,Opodo,107.0,27.0,9.2
41,Dublin,Volkswagen Polo,5.0,DUB,Rentalcars,113.0,29.0,7.8
42,Dublin,Volkswagen Polo,5.0,DUB,Booking.com,113.0,29.0,7.8
43,Dublin,Volkswagen Polo,5.0,DUB,KAYAK,113.0,29.0,7.8
44,Dublin,Volkswagen Polo,5.0,DUB,Argus Car Hire,152.0,38.0,9.2
45,Dublin,Volkswagen Polo,5.0,DUB,Holiday Autos,266.0,67.0,9.2
46,Dublin,Volkswagen Polo,5.0,DUB,easyCar,266.0,67.0,8.5
47,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",Bsp Auto,77.0,20.0,9.0
48,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",QEEQ.COM,81.0,21.0,8.5
49,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",Discover Cars,85.0,22.0,9.0
50,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",EconomyBookings,88.0,22.0,6.0
51,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",Rentalcars,94.0,24.0,7.8
52,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",Booking.com,94.0,24.0,7.8
53,Dublin,Ford Ka,4.0,"151 Lower Drumcondra Road, Dublin",KAYAK,94.0,24.0,7.8
54,Dublin,Ford Ka,4.0,DUB,QEEQ.COM,81.0,21.0,9.8
55,Dublin,Ford Ka,4.0,DUB,EconomyBookings,88.0,22.0,6.0
56,Dublin,Ford Ka,4.0,DUB,Opodo,93.0,24.0,9.2
57,Dublin,Ford Ka,4.0,DUB,Rentalcars,94.0,24.0,7.8
58,Dublin,Ford Ka,4.0,DUB,Booking.com,94.0,24.0,7.8
59,Dublin,Ford Ka,4.0,DUB,KAYAK,94.0,24.0,7.8
60,Dublin,Ford Ka,4.0,DUB,Argus Car Hire,123.0,31.0,9.2
61,Dublin,Ford Ka,4.0,DUB,Holiday Autos,216.0,54.0,9.2
62,Dublin,Ford Ka,4.0,DUB,easyCar,216.0,54.0,8.2
63,Dublin,Ford Ka,4.0,DUB,QEEQ.COM,86.0,22.0,9.8
64,Dublin,Ford Ka,4.0,DUB,Rentalcars,91.0,23.0,7.8
65,Dublin,Ford Ka,4.0,DUB,Booking.com,91.0,23.0,7.8
66,Dublin,Ford Ka,4.0,DUB,KAYAK,91.0,23.0,7.8
67,Dublin,Ford Ka,4.0,DUB,Opodo,93.0,24.0,9.2
68,Dublin,Ford Ka,4.0,DUB,Argus Car Hire,124.0,31.0,9.2
69,Dublin,Ford Ka,4.0,DUB,Holiday Autos,217.0,55.0,9.2
70,Dublin,Ford Ka,4.0,DUB,easyCar,217.0,55.0,8.2
71,Dublin,Renault Clio,5.0,DUB,QEEQ.COM,85.0,22.0,9.8
72,Dublin,Renault Clio,5.0,DUB,EconomyBookings,86.0,22.0,8.2
73,Dublin,Renault Clio,5.0,DUB,Discover Cars,88.0,22.0,9.0
74,Dublin,Renault Clio,5.0,DUB,Enjoy Travel,89.0,23.0,4.8
75,Dublin,Renault Clio,5.0,DUB,HolidayCars.com,90.0,23.0,7.8
76,Dublin,Renault Clio,5.0,DUB,Opodo,94.0,24.0,9.2
77,Dublin,Renault Clio,5.0,DUB,Rentalcars,99.0,25.0,7.8
78,Dublin,Renault Clio,5.0,DUB,Booking.com,99.0,25.0,7.8
79,Dublin,Renault Clio,5.0,DUB,KAYAK,99.0,25.0,7.8
80,Dublin,Renault Clio,5.0,DUB,Argus Car Hire,129.0,33.0,9.2
81,Dublin,Renault Clio,5.0,DUB,Holiday Autos,227.0,57.0,9.2
82,Dublin,Renault Clio,5.0,DUB,easyCar,227.0,57.0,8.2
83,Dublin,Volkswagen Polo,5.0,DUB,Enjoy Travel,94.0,24.0,6.0
84,Dublin,Volkswagen Polo,5.0,DUB,HolidayCars.com,95.0,24.0,8.2
85,Dublin,Volkswagen Polo,5.0,DUB,EconomyBookings,100.0,25.0,8.2
86,Dublin,Volkswagen Polo,5.0,DUB,Discover Cars,101.0,26.0,9.0
87,Dublin,Volkswagen Polo,5.0,DUB,QEEQ.COM,102.0,26.0,9.8
88,Dublin,Volkswagen Polo,5.0,DUB,Holiday Autos,106.0,27.0,9.0
89,Dublin,Volkswagen Polo,5.0,DUB,Argus Car Hire,106.0,27.0,9.0
90,Dublin,Volkswagen Polo,5.0,DUB,easyCar,106.0,27.0,8.2
91,Dublin,Volkswagen Polo,5.0,DUB,Rentalcars,113.0,29.0,7.8
92,Dublin,Volkswagen Polo,5.0,DUB,Booking.com,113.0,29.0,7.8
93,Dublin,Volkswagen Polo,5.0,DUB,KAYAK,113.0,29.0,7.8
94,Dublin,Volkswagen Polo,5.0,Airport terminal,QEEQ.COM,100.0,25.0,9.8
95,Dublin,Volkswagen Polo,5.0,Airport terminal,EconomyBookings,102.0,26.0,8.2
96,Dublin,Volkswagen Polo,5.0,Airport terminal,Discover Cars,102.0,26.0,9.0
97,Dublin,Volkswagen Polo,5.0,Airport terminal,Opodo,109.0,28.0,9.2
98,Dublin,Volkswagen Polo,5.0,Airport terminal,Rentalcars,114.0,29.0,7.8
99,Dublin,Volkswagen Polo,5.0,Airport terminal,Booking.com,114.0,29.0,7.8
100,Dublin,Volkswagen Polo,5.0,Airport terminal,KAYAK,114.0,29.0,7.8
101,Dublin,Volkswagen Polo,5.0,Airport terminal,Argus Car Hire,154.0,39.0,9.2
102,Dublin,Volkswagen Polo,5.0,Airport terminal,Holiday Autos,270.0,68.0,9.2
