City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Amsterdam,Kia Picanto,4,AMS,HolidayCars.com,135.0,34.0,7.8
Amsterdam,Kia Picanto,4,AMS,KAYAK,137.0,35.0,9.2
Amsterdam,Kia Picanto,4,AMS,QEEQ.COM,137.0,35.0,9.2
Amsterdam,Kia Picanto,4,AMS,VIP Cars,140.0,35.0,8.0
Amsterdam,Kia Picanto,4,AMS,Opodo,141.0,36.0,9.0
Amsterdam,Kia Picanto,4,AMS,Holiday Autos,141.0,36.0,9.0
Amsterdam,Kia Picanto,4,AMS,easyCar,141.0,36.0,7.8
Amsterdam,Kia Picanto,4,AMS,Discover Cars,143.0,36.0,9.0
Amsterdam,Kia Picanto,4,AMS,Rentalcars,159.0,40.0,6.2
Amsterdam,Kia Picanto,4,AMS,Booking.com,159.0,40.0,6.2
Amsterdam,Kia Picanto,4,AMS,EconomyBookings,163.0,41.0,7.8
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,149.0,38.0,9.8
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",Rentalcars,169.0,43.0,6.2
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",KAYAK,169.0,43.0,6.2
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",Booking.com,169.0,43.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,149.0,38.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Opodo,149.0,38.0,9.0
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Discover Cars,152.0,38.0,9.0
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Wisecars,154.0,39.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,169.0,43.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,169.0,43.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,169.0,43.0,6.2
