City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Bangkok,Toyota Yaris,4,BKK,VIP Cars,65.0,17.0,8.2
Bangkok,Toyota Yaris,4,BKK,Rentalcars,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,Booking.com,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,KAYAK,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,QEEQ.COM,70.0,18.0,9.8
Bangkok,Toyota Yaris,4,BKK,Rentalcars,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,VIP Cars,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,Booking.com,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,KAYAK,76.0,19.0,8.2
Bangkok,Toyota Yaris,4,BKK,EconomyBookings,77.0,20.0,5.8
Bangkok,Toyota Yaris,4,BKK,Sixt,79.0,20.0,8.2
Bangkok,Toyota Yaris,4,BKK,Opodo,80.0,20.0,9.5
Bangkok,Toyota Yaris,4,BKK,Discover Cars,85.0,22.0,9.2
Bangkok,Toyota Yaris,4,BKK,Argus Car Hire,108.0,27.0,9.5
Bangkok,Toyota Yaris,4,BKK,Holiday Autos,189.0,48.0,9.5
Bangkok,Toyota Yaris,4,BKK,easyCar,189.0,48.0,8.2
Bangkok,Toyota Yaris,4,DMK,Rentalcars,72.0,18.0,8.2
Bangkok,Toyota Yaris,4,DMK,KAYAK,72.0,18.0,8.2
Bangkok,Toyota Yaris,4,DMK,Opodo,77.0,20.0,9.5
Bangkok,Toyota Yaris,4,DMK,Holiday Autos,172.0,43.0,9.5
Bangkok,Toyota Yaris,4,DMK,easyCar,172.0,43.0,8.0
Bangkok,Economy car,5,BKK,QEEQ.COM,75.0,19.0,9.8
Bangkok,Economy car,5,BKK,Enjoy Travel,76.0,19.0,5.8
Bangkok,Economy car,5,BKK,Rentalcars,80.0,20.0,7.0
Bangkok,Economy car,5,BKK,Booking.com,80.0,20.0,7.0
Bangkok,Economy car,5,BKK,Opodo,80.0,20.0,9.2
Bangkok,Economy car,5,BKK,Holiday Autos,80.0,20.0,9.2
Bangkok,Economy car,5,BKK,Argus Car Hire,80.0,20.0,9.2
Bangkok,Economy car,5,BKK,KAYAK,80.0,20.0,7.0
Bangkok,Economy car,5,BKK,easyCar,80.0,20.0,8.0
Bangkok,Economy car,5,BKK,EconomyBookings,81.0,21.0,8.0
Bangkok,Economy car,5,BKK,Europcar,81.0,21.0,8.2
Bangkok,Economy car,5,BKK,VIP Cars,84.0,21.0,8.2
Bangkok,Toyota Yaris,5,DMK,QEEQ.COM,74.0,19.0,9.5
Bangkok,Toyota Yaris,5,DMK,Booking.com,88.0,22.0,8.2
Bangkok,Toyota Yaris,5,DMK,Rentalcars,90.0,23.0,8.2
Bangkok,Toyota Yaris,5,DMK,KAYAK,90.0,23.0,8.2
Bangkok,Honda City,5,BKK,QEEQ.COM,78.0,20.0,9.8
Bangkok,Honda City,5,BKK,Rentalcars,86.0,22.0,8.2
Bangkok,Honda City,5,BKK,EconomyBookings,86.0,22.0,5.8
Bangkok,Honda City,5,BKK,VIP Cars,86.0,22.0,8.2
Bangkok,Honda City,5,BKK,Booking.com,86.0,22.0,8.2
Bangkok,Honda City,5,BKK,KAYAK,86.0,22.0,8.2
Bangkok,Honda City,5,BKK,Sixt,89.0,23.0,8.2
Bangkok,Honda City,5,BKK,Discover Cars,94.0,24.0,9.2
Bangkok,Honda City,5,BKK,Opodo,95.0,24.0,9.5
Bangkok,Honda City,5,BKK,Argus Car Hire,121.0,31.0,9.5
Bangkok,Honda City,5,BKK,Holiday Autos,212.0,53.0,9.5
Bangkok,Honda City,5,BKK,easyCar,212.0,53.0,8.2
Bangkok,Mini car,5,BKK,QEEQ.COM,74.0,19.0,9.8
Bangkok,Mini car,5,BKK,EconomyBookings,80.0,20.0,8.0
Bangkok,Mini car,5,BKK,Europcar,80.0,20.0,8.2
Bangkok,Nissan Almera,5,DMK,QEEQ.COM,74.0,19.0,9.5
Bangkok,Nissan Almera,5,DMK,Booking.com,81.0,21.0,8.2
Bangkok,Nissan Almera,5,DMK,Rentalcars,83.0,21.0,8.2
Bangkok,Nissan Almera,5,DMK,KAYAK,83.0,21.0,8.2
Bangkok,Nissan Almera,5,DMK,Opodo,97.0,25.0,9.5
Bangkok,Nissan Almera,5,DMK,Argus Car Hire,124.0,31.0,9.5
Bangkok,Nissan Almera,5,DMK,Holiday Autos,218.0,55.0,9.5
Bangkok,Nissan Almera,5,DMK,easyCar,218.0,55.0,8.0
Bangkok,Honda Brio,4,DMK,QEEQ.COM,74.0,19.0,9.5
Bangkok,Honda Brio,4,DMK,Opodo,90.0,23.0,9.5
Bangkok,Honda Brio,4,DMK,Argus Car Hire,115.0,29.0,9.5
Bangkok,Honda Brio,4,DMK,Holiday Autos,201.0,51.0,9.5
Bangkok,Honda Brio,4,DMK,easyCar,201.0,51.0,8.0
Bangkok,Honda City,5,BKK,QEEQ.COM,79.0,20.0,9.8
Bangkok,Honda City,5,BKK,Rentalcars,88.0,22.0,8.2
Bangkok,Honda City,5,BKK,Booking.com,88.0,22.0,8.2
Bangkok,Honda City,5,BKK,KAYAK,88.0,22.0,8.2
Bangkok,Honda City,5,BKK,Opodo,97.0,25.0,9.5
Bangkok,Honda City,5,BKK,EconomyBookings,102.0,26.0,5.8
Bangkok,Honda City,5,BKK,Argus Car Hire,123.0,31.0,9.5
Bangkok,Honda City,5,BKK,Holiday Autos,217.0,55.0,9.5
Bangkok,Honda City,5,BKK,easyCar,217.0,55.0,8.0
Bangkok,Toyota Yaris,5,"No.46 North Sathorn Rd, Bangkok",VIP Cars,73.0,19.0,8.2
Bangkok,Toyota Yaris,5,"No.46 North Sathorn Rd, Bangkok",Rentalcars,85.0,22.0,8.2
Bangkok,Toyota Yaris,5,"No.46 North Sathorn Rd, Bangkok",KAYAK,85.0,22.0,8.2
Bangkok,Toyota Yaris,5,"No.46 North Sathorn Rd, Bangkok",Booking.com,86.0,22.0,8.2
Bangkok,Toyota Yaris,5,"1St Floor 2371 Petchburee Building New Petchburee Rd, Bangkok",VIP Cars,83.0,21.0,9.2
Bangkok,Toyota Yaris,4,"72/8-9 North Sathon Rd, Bangkok",VIP Cars,69.0,18.0,7.0
Bangkok,Honda City,5,BKK,QEEQ.COM,87.0,22.0,9.8
Bangkok,Honda City,5,BKK,Rentalcars,98.0,25.0,8.2
Bangkok,Honda City,5,BKK,EconomyBookings,98.0,25.0,5.8
Bangkok,Honda City,5,BKK,Booking.com,98.0,25.0,8.2
Bangkok,Honda City,5,BKK,KAYAK,98.0,25.0,8.2
Bangkok,Honda City,5,BKK,Opodo,107.0,27.0,9.5
Bangkok,Honda City,5,BKK,Argus Car Hire,137.0,35.0,9.5
Bangkok,Honda City,5,BKK,Holiday Autos,241.0,61.0,9.5
Bangkok,Honda City,5,BKK,easyCar,241.0,61.0,8.0
Bangkok,Toyota Yaris,4,DMK,Rentalcars,79.0,20.0,8.2
Bangkok,Toyota Yaris,4,DMK,KAYAK,79.0,20.0,8.2
Bangkok,Toyota Yaris,4,DMK,QEEQ.COM,143.0,36.0,9.8
