City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Belfast,Toyota Aygo,4,call for pick-up,VIP Cars,69.0,18.0,7.0
Belfast,Toyota Aygo,4,call for pick-up,Enjoy Travel,69.0,18.0,5.8
Belfast,Toyota Aygo,4,call for pick-up,EconomyBookings,74.0,19.0,5.8
Belfast,Toyota Aygo,4,call for pick-up,Rentalcars,76.0,19.0,5.8
Belfast,Toyota Aygo,4,call for pick-up,KAYAK,76.0,19.0,5.8
Belfast,Toyota Aygo,4,call for pick-up,Wisecars,76.0,19.0,7.0
Belfast,Toyota Aygo,4,call for pick-up,Booking.com,78.0,20.0,5.8
Belfast,Toyota Aygo,4,call for pick-up,Opodo,80.0,20.0,7.0
Belfast,Toyota Aygo,4,call for pick-up,Discover Cars,105.0,27.0,7.0
Belfast,Toyota Aygo,4,call for pick-up,Argus Car Hire,108.0,27.0,7.0
Belfast,Toyota Aygo,4,call for pick-up,Holiday Autos,190.0,48.0,7.0
Belfast,Peugeot 107,4,BHD,Holiday Autos,80.0,20.0,9.2
Belfast,Peugeot 107,4,BHD,Argus Car Hire,80.0,20.0,9.2
Belfast,Peugeot 107,4,BHD,easyCar,80.0,20.0,8.0
Belfast,Peugeot 107,4,BHD,QEEQ.COM,81.0,21.0,9.8
Belfast,Peugeot 107,4,BHD,Booking.com,87.0,22.0,8.0
Belfast,Peugeot 107,4,BHD,Bsp Auto,93.0,24.0,9.2
Belfast,Peugeot 107,4,BHD,KAYAK,98.0,25.0,8.5
Belfast,Toyota Aygo,4,BFS,QEEQ.COM,94.0,24.0,9.8
Belfast,Toyota Aygo,4,BFS,KAYAK,96.0,24.0,9.8
Belfast,Toyota Aygo,4,BFS,Rentalcars,99.0,25.0,8.0
Belfast,Toyota Aygo,4,BFS,Sixt,102.0,26.0,8.2
Belfast,Toyota Aygo,4,BFS,Booking.com,104.0,26.0,8.0
Belfast,Toyota Aygo,4,BFS,Opodo,113.0,29.0,9.5
Belfast,Toyota Aygo,4,BFS,Argus Car Hire,145.0,37.0,9.5
Belfast,Toyota Aygo,4,BFS,Holiday Autos,254.0,64.0,9.5
Belfast,Toyota Aygo,4,BFS,easyCar,254.0,64.0,8.2
Belfast,Opel Corsa,4,BHD,Holiday Autos,82.0,21.0,9.2
