City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Berlin,Fiat 500,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",VIP Cars,84.0,21.0,7.5
Berlin,Fiat 500,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",Wisecars,94.0,24.0,5.8
Berlin,Hyundai i20,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",VIP Cars,85.0,22.0,7.5
Berlin,Hyundai i20,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",Wisecars,95.0,24.0,5.8
Berlin,Volkswagen Polo,5,BER,KAYAK,97.0,25.0,9.5
Berlin,Volkswagen Polo,5,BER,Opodo,97.0,25.0,9.8
Berlin,Volkswagen Polo,5,BER,Holiday Autos,97.0,25.0,9.8
Berlin,Volkswagen Polo,5,BER,Argus Car Hire,97.0,25.0,9.8
Berlin,Volkswagen Polo,5,BER,QEEQ.COM,97.0,25.0,9.5
Berlin,Volkswagen Polo,5,BER,easyCar,97.0,25.0,8.5
Berlin,Volkswagen Polo,5,BER,Rentalcars,101.0,26.0,8.0
Berlin,Volkswagen Polo,5,BER,Booking.com,101.0,26.0,8.0
Berlin,Volkswagen Polo,5,Exact address revealed after booking,Getaround,86.0,22.0,6.8
Berlin,Volkswagen Polo,5,BER,KAYAK,107.0,27.0,9.5
Berlin,Volkswagen Polo,5,BER,Opodo,107.0,27.0,9.8
Berlin,Volkswagen Polo,5,BER,Holiday Autos,107.0,27.0,9.8
Berlin,Volkswagen Polo,5,BER,Argus Car Hire,107.0,27.0,9.8
Berlin,Volkswagen Polo,5,BER,QEEQ.COM,107.0,27.0,9.5
Berlin,Volkswagen Polo,5,BER,easyCar,107.0,27.0,8.5
Berlin,Volkswagen Polo,5,BER,Rentalcars,111.0,28.0,8.0
Berlin,Volkswagen Polo,5,BER,Booking.com,111.0,28.0,8.0
Berlin,Volkswagen Polo,5,BER,Sixt,118.0,30.0,7.2
Berlin,Volkswagen Polo,5,BER,Discover Cars,130.0,33.0,9.2
Berlin,Ford Fiesta,5,BER,KAYAK,107.0,27.0,9.5
Berlin,Ford Fiesta,5,BER,VIP Cars,121.0,31.0,8.2
Berlin,Volkswagen up!,4,BER,KAYAK,96.0,24.0,9.5
Berlin,Volkswagen up!,4,BER,Opodo,96.0,24.0,9.8
Berlin,Volkswagen up!,4,BER,Holiday Autos,96.0,24.0,9.8
Berlin,Volkswagen up!,4,BER,Argus Car Hire,96.0,24.0,9.8
Berlin,Volkswagen up!,4,BER,QEEQ.COM,96.0,24.0,9.5
Berlin,Volkswagen up!,4,BER,easyCar,96.0,24.0,8.5
Berlin,Volkswagen up!,4,BER,Rentalcars,99.0,25.0,8.0
Berlin,Volkswagen up!,4,BER,Booking.com,99.0,25.0,8.0
Berlin,Opel Astra,5,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",VIP Cars,94.0,24.0,7.5
