City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Budapest,Mini car,4,Airport terminal,Enjoy Travel,45.0,12.0,6.0
Budapest,Mini car,4,Airport terminal,EconomyBookings,47.0,12.0,6.0
Budapest,Mini car,4,Airport terminal,KAYAK,48.0,12.0,9.8
Budapest,Mini car,4,Airport terminal,QEEQ.COM,48.0,12.0,9.8
Budapest,Mini car,4,Airport terminal,Discover Cars,55.0,14.0,9.2
Budapest,Mini car,4,Airport terminal,Opodo,56.0,14.0,9.5
Budapest,Mini car,4,Airport terminal,Rentalcars,62.0,16.0,8.0
Budapest,Mini car,4,Airport terminal,Booking.com,62.0,16.0,8.0
Budapest,Mini car,4,Airport terminal,Argus Car Hire,82.0,21.0,9.5
Budapest,Mini car,4,Airport terminal,Holiday Autos,124.0,31.0,9.5
Budapest,Mini car,4,Airport terminal,easyCar,124.0,31.0,8.2
Budapest,Volkswagen Polo,5,Airport terminal,EconomyBookings,48.0,12.0,6.0
Budapest,Volkswagen Polo,5,Airport terminal,KAYAK,49.0,13.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,Enjoy Travel,49.0,13.0,6.0
Budapest,Volkswagen Polo,5,Airport terminal,QEEQ.COM,49.0,13.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,Discover Cars,56.0,14.0,9.2
Budapest,Volkswagen Polo,5,Airport terminal,Opodo,57.0,15.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Rentalcars,64.0,16.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Booking.com,64.0,16.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Argus Car Hire,83.0,21.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Holiday Autos,127.0,32.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,easyCar,127.0,32.0,8.2
Budapest,Citroen C3,5,"Váci Út 141, Budapest",EconomyBookings,52.0,13.0,8.2
Budapest,Citroen C3,5,"Váci Út 141, Budapest",Rentalcars,82.0,21.0,8.0
Budapest,Citroen C3,5,"Váci Út 141, Budapest",KAYAK,82.0,21.0,8.0
Budapest,Citroen C3,5,"Váci Út 141, Budapest",Booking.com,84.0,21.0,8.0
Budapest,Fiat Panda,4,BUD,QEEQ.COM,63.0,16.0,9.8
Budapest,Fiat Panda,4,BUD,Rentalcars,79.0,20.0,8.0
Budapest,Fiat Panda,4,BUD,KAYAK,79.0,20.0,8.0
Budapest,Fiat Panda,4,BUD,Booking.com,79.0,20.0,8.0
Budapest,Ford Focus,5,Airport terminal,KAYAK,62.0,16.0,9.8
Budapest,Ford Focus,5,Airport terminal,QEEQ.COM,62.0,16.0,9.8
Budapest,Ford Focus,5,Airport terminal,Enjoy Travel,63.0,16.0,6.0
Budapest,Ford Focus,5,Airport terminal,EconomyBookings,67.0,17.0,6.0
Budapest,Ford Focus,5,Airport terminal,Discover Cars,69.0,18.0,9.2
Budapest,Ford Focus,5,Airport terminal,Opodo,74.0,19.0,9.5
Budapest,Ford Focus,5,Airport terminal,Rentalcars,84.0,21.0,8.0
Budapest,Ford Focus,5,Airport terminal,Booking.com,84.0,21.0,8.0
Budapest,Ford Focus,5,Airport terminal,Argus Car Hire,96.0,24.0,9.5
