City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dubai,,5,DXB,KAYAK,100.0,25.0,10.0
Dubai,,5,DXB,Wisecars,105.0,27.0,7.5
Dubai,,5,DXB,Discover Cars,114.0,29.0,9.5
Dubai,,5,DXB,EconomyBookings,115.0,29.0,6.5
Dubai,,5,DXB,Opodo,121.0,31.0,7.8
Dubai,,5,DXB,Argus Car Hire,155.0,39.0,7.8
Dubai,,5,DXB,Holiday Autos,272.0,68.0,7.8
Dubai,,5,DXB,easyCar,272.0,68.0,6.5
Dubai,,4,DXB,KAYAK,100.0,25.0,9.8
Dubai,,4,DXB,VIP Cars,121.0,31.0,9.5
Dubai,,5,"Radisson Sas Hotel, Dubai",HolidayCars.com,98.0,25.0,8.0
Dubai,,4,DXB,VIP Cars,112.0,28.0,9.5
Dubai,,5,DXB,Discover Cars,118.0,30.0,9.5
Dubai,,5,DXB,EconomyBookings,119.0,30.0,6.5
Dubai,,5,DXB,Wisecars,123.0,31.0,9.5
Dubai,,5,DXB,Rentalcars,128.0,32.0,8.0
Dubai,,5,DXB,Booking.com,128.0,32.0,8.0
Dubai,,5,DXB,KAYAK,128.0,32.0,8.0
Dubai,,5,DXB,Opodo,137.0,35.0,9.8
Dubai,,5,DXB,Argus Car Hire,179.0,45.0,9.8
Dubai,,5,DXB,Holiday Autos,315.0,79.0,9.8
Dubai,,5,DXB,easyCar,315.0,79.0,8.5
Dubai,,4,DXB,EconomyBookings,120.0,30.0,6.5
Dubai,,4,DXB,Discover Cars,134.0,34.0,9.5
Dubai,,4,DXB,Opodo,137.0,35.0,9.8
Dubai,,4,DXB,Argus Car Hire,190.0,48.0,9.8
Dubai,,4,DXB,Holiday Autos,334.0,84.0,9.8
Dubai,,4,DXB,easyCar,334.0,84.0,8.5
Dubai,,4,"Deira City Center, Dubai",Discover Cars,116.0,29.0,9.5
Dubai,,4,"Deira City Center, Dubai",Rentalcars,146.0,37.0,8.0
Dubai,,4,"Deira City Center, Dubai",KAYAK,146.0,37.0,8.0
Dubai,,4,"Deira City Center, Dubai",Booking.com,150.0,38.0,8.0
Dubai,,5,"Dubai Marina Mall, Dubai",Discover Cars,117.0,30.0,9.5
Dubai,,5,"Dubai Marina Mall, Dubai",VIP Cars,122.0,31.0,9.5
Dubai,,5,"Dubai Marina Mall, Dubai",EconomyBookings,129.0,33.0,6.5
Dubai,,5,Airport terminal,VIP Cars,112.0,28.0,9.5
Dubai,,5,Airport terminal,Discover Cars,142.0,36.0,9.5
Dubai,,5,DXB,VIP Cars,113.0,29.0,9.5
Dubai,,5,Airport terminal,Discover Cars,131.0,33.0,9.5
Dubai,,4,DXB,VIP Cars,120.0,30.0,9.5
Dubai,,4,DXB,EconomyBookings,149.0,38.0,6.5
Dubai,,4,"Mirdif City Center, Dubai",Discover Cars,107.0,27.0,9.5
Dubai,,4,"Mirdif City Center, Dubai",Rentalcars,139.0,35.0,8.0
Dubai,,4,"Mirdif City Center, Dubai",KAYAK,139.0,35.0,8.0
Dubai,,4,"Mirdif City Center, Dubai",Booking.com,143.0,36.0,8.0
Dubai,,5,"Deira City Center, Dubai",Discover Cars,122.0,31.0,9.5
Dubai,,5,"Deira City Center, Dubai",Rentalcars,152.0,38.0,8.0
Dubai,,5,"Deira City Center, Dubai",KAYAK,152.0,38.0,8.0
Dubai,,5,"Deira City Center, Dubai",Booking.com,157.0,40.0,8.0
Dubai,,5,"Dubai Marina Mall, Dubai",Discover Cars,107.0,27.0,9.5
Dubai,,5,"Dubai Marina Mall, Dubai",EconomyBookings,122.0,31.0,6.5
