City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Edinburgh,Toyota Aygo,4,Shuttle,Enjoy Travel,41.0,11.0,5.5
Edinburgh,Toyota Aygo,4,Shuttle,EconomyBookings,44.0,11.0,5.5
Edinburgh,Toyota Aygo,4,Shuttle,Wisecars,45.0,12.0,7.0
Edinburgh,Toyota Aygo,4,Shuttle,Booking.com,48.0,12.0,6.0
Edinburgh,Toyota Aygo,4,Shuttle,Rentalcars,50.0,13.0,6.0
Edinburgh,Toyota Aygo,4,Shuttle,KAYAK,50.0,13.0,6.0
Edinburgh,Toyota Aygo,4,Shuttle,Opodo,51.0,13.0,7.2
Edinburgh,Toyota Aygo,4,Shuttle,HolidayCars.com,54.0,14.0,5.5
Edinburgh,Toyota Aygo,4,Shuttle,Argus Car Hire,78.0,20.0,7.2
Edinburgh,Toyota Aygo,4,Shuttle,Discover Cars,80.0,20.0,7.0
Edinburgh,Toyota Aygo,4,Shuttle,Holiday Autos,112.0,28.0,7.2
Edinburgh,Ford Fiesta,5,Shuttle,Enjoy Travel,45.0,12.0,5.5
Edinburgh,Ford Fiesta,5,Shuttle,QEEQ.COM,47.0,12.0,7.5
Edinburgh,Ford Fiesta,5,Shuttle,EconomyBookings,48.0,12.0,5.5
Edinburgh,Ford Fiesta,5,Shuttle,Wisecars,50.0,13.0,7.0
Edinburgh,Ford Fiesta,5,Shuttle,Booking.com,51.0,13.0,6.0
Edinburgh,Ford Fiesta,5,Shuttle,Rentalcars,53.0,14.0,6.0
Edinburgh,Ford Fiesta,5,Shuttle,KAYAK,53.0,14.0,6.0
Edinburgh,Ford Fiesta,5,Shuttle,Opodo,55.0,14.0,7.2
Edinburgh,Ford Fiesta,5,Shuttle,HolidayCars.com,58.0,15.0,5.5
Edinburgh,Ford Fiesta,5,Shuttle,Argus Car Hire,82.0,21.0,7.2
Edinburgh,Ford Fiesta,5,Shuttle,Discover Cars,83.0,21.0,7.0
Edinburgh,Ford Fiesta,5,Shuttle,Holiday Autos,123.0,31.0,7.2
Edinburgh,Peugeot 208,5,EDI,Enjoy Travel,53.0,14.0,5.5
