City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Ibiza,Smart Forfour,4,Airport terminal,Enjoy Travel,32.0,8.0,5.0
Ibiza,Smart Forfour,4,Airport terminal,Rentalcars,35.0,9.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,KAYAK,35.0,9.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,Booking.com,35.0,9.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,Discover Cars,42.0,11.0,9.0
Ibiza,Smart Forfour,4,Airport terminal,Opodo,53.0,14.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Argus Car Hire,74.0,19.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Holiday Autos,79.0,20.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,easyCar,79.0,20.0,7.5
Ibiza,Smart Forfour,4,Airport terminal,Enjoy Travel,33.0,9.0,5.0
Ibiza,Smart Forfour,4,Airport terminal,Rentalcars,37.0,10.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,KAYAK,37.0,10.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,Booking.com,37.0,10.0,8.0
Ibiza,Smart Forfour,4,Airport terminal,Opodo,43.0,11.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Argus Car Hire,75.0,19.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,Holiday Autos,83.0,21.0,9.2
Ibiza,Smart Forfour,4,Airport terminal,easyCar,83.0,21.0,7.5
Ibiza,Fiat Panda,4,Airport terminal,KAYAK,35.0,9.0,8.0
Ibiza,Fiat Panda,4,Airport terminal,Booking.com,35.0,9.0,8.0
Ibiza,Fiat Panda,4,Airport terminal,Discover Cars,41.0,11.0,9.0
Ibiza,Volkswagen Polo,5,Airport terminal,KAYAK,35.0,9.0,8.0
Ibiza,Volkswagen Polo,5,Airport terminal,Booking.com,35.0,9.0,8.0
Ibiza,Volkswagen Polo,5,Airport terminal,Enjoy Travel,38.0,10.0,5.0
Ibiza,Volkswagen Polo,5,Airport terminal,Opodo,41.0,11.0,9.2
