City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Lanzarote,Opel Corsa,5,Shuttle,EconomyBookings,152.0,38.0,6.2
Lanzarote,Opel Corsa,5,Shuttle,Discover Cars,152.0,38.0,7.2
Lanzarote,Opel Corsa,5,Shuttle,Opodo,152.0,38.0,7.5
Lanzarote,Opel Corsa,5,Shuttle,Holiday Autos,152.0,38.0,7.5
Lanzarote,Opel Corsa,5,Shuttle,Argus Car Hire,152.0,38.0,7.5
Lanzarote,Opel Corsa,5,Shuttle,easyCar,152.0,38.0,6.5
Lanzarote,Opel Corsa,5,Shuttle,QEEQ.COM,153.0,39.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,Rentalcars,157.0,40.0,5.8
Lanzarote,Opel Corsa,5,Shuttle,Booking.com,157.0,40.0,5.8
Lanzarote,Opel Corsa,5,Shuttle,KAYAK,157.0,40.0,5.8
Lanzarote,Opel Corsa,5,Shuttle,Wisecars,162.0,41.0,7.5
Lanzarote,Opel Corsa,5,Shuttle,VIP Cars,176.0,44.0,7.8
Lanzarote,Toyota Aygo,4,Airport terminal,Rentalcars,151.0,38.0,7.5
Lanzarote,Toyota Aygo,4,Airport terminal,Booking.com,151.0,38.0,7.5
Lanzarote,Toyota Aygo,4,Airport terminal,KAYAK,151.0,38.0,7.5
Lanzarote,Toyota Aygo,4,Airport terminal,Opodo,164.0,41.0,9.5
Lanzarote,Toyota Aygo,4,Airport terminal,Argus Car Hire,210.0,53.0,9.5
Lanzarote,Toyota Aygo,4,Airport terminal,Holiday Autos,368.0,92.0,9.5
Lanzarote,Toyota Aygo,4,Airport terminal,easyCar,368.0,92.0,8.0
Lanzarote,Citroen C3,5,Airport terminal,Opodo,146.0,37.0,9.5
Lanzarote,Citroen C3,5,Airport terminal,Rentalcars,157.0,40.0,7.5
Lanzarote,Citroen C3,5,Airport terminal,Booking.com,157.0,40.0,7.5
Lanzarote,Citroen C3,5,Airport terminal,KAYAK,157.0,40.0,7.5
Lanzarote,Citroen C3,5,Airport terminal,Argus Car Hire,218.0,55.0,9.5
Lanzarote,Citroen C3,5,Airport terminal,Holiday Autos,383.0,96.0,9.5
Lanzarote,Citroen C3,5,Airport terminal,easyCar,383.0,96.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,Opodo,138.0,35.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,Holiday Autos,138.0,35.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,Argus Car Hire,138.0,35.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,QEEQ.COM,138.0,35.0,8.0
Lanzarote,Opel Corsa,5,Shuttle,easyCar,138.0,35.0,6.5
Lanzarote,Opel Corsa,5,Shuttle,Rentalcars,142.0,36.0,5.8
Lanzarote,Opel Corsa,5,Shuttle,Booking.com,142.0,36.0,5.8
Lanzarote,Opel Corsa,5,Shuttle,KAYAK,142.0,36.0,5.8
Lanzarote,Hyundai i10,4,Shuttle,QEEQ.COM,168.0,42.0,9.8
