City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Las Vegas,Fiat 500,2,Exact address revealed after booking,Turo,68.0,17.0,5.0
Las Vegas,Hyundai Accent,4,"3049 S Las Vegas Blvd Ste 25N, Las Vegas",KAYAK,121.0,31.0,8.0
Las Vegas,Nissan Versa,5,"3049 S Las Vegas Blvd Ste 25N, Las Vegas",KAYAK,121.0,31.0,8.0
Las Vegas,Toyota Yaris,5,Shuttle,QEEQ.COM,170.0,43.0,8.0
Las Vegas,Toyota Yaris,5,Shuttle,VIP Cars,249.0,63.0,7.2
Las Vegas,Toyota Yaris,5,Shuttle,Wisecars,274.0,69.0,7.0
Las Vegas,Toyota Camry,5,"3049 S Las Vegas Blvd Ste 25N, Las Vegas",KAYAK,138.0,35.0,8.0
Las Vegas,Chrysler 200,5,"3049 S Las Vegas Blvd Ste 25N, Las Vegas",KAYAK,136.0,34.0,8.0
Las Vegas,Hyundai Elantra,5,"3049 S Las Vegas Blvd Ste 25N, Las Vegas",KAYAK,129.0,33.0,8.0
Las Vegas,Toyota RAV4,5,"9232 West Sahara Avenue, Las Vegas",Wisecars,156.0,39.0,7.0
Las Vegas,Nissan Versa Note,4,Shuttle,QEEQ.COM,174.0,44.0,8.0
Las Vegas,Nissan Versa Note,4,Shuttle,VIP Cars,252.0,63.0,7.2
Las Vegas,Nissan Versa Note,4,Shuttle,Wisecars,277.0,70.0,7.0
Las Vegas,Toyota Camry,5,Shuttle,QEEQ.COM,201.0,51.0,8.0
Las Vegas,Toyota Camry,5,Shuttle,VIP Cars,277.0,70.0,7.2
Las Vegas,Toyota Camry,5,Shuttle,Wisecars,305.0,77.0,7.0
Las Vegas,Toyota Corolla,5,Shuttle,QEEQ.COM,177.0,45.0,8.0
Las Vegas,Toyota Corolla,5,Shuttle,VIP Cars,255.0,64.0,7.2
Las Vegas,Toyota Corolla,5,Shuttle,Wisecars,281.0,71.0,7.0
Las Vegas,Chevrolet Spark,4,Shuttle,KAYAK,389.0,98.0,9.8
Las Vegas,Chevrolet Spark,4,Shuttle,QEEQ.COM,389.0,98.0,9.8
Las Vegas,Economy car,5,"5905 W Sahara Ave Unit A, Las Vegas",KAYAK,482.0,121.0,9.8
Las Vegas,Economy car,5,"5905 W Sahara Ave Unit A, Las Vegas",QEEQ.COM,482.0,121.0,9.8
Las Vegas,Economy car,5,"5905 W Sahara Ave Unit A, Las Vegas",VIP Cars,506.0,127.0,7.5
Las Vegas,Economy car,5,"5905 W Sahara Ave Unit A, Las Vegas",Enjoy Travel,506.0,127.0,4.2
Las Vegas,Kia Rio,4,LAS,KAYAK,436.0,109.0,9.8
Las Vegas,Kia Rio,4,LAS,Wisecars,479.0,120.0,7.5
Las Vegas,Kia Rio,4,LAS,Avis,479.0,120.0,7.2
Las Vegas,Economy car,5,Shuttle,KAYAK,405.0,102.0,9.8
Las Vegas,Economy car,5,Shuttle,QEEQ.COM,405.0,102.0,9.8
Las Vegas,Economy car,5,Shuttle,Bsp Auto,435.0,109.0,8.8
