City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
London,,4,LCY,VIP Cars,72.0,18.0,7.0
London,,4,LCY,HolidayCars.com,74.0,19.0,5.8
London,,4,LCY,EconomyBookings,78.0,20.0,5.8
London,,4,LCY,Booking.com,80.0,20.0,5.8
London,,4,LCY,Wisecars,80.0,20.0,7.0
London,,4,LCY,Rentalcars,82.0,21.0,5.8
London,,4,LCY,KAYAK,82.0,21.0,5.8
London,,4,LCY,Opodo,92.0,23.0,7.2
London,,4,LCY,Discover Cars,109.0,28.0,5.8
London,,4,LCY,Argus Car Hire,117.0,30.0,7.2
London,,4,LCY,Holiday Autos,206.0,52.0,7.2
London,,4,LCY,easyCar,206.0,52.0,6.0
London,,5,LCY,HolidayCars.com,83.0,21.0,5.8
London,,5,LCY,VIP Cars,84.0,21.0,7.0
London,,5,LCY,QEEQ.COM,89.0,23.0,7.5
London,,5,LCY,Booking.com,93.0,24.0,5.8
London,,5,LCY,Wisecars,94.0,24.0,7.0
London,,5,LCY,Rentalcars,96.0,24.0,5.8
London,,5,LCY,KAYAK,96.0,24.0,5.8
London,,5,LCY,Discover Cars,120.0,30.0,5.8
London,,5,LCY,Opodo,131.0,33.0,7.2
London,,5,LCY,Argus Car Hire,167.0,42.0,7.2
London,,5,LCY,Holiday Autos,294.0,74.0,7.2
London,,5,LCY,easyCar,294.0,74.0,6.0
London,,5,LCY,VIP Cars,80.0,20.0,7.0
London,,5,LCY,HolidayCars.com,80.0,20.0,5.8
London,,5,LCY,QEEQ.COM,85.0,22.0,7.5
London,,5,LCY,Booking.com,88.0,22.0,5.8
London,,5,LCY,Wisecars,89.0,23.0,7.0
London,,5,LCY,Rentalcars,91.0,23.0,5.8
London,,5,LCY,KAYAK,91.0,23.0,5.8
London,,5,LCY,Opodo,102.0,26.0,7.2
London,,5,LCY,Discover Cars,116.0,29.0,5.8
London,,5,LCY,Argus Car Hire,131.0,33.0,7.2
London,,5,LCY,Holiday Autos,230.0,58.0,7.2
London,,5,LCY,easyCar,230.0,58.0,6.0
London,,5,LCY,HolidayCars.com,91.0,23.0,5.8
London,,5,LCY,VIP Cars,93.0,24.0,7.0
London,,5,LCY,QEEQ.COM,99.0,25.0,7.5
London,,5,LCY,Booking.com,104.0,26.0,5.8
London,,5,LCY,Wisecars,105.0,27.0,7.0
London,,5,LCY,Rentalcars,107.0,27.0,5.8
London,,5,LCY,KAYAK,107.0,27.0,5.8
London,,5,LCY,Opodo,120.0,30.0,7.2
London,,5,LCY,Argus Car Hire,153.0,39.0,7.2
London,,5,LCY,Holiday Autos,268.0,67.0,7.2
London,,5,LCY,easyCar,268.0,67.0,6.0
London,,5,"London Paddington Railway Station, London",EconomyBookings,82.0,21.0,5.8
