City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",VIP Cars,17.0,5.0,9.2
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",Enjoy Travel,17.0,5.0,6.2
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",HolidayCars.com,24.0,6.0,8.5
Malta,,4,Shuttle,Rentalcars,28.0,7.0,7.5
Malta,,4,Shuttle,Booking.com,28.0,7.0,7.5
Malta,,4,Shuttle,KAYAK,28.0,7.0,7.5
Malta,,4,Shuttle,Discover Cars,29.0,8.0,9.2
Malta,,4,Shuttle,Zest Car Rental,30.0,8.0,9.2
Malta,,,Shuttle,Discover Cars,36.0,9.0,9.2
Malta,,5,Shuttle,Rentalcars,29.0,8.0,7.5
Malta,,5,Shuttle,Booking.com,29.0,8.0,7.5
Malta,,5,Shuttle,KAYAK,29.0,8.0,7.5
Malta,,5,Shuttle,Discover Cars,31.0,8.0,9.2
Malta,,5,Shuttle,Zest Car Rental,32.0,8.0,9.2
Malta,,4,Shuttle,KAYAK,30.0,8.0,10.0
Malta,,4,Shuttle,QEEQ.COM,30.0,8.0,10.0
Malta,,4,Shuttle,EconomyBookings,31.0,8.0,6.2
Malta,,4,Shuttle,Enjoy Travel,31.0,8.0,6.2
Malta,,4,Shuttle,HolidayCars.com,35.0,9.0,8.5
Malta,,4,Shuttle,Rentalcars,38.0,10.0,7.5
Malta,,4,Shuttle,Booking.com,38.0,10.0,7.5
Malta,,4,Shuttle,Opodo,41.0,11.0,9.5
Malta,,4,Shuttle,Argus Car Hire,74.0,19.0,9.5
Malta,,4,Shuttle,Holiday Autos,83.0,21.0,9.5
Malta,,4,Shuttle,easyCar,83.0,21.0,8.5
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",VIP Cars,28.0,7.0,9.2
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",Enjoy Travel,29.0,8.0,6.2
Malta,,5,"Rua Do Barreiro 492 - Armazem B, Maia (Porto)",HolidayCars.com,35.0,9.0,8.5
Malta,,5,Shuttle,KAYAK,33.0,9.0,10.0
Malta,,5,Shuttle,QEEQ.COM,33.0,9.0,10.0
Malta,,5,Shuttle,KAYAK,33.0,9.0,10.0
Malta,,5,Shuttle,QEEQ.COM,33.0,9.0,10.0
Malta,,5,Shuttle,Enjoy Travel,33.0,9.0,6.2
Malta,,5,Shuttle,HolidayCars.com,39.0,10.0,8.5
Malta,,5,Shuttle,Rentalcars,40.0,10.0,7.5
Malta,,5,Shuttle,Booking.com,40.0,10.0,7.5
Malta,,5,Shuttle,Discover Cars,41.0,11.0,9.2
Malta,,5,Shuttle,Opodo,44.0,11.0,9.5
Malta,,5,Shuttle,Argus Car Hire,76.0,19.0,9.5
Malta,,5,Shuttle,Holiday Autos,92.0,23.0,9.5
Malta,,5,Shuttle,easyCar,92.0,23.0,8.5
Malta,,5,Shuttle,Discover Cars,31.0,8.0,9.2
Malta,,4,Shuttle,Opodo,42.0,11.0,9.5
Malta,,4,Shuttle,Discover Cars,43.0,11.0,9.2
Malta,,4,Shuttle,Argus Car Hire,70.0,18.0,9.5
Malta,,4,Shuttle,Holiday Autos,86.0,22.0,9.5
Malta,,4,Shuttle,easyCar,86.0,22.0,8.5
Malta,,4,Shuttle,KAYAK,33.0,9.0,10.0
Malta,,4,Shuttle,QEEQ.COM,33.0,9.0,10.0
Malta,,4,Shuttle,Enjoy Travel,35.0,9.0,6.2
