City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Murcia,Fiat 500,4,Airport terminal,Enjoy Travel,13.0,4.0,4.8
Murcia,Fiat 500,4,Airport terminal,Rentalcars,21.0,6.0,6.5
Murcia,Fiat 500,4,Airport terminal,KAYAK,21.0,6.0,6.5
Murcia,Fiat 500,4,Airport terminal,Booking.com,21.0,6.0,6.5
Murcia,Fiat 500,4,Airport terminal,Opodo,25.0,7.0,8.0
Murcia,Fiat 500,4,Airport terminal,Holiday Autos,45.0,12.0,8.0
Murcia,Fiat 500,4,Airport terminal,easyCar,45.0,12.0,6.2
Murcia,Fiat 500,4,Airport terminal,Argus Car Hire,52.0,13.0,8.0
Murcia,Fiat 500,4,Shuttle,VIP Cars,18.0,5.0,9.5
Murcia,Fiat 500,4,Shuttle,Enjoy Travel,18.0,5.0,6.0
Murcia,Fiat 500,4,Shuttle,Rentalcars,21.0,6.0,8.2
Murcia,Fiat 500,4,Shuttle,KAYAK,21.0,6.0,8.2
Murcia,Fiat 500,4,Shuttle,Booking.com,21.0,6.0,8.2
Murcia,Fiat 500,4,Shuttle,Discover Cars,29.0,8.0,9.5
Murcia,Fiat 500,4,Shuttle,Opodo,41.0,11.0,10.0
Murcia,Fiat 500,4,Shuttle,Holiday Autos,48.0,12.0,10.0
Murcia,Fiat 500,4,Shuttle,easyCar,48.0,12.0,8.2
Murcia,Fiat 500,4,Shuttle,Argus Car Hire,56.0,14.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Enjoy Travel,25.0,7.0,6.0
Murcia,Volkswagen Polo,5,Airport terminal,EconomyBookings,27.0,7.0,6.0
Murcia,Volkswagen Polo,5,Airport terminal,Rentalcars,36.0,9.0,8.2
Murcia,Volkswagen Polo,5,Airport terminal,Booking.com,36.0,9.0,8.2
Murcia,Volkswagen Polo,5,Airport terminal,KAYAK,36.0,9.0,8.2
Murcia,Volkswagen Polo,5,Airport terminal,Opodo,37.0,10.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Holiday Autos,63.0,16.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,easyCar,63.0,16.0,8.2
Murcia,Volkswagen Polo,5,Airport terminal,Argus Car Hire,69.0,18.0,10.0
Murcia,Opel Corsa,5,Airport terminal,Enjoy Travel,21.0,6.0,4.8
Murcia,Opel Corsa,5,Airport terminal,Rentalcars,28.0,7.0,6.5
Murcia,Opel Corsa,5,Airport terminal,KAYAK,28.0,7.0,6.5
Murcia,Opel Corsa,5,Airport terminal,Booking.com,28.0,7.0,6.5
Murcia,Opel Corsa,5,Airport terminal,Opodo,32.0,8.0,8.0
Murcia,Opel Corsa,5,Airport terminal,Holiday Autos,54.0,14.0,8.0
Murcia,Opel Corsa,5,Airport terminal,easyCar,54.0,14.0,6.2
