City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Orlando,Volkswagen CC,5,Exact address revealed after booking,Turo,85.0,22.0,4.5
Orlando,Nissan Versa,5,Shuttle,QEEQ.COM,107.0,27.0,9.8
Orlando,Honda Civic,5,Shuttle,QEEQ.COM,115.0,29.0,9.8
Orlando,Toyota Camry,5,Shuttle,QEEQ.COM,127.0,32.0,9.8
Orlando,Volkswagen Passat,5,Shuttle,QEEQ.COM,133.0,34.0,9.8
Orlando,Chevrolet Spark,4,MCO,Enjoy Travel,162.0,41.0,3.8
Orlando,Chevrolet Spark,4,MCO,HolidayCars.com,163.0,41.0,8.8
Orlando,Chevrolet Spark,4,MCO,VIP Cars,165.0,42.0,9.0
Orlando,Chevrolet Spark,4,MCO,KAYAK,165.0,42.0,9.8
Orlando,Chevrolet Spark,4,MCO,QEEQ.COM,180.0,45.0,9.8
Orlando,Chevrolet Spark,4,MCO,Opodo,209.0,53.0,9.0
Orlando,Chevrolet Spark,4,MCO,Argus Car Hire,286.0,72.0,9.0
Orlando,Chevrolet Spark,4,MCO,Holiday Autos,503.0,126.0,9.0
Orlando,Chevrolet Spark,4,MCO,easyCar,503.0,126.0,7.8
Orlando,Chevrolet Spark,5,SFB,KAYAK,178.0,45.0,9.8
Orlando,Chevrolet Spark,5,SFB,QEEQ.COM,178.0,45.0,9.8
Orlando,Chevrolet Spark,5,SFB,EconomyBookings,209.0,53.0,6.0
Orlando,Chevrolet Spark,5,SFB,Opodo,209.0,53.0,8.8
Orlando,Chevrolet Spark,5,SFB,Holiday Autos,209.0,53.0,8.8
Orlando,Chevrolet Spark,5,SFB,easyCar,209.0,53.0,7.8
Orlando,Ford Fiesta,5,MCO,KAYAK,180.0,45.0,9.8
Orlando,Ford Fiesta,5,MCO,QEEQ.COM,180.0,45.0,9.8
Orlando,Ford Fiesta,5,MCO,Opodo,209.0,53.0,9.0
Orlando,Ford Fiesta,5,MCO,Argus Car Hire,280.0,70.0,9.0
Orlando,Ford Fiesta,5,MCO,Holiday Autos,493.0,124.0,9.0
Orlando,Ford Fiesta,5,MCO,easyCar,493.0,124.0,7.8
Orlando,Ford Focus,5,MCO,Booking.com,163.0,41.0,7.5
Orlando,Ford Focus,5,MCO,Enjoy Travel,165.0,42.0,3.8
Orlando,Ford Focus,5,MCO,HolidayCars.com,165.0,42.0,8.8
Orlando,Ford Focus,5,MCO,KAYAK,167.0,42.0,9.8
Orlando,Ford Focus,5,MCO,Rentalcars,168.0,42.0,7.5
Orlando,Ford Focus,5,MCO,EconomyBookings,170.0,43.0,3.5
Orlando,Ford Focus,5,MCO,QEEQ.COM,183.0,46.0,9.8
Orlando,Ford Focus,5,MCO,Opodo,212.0,53.0,9.0
