City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,86.0,22.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,87.0,22.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,88.0,22.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,92.0,23.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,87.0,22.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,88.0,22.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,89.0,23.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,93.0,24.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,101.0,26.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,104.0,26.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,105.0,27.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,107.0,27.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",Wisecars,254.0,64.0,8.0
Paris,Fiat 500,4,LBG,KAYAK,88.0,22.0,7.2
Paris,Fiat 500,4,LBG,QEEQ.COM,88.0,22.0,7.2
Paris,Fiat 500,4,LBG,HolidayCars.com,91.0,23.0,5.8
Paris,Fiat 500,4,LBG,EconomyBookings,96.0,24.0,5.8
Paris,Fiat 500,4,LBG,Opodo,100.0,25.0,7.0
Paris,Fiat 500,4,LBG,Holiday Autos,101.0,26.0,7.0
Paris,Fiat 500,4,LBG,Argus Car Hire,101.0,26.0,7.0
Paris,Fiat 500,4,LBG,easyCar,101.0,26.0,6.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,102.0,26.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,105.0,27.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,106.0,27.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,108.0,27.0,8.0
Paris,Peugeot 308,5,"Paris Gare Montparnasse - Rrs, Paris",Wisecars,254.0,64.0,8.0
Paris,Fiat 500,4,"Gare De Lest, Effia P2 Niv -1, Paris",EconomyBookings,89.0,23.0,7.0
Paris,Fiat 500,4,ORY,Rentalcars,117.0,30.0,7.0
Paris,Fiat 500,4,ORY,EconomyBookings,117.0,30.0,8.0
Paris,Fiat 500,4,ORY,VIP Cars,117.0,30.0,9.8
Paris,Fiat 500,4,ORY,Booking.com,117.0,30.0,7.0
Paris,Fiat 500,4,ORY,Opodo,117.0,30.0,9.0
Paris,Fiat 500,4,ORY,Holiday Autos,117.0,30.0,9.0
Paris,Fiat 500,4,ORY,Argus Car Hire,117.0,30.0,9.0
Paris,Fiat 500,4,ORY,Enjoy Travel,117.0,30.0,4.8
Paris,Fiat 500,4,ORY,Hertz,117.0,30.0,6.2
Paris,Fiat 500,4,ORY,KAYAK,117.0,30.0,7.0
Paris,Fiat 500,4,ORY,easyCar,117.0,30.0,8.0
Paris,Fiat 500,4,LBG,KAYAK,101.0,26.0,9.2
Paris,Fiat 500,4,LBG,QEEQ.COM,101.0,26.0,9.2
Paris,Fiat 500,4,LBG,HolidayCars.com,102.0,26.0,8.0
Paris,Fiat 500,4,LBG,EconomyBookings,104.0,26.0,8.0
Paris,Fiat 500,4,LBG,Opodo,104.0,26.0,9.0
Paris,Fiat 500,4,LBG,Holiday Autos,104.0,26.0,9.0
Paris,Fiat 500,4,LBG,Argus Car Hire,104.0,26.0,9.0
Paris,Fiat 500,4,LBG,easyCar,104.0,26.0,8.0
Paris,Fiat 500,4,LBG,Europcar,104.0,26.0,8.0
Paris,Fiat 500X,5,LBG,KAYAK,114.0,29.0,9.2
Paris,Fiat 500X,5,LBG,QEEQ.COM,114.0,29.0,9.2
Paris,Fiat 500X,5,LBG,HolidayCars.com,115.0,29.0,8.0
Paris,Fiat 500X,5,LBG,EconomyBookings,117.0,30.0,8.0
Paris,Fiat 500X,5,LBG,Europcar,117.0,30.0,8.0
Paris,Opel Corsa,4,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,100.0,25.0,8.0
Paris,Opel Corsa,4,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,100.0,25.0,8.0
Paris,Opel Corsa,4,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,104.0,26.0,8.0
Paris,Opel Corsa,4,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,106.0,27.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",HolidayCars.com,95.0,24.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",EconomyBookings,97.0,25.0,8.0
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",VIP Cars,98.0,25.0,7.2
Paris,Renault Twingo,4,"Paris Gare Montparnasse - Rrs, Paris",Discover Cars,101.0,26.0,8.0
Paris,Fiat 500,4,"48 Bis Boulevard De Bercy, Paris",VIP Cars,154.0,39.0,8.0
