City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Prague,Volkswagen up!,4,PRG,Wisecars,53.0,14.0,7.8
Prague,Volkswagen up!,4,PRG,KAYAK,57.0,15.0,8.2
Prague,Volkswagen up!,4,PRG,QEEQ.COM,57.0,15.0,8.2
Prague,Volkswagen up!,4,PRG,Discover Cars,59.0,15.0,7.8
Prague,Ford Fiesta,5,PRG,KAYAK,52.0,13.0,9.8
Prague,Ford Fiesta,5,PRG,QEEQ.COM,52.0,13.0,9.8
Prague,Ford Fiesta,5,PRG,EconomyBookings,56.0,14.0,5.8
Prague,Ford Fiesta,5,PRG,Opodo,57.0,15.0,9.5
Prague,Ford Fiesta,5,PRG,Wisecars,58.0,15.0,9.2
Prague,Ford Fiesta,5,PRG,Rentalcars,80.0,20.0,7.8
Prague,Ford Fiesta,5,PRG,Booking.com,80.0,20.0,7.8
Prague,Volkswagen up!,4,PRG,Wisecars,57.0,15.0,7.8
Prague,Volkswagen up!,4,PRG,KAYAK,61.0,16.0,8.2
Prague,Volkswagen up!,4,PRG,QEEQ.COM,61.0,16.0,8.2
Prague,Volkswagen up!,4,PRG,Discover Cars,62.0,16.0,7.8
Prague,Volkswagen up!,4,"Revolucni Street 1044/23, Prague",VIP Cars,58.0,15.0,9.2
Prague,Volkswagen up!,4,"Revolucni Street 1044/23, Prague",Discover Cars,65.0,17.0,9.2
Prague,Ford Fiesta,5,PRG,KAYAK,59.0,15.0,9.8
Prague,Ford Fiesta,5,PRG,QEEQ.COM,59.0,15.0,9.8
Prague,Ford Fiesta,5,PRG,VIP Cars,60.0,15.0,9.2
Prague,Ford Fiesta,5,PRG,EconomyBookings,65.0,17.0,5.8
Prague,Ford Fiesta,5,PRG,Opodo,65.0,17.0,9.5
Prague,Ford Fiesta,5,PRG,Wisecars,67.0,17.0,9.2
Prague,Ford Fiesta,5,PRG,Rentalcars,94.0,24.0,7.8
Prague,Ford Fiesta,5,PRG,Booking.com,94.0,24.0,7.8
Prague,Volkswagen up!,4,Airport terminal,VIP Cars,58.0,15.0,9.2
Prague,Volkswagen up!,4,Airport terminal,Rentalcars,60.0,15.0,7.8
Prague,Volkswagen up!,4,Airport terminal,KAYAK,60.0,15.0,7.8
