City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Toronto,Chevrolet Spark,4,YYZ,KAYAK,67.0,17.0,7.8
Toronto,Chevrolet Spark,4,YYZ,QEEQ.COM,67.0,17.0,7.8
Toronto,Kia Rio,4,YYZ,KAYAK,67.0,17.0,7.8
Toronto,Kia Rio,4,YYZ,QEEQ.COM,67.0,17.0,7.8
Toronto,Toyota Corolla,5,YYZ,KAYAK,70.0,18.0,7.8
Toronto,Toyota Corolla,5,YYZ,QEEQ.COM,70.0,18.0,7.8
Toronto,Hyundai Accent,5,Shuttle,QEEQ.COM,278.0,70.0,10.0
Toronto,Hyundai Accent,5,Shuttle,Wisecars,288.0,72.0,9.2
Toronto,Hyundai Accent,5,Shuttle,Enjoy Travel,292.0,73.0,6.2
Toronto,Hyundai Accent,5,Shuttle,KAYAK,295.0,74.0,10.0
Toronto,Hyundai Elantra,5,Shuttle,QEEQ.COM,278.0,70.0,10.0
Toronto,Hyundai Elantra,5,Shuttle,Wisecars,291.0,73.0,9.2
Toronto,Hyundai Elantra,5,Shuttle,Enjoy Travel,295.0,74.0,6.2
Toronto,Hyundai Elantra,5,Shuttle,KAYAK,297.0,75.0,10.0
Toronto,Nissan Rogue,5,Shuttle,QEEQ.COM,350.0,88.0,10.0
Toronto,Nissan Rogue,5,Shuttle,Wisecars,375.0,94.0,9.2
Toronto,Nissan Rogue,5,Shuttle,Enjoy Travel,380.0,95.0,6.2
Toronto,Nissan Rogue,5,Shuttle,KAYAK,384.0,96.0,10.0
Toronto,Hyundai Sonata,5,Shuttle,QEEQ.COM,302.0,76.0,10.0
Toronto,Hyundai Sonata,5,Shuttle,Wisecars,337.0,85.0,9.2
Toronto,Hyundai Sonata,5,Shuttle,Enjoy Travel,341.0,86.0,6.2
Toronto,Hyundai Sonata,5,Shuttle,KAYAK,344.0,86.0,10.0
Toronto,Scion xD,4,Pick up at airport,Turo,75.0,19.0,5.2
Toronto,Kia Rio,4,call for pick-up,Wisecars,93.0,24.0,7.2
Toronto,Kia Rio,4,call for pick-up,VIP Cars,96.0,24.0,6.2
Toronto,Kia Rio,4,call for pick-up,Bsp Auto,96.0,24.0,7.2
Toronto,Kia Rio,4,call for pick-up,QEEQ.COM,99.0,25.0,8.0
Toronto,Kia Rio,4,call for pick-up,KAYAK,100.0,25.0,10.0
Toronto,Kia Rio,4,call for pick-up,EconomyBookings,102.0,26.0,6.2
Toronto,Kia Rio,4,call for pick-up,Discover Cars,102.0,26.0,9.2
Toronto,Economy car,5,Shuttle,Discover Cars,105.0,27.0,9.2
Toronto,Mazda Mazda2,5,YYZ,KAYAK,88.0,22.0,8.0
Toronto,Mazda Mazda2,5,YYZ,EconomyBookings,89.0,23.0,6.2
Toronto,Mazda Mazda2,5,YYZ,VIP Cars,93.0,24.0,7.2
Toronto,Mazda Mazda2,5,YYZ,Discover Cars,93.0,24.0,7.2
Toronto,Hyundai Elantra,5,Shuttle,Discover Cars,105.0,27.0,9.2
Toronto,Honda Civic,5,Shuttle,Discover Cars,105.0,27.0,9.2
Toronto,Mazda Mazda2,4,Shuttle,VIP Cars,187.0,47.0,5.0
Toronto,Mazda Mazda2,4,Shuttle,Discover Cars,201.0,51.0,6.2
Toronto,Volkswagen Jetta,5,Shuttle,KAYAK,90.0,23.0,7.8
Toronto,Volkswagen Jetta,5,Shuttle,QEEQ.COM,90.0,23.0,7.8
