Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,20:35 – 20:50,AMS Schiphol,LHR Heathrow,direct,1h 15m
19:55 – 22:15,LHR Heathrow,British Airways,AMS Schiphol,direct,1h 20m,21:35 – 21:55,AMS Schiphol,LHR Heathrow,direct,1h 20m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,20:35 – 20:50,AMS Schiphol,LHR Heathrow,direct,1h 15m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,16:40 – 17:00,AMS Schiphol,LHR Heathrow,direct,1h 20m
17:05 – 19:25,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,20:35 – 20:50,AMS Schiphol,LHR Heathrow,direct,1h 15m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,10:20 – 10:45,AMS Schiphol,LHR Heathrow,direct,1h 25m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,08:35 – 09:00,AMS Schiphol,LHR Heathrow,direct,1h 25m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,18:50 – 19:15,AMS Schiphol,LHR Heathrow,direct,1h 25m
17:50 – 20:10,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,20:35 – 20:50,AMS Schiphol,LHR Heathrow,direct,1h 15m
19:55 – 22:15,LHR Heathrow,British Airways,AMS Schiphol,direct,1h 20m,07:15 – 07:30,AMS Schiphol,LHR Heathrow,direct,1h 15m
20:25 – 22:35,LHR Heathrow,KLM,AMS Schiphol,direct,1h 10m,07:20 – 07:40,AMS Schiphol,LHR Heathrow,direct,1h 20m
11:45 – 14:05,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,20:35 – 20:50,AMS Schiphol,LHR Heathrow,direct,1h 15m
17:05 – 19:25,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,16:40 – 17:00,AMS Schiphol,LHR Heathrow,direct,1h 20m
17:50 – 20:10,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,16:40 – 17:00,AMS Schiphol,LHR Heathrow,direct,1h 20m
17:50 – 20:10,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,08:35 – 09:00,AMS Schiphol,LHR Heathrow,direct,1h 25m
17:50 – 20:10,LHR Heathrow,KLM,AMS Schiphol,direct,1h 20m,10:20 – 10:45,AMS Schiphol,LHR Heathrow,direct,1h 25m
