Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
17:55 – 21:10,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 15m,06:55 – 08:35,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 40m
17:55 – 21:10,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 15m,06:55 – 08:35,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 40m
17:55 – 21:10,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 15m,10:10 – 11:40,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
17:55 – 21:10,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 15m,12:20 – 13:45,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 25m
17:55 – 21:10,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 15m,17:45 – 19:15,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
17:55 – 21:10,LHR Heathrow,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 15m,10:10 – 11:40,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 05m,06:55 – 08:35,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 40m
13:20 – 16:25,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 05m,10:10 – 11:40,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 05m,12:20 – 13:45,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 25m
17:55 – 21:10,LHR Heathrow,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 15m,17:45 – 19:15,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,British Airways,BCN Barcelona-El Prat,direct,2h 05m,17:45 – 19:15,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,Iberia,BCN Barcelona-El Prat,direct,2h 05m,10:10 – 11:40,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 05m,10:10 – 11:40,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,Iberia,BCN Barcelona-El Prat,direct,2h 05m,17:45 – 19:15,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
13:20 – 16:25,LHR Heathrow,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 05m,17:45 – 19:15,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 30m
09:00 – 16:00,LHR Heathrow,Multiple Airlines,BCN Barcelona-El Prat,1 stop,STN,06:55 – 08:35,BCN Barcelona-El Prat,LHR Heathrow,direct,2h 40m
