Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
21:50 – 12:10 +1,LHR Heathrow,Gulf Air,DXB Dubai Intl,1 stop,BAH,07:55 – 14:45,DXB Dubai Intl,LHR Heathrow,1 stop,BAH
12:25 – 23:35,LHR Heathrow,British Airways,DXB Dubai Intl,direct,7h 10m,02:15 – 06:25,DXB Dubai Intl,LHR Heathrow,direct,8h 10m
21:50 – 12:10 +1,LHR Heathrow,Gulf Air,DXB Dubai Intl,1 stop,BAH,07:55 – 14:45,DXB Dubai Intl,LHR Heathrow,1 stop,BAH
12:25 – 23:35,LHR Heathrow,British Airways,DXB Dubai Intl,direct,7h 10m,10:20 – 14:20,DXB Dubai Intl,LHR Heathrow,direct,8h 00m
20:40 – 07:45 +1,LHR Heathrow,British Airways,DXB Dubai Intl,direct,7h 05m,02:15 – 06:25,DXB Dubai Intl,LHR Heathrow,direct,8h 10m
20:40 – 07:45 +1,LHR Heathrow,British Airways,DXB Dubai Intl,direct,7h 05m,10:20 – 14:20,DXB Dubai Intl,LHR Heathrow,direct,8h 00m
15:50 – 02:40 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 – 18:20,DXB Dubai Intl,LHR Heathrow,direct,7h 50m
09:10 – 20:00,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 – 18:20,DXB Dubai Intl,LHR Heathrow,direct,7h 50m
19:00 – 05:50 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 – 18:20,DXB Dubai Intl,LHR Heathrow,direct,7h 50m
09:10 – 20:00,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 – 20:00,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
19:00 – 05:50 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 – 11:40,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
19:00 – 05:50 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 – 20:00,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
15:50 – 02:40 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 – 11:40,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
09:10 – 20:00,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 – 11:40,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
15:50 – 02:40 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 – 20:00,DXB Dubai Intl,LHR Heathrow,direct,7h 55m
09:10 – 20:00,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,12:10 – 16:10,DXB Dubai Intl,LHR Heathrow,direct,8h 00m
15:50 – 02:40 +1,LHR Heathrow,Emirates,DXB Dubai Intl,direct,6h 50m,12:10 – 16:10,DXB Dubai Intl,LHR Heathrow,direct,8h 00m
