Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 17:30,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 12:40,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 11:25,FAO Faro,LHR Heathrow,1 stop,LIS
18:30 – 23:50,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 17:30,FAO Faro,LHR Heathrow,1 stop,LIS
18:30 – 23:50,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 12:40,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 18:55,FAO Faro,LHR Heathrow,1 stop,LIS
18:30 – 23:50,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 18:55,FAO Faro,LHR Heathrow,1 stop,LIS
18:30 – 23:50,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 11:25,FAO Faro,LHR Heathrow,1 stop,LIS
08:15 – 16:35,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 17:30,FAO Faro,LHR Heathrow,1 stop,LIS
08:15 – 16:35,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 12:40,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,11:15 – 21:35,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 10:30,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 17:30,FAO Faro,LHR Heathrow,1 stop,LIS
08:15 – 16:35,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 11:25,FAO Faro,LHR Heathrow,1 stop,LIS
06:00 – 16:35,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 12:40,FAO Faro,LHR Heathrow,1 stop,LIS
18:30 – 23:50,LHR Heathrow,TAP AIR PORTUGAL,FAO Faro,1 stop,LIS,06:05 – 18:55,FAO Faro,LHR Heathrow,1 stop,LIS
