Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
10:00 – 14:45,LHR Heathrow,Virgin Atlantic,MCO Orlando,direct,9h 45m,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
12:05 – 16:55,LHR Heathrow,Finnair,MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
12:05 – 16:55,LHR Heathrow,"Finnair, British Airways",MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
20:40 – 20:00 +1,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
12:15 – 20:00,LHR Heathrow,"Icelandair, Air France",MCO Orlando,1 stop,KEF,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
