Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
17:30 – 16:25 +1,LHR Heathrow,Lufthansa,HKG Hong Kong Intl,1 stop,FRA,23:45 – 07:45 +1,HKG Hong Kong Intl,LHR Heathrow,1 stop,FRA
22:25 – 18:20 +1,LHR Heathrow,Virgin Atlantic,HKG Hong Kong Intl,direct,11h 55m,23:40 – 04:40 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 00m
17:40 – 17:00 +1,LHR Heathrow,Turkish Airlines,HKG Hong Kong Intl,1 stop,IST,23:05 – 09:55 +1,HKG Hong Kong Intl,LHR Heathrow,1 stop,IST
11:15 – 07:00 +1,LHR Heathrow,Cathay Pacific,HKG Hong Kong Intl,direct,11h 45m,23:55 – 05:00 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 05m
22:25 – 18:20 +1,LHR Heathrow,"Virgin Atlantic, Cathay Pacific",HKG Hong Kong Intl,direct,11h 55m,23:55 – 05:00 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 05m
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, British Airways",HKG Hong Kong Intl,direct,11h 45m,23:45 – 04:55 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 10m
22:25 – 18:20 +1,LHR Heathrow,"Virgin Atlantic, British Airways",HKG Hong Kong Intl,direct,11h 55m,23:45 – 04:55 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 10m
06:25 – 07:00 +1,LHR Heathrow,"Air France, Cathay Pacific",HKG Hong Kong Intl,1 stop,CDG,23:55 – 05:00 +1,HKG Hong Kong Intl,LHR Heathrow,direct,13h 05m
22:25 – 18:20 +1,LHR Heathrow,"Virgin Atlantic, Finnair",HKG Hong Kong Intl,direct,11h 55m,10:25 – 17:00,HKG Hong Kong Intl,LHR Heathrow,1 stop,HEL
22:25 – 18:20 +1,LHR Heathrow,"Virgin Atlantic, Finnair",HKG Hong Kong Intl,direct,11h 55m,10:25 – 20:40,HKG Hong Kong Intl,LHR Heathrow,1 stop,HEL
22:25 – 18:20 +1,LHR Heathrow,"Virgin Atlantic, Turkish Airlines",HKG Hong Kong Intl,direct,11h 55m,23:05 – 09:55 +1,HKG Hong Kong Intl,LHR Heathrow,1 stop,IST
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, British Airways",HKG Hong Kong Intl,direct,11h 45m,00:35 – 13:05,HKG Hong Kong Intl,LHR Heathrow,1 stop,FRA
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, British Airways",HKG Hong Kong Intl,direct,11h 45m,01:35 – 10:25,HKG Hong Kong Intl,LHR Heathrow,1 stop,MAN
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, British Airways",HKG Hong Kong Intl,direct,11h 45m,01:35 – 11:50,HKG Hong Kong Intl,LHR Heathrow,1 stop,MAN
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, British Airways",HKG Hong Kong Intl,direct,11h 45m,01:35 – 13:50,HKG Hong Kong Intl,LHR Heathrow,1 stop,MAN
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, Lufthansa",HKG Hong Kong Intl,direct,11h 45m,00:35 – 08:45,HKG Hong Kong Intl,LHR Heathrow,1 stop,FRA
11:15 – 07:00 +1,LHR Heathrow,"Cathay Pacific, Lufthansa",HKG Hong Kong Intl,direct,11h 45m,00:35 – 10:45,HKG Hong Kong Intl,LHR Heathrow,1 stop,FRA
