Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
19:55 – 22:30,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,19:55 – 22:40,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
19:55 – 22:30,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,16:05 – 18:55,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
06:00 – 08:35,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,19:55 – 22:40,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
18:30 – 21:05,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,19:55 – 22:40,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
19:55 – 22:30,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,18:50 – 21:35,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
08:15 – 10:55,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 40m,19:55 – 22:40,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
06:00 – 08:35,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,16:05 – 18:55,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
19:55 – 22:30,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,14:40 – 17:30,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
18:30 – 21:05,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,16:05 – 18:55,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
08:15 – 10:55,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 40m,16:05 – 18:55,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
19:55 – 22:30,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,09:45 – 12:40,LIS Humberto Delgado,LHR Heathrow,direct,2h 55m
06:00 – 08:35,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,18:50 – 21:35,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
18:30 – 21:05,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,18:50 – 21:35,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
08:15 – 10:55,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 40m,18:50 – 21:35,LIS Humberto Delgado,LHR Heathrow,direct,2h 45m
06:00 – 08:35,LHR Heathrow,TAP AIR PORTUGAL,LIS Humberto Delgado,direct,2h 35m,14:40 – 17:30,LIS Humberto Delgado,LHR Heathrow,direct,2h 50m
