Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
11:10 – 15:05,LHR Heathrow,British Airways,AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
11:10 – 15:05,LHR Heathrow,British Airways,AGP Malaga,direct,2h 55m,12:30 – 14:25,AGP Malaga,LHR Heathrow,direct,2h 55m
12:45 – 16:40,LHR Heathrow,British Airways,AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
11:10 – 15:05,LHR Heathrow,"British Airways, Iberia",AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
12:45 – 16:40,LHR Heathrow,British Airways,AGP Malaga,direct,2h 55m,12:30 – 14:25,AGP Malaga,LHR Heathrow,direct,2h 55m
12:45 – 16:40,LHR Heathrow,"British Airways, Iberia",AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
12:45 – 16:40,LHR Heathrow,Iberia,AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
12:45 – 16:40,LHR Heathrow,"Iberia, British Airways",AGP Malaga,direct,2h 55m,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
12:45 – 16:40,LHR Heathrow,"Iberia, British Airways",AGP Malaga,direct,2h 55m,12:30 – 14:25,AGP Malaga,LHR Heathrow,direct,2h 55m
00:10 – 10:50,LHR Heathrow,Multiple Airlines,AGP Malaga,1 stop,BHX,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
14:10 – 21:30,LHR Heathrow,"Smartwings, British Airways",AGP Malaga,1 stop,PRG,20:55 – 22:45,AGP Malaga,LHR Heathrow,direct,2h 50m
11:10 – 15:05,LHR Heathrow,"British Airways, TAP AIR PORTUGAL",AGP Malaga,direct,2h 55m,06:00 – 12:40,AGP Malaga,LHR Heathrow,1 stop,LIS
11:10 – 15:05,LHR Heathrow,"British Airways, TAP AIR PORTUGAL",AGP Malaga,direct,2h 55m,06:00 – 17:30,AGP Malaga,LHR Heathrow,1 stop,LIS
14:10 – 21:30,LHR Heathrow,"Smartwings, British Airways",AGP Malaga,1 stop,PRG,12:30 – 14:25,AGP Malaga,LHR Heathrow,direct,2h 55m
11:10 – 15:05,LHR Heathrow,"British Airways, TAP AIR PORTUGAL",AGP Malaga,direct,2h 55m,15:10 – 21:35,AGP Malaga,LHR Heathrow,1 stop,LIS
