Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,07:00 – 07:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,20:35 – 20:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 10m
17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,11:50 – 12:10,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
