Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
11:10 – 14:10,LHR Heathrow,Lufthansa,YYZ Pearson Intl,direct,8h 00m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,Lufthansa,YYZ Pearson Intl,direct,8h 00m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
06:55 – 14:55,LHR Heathrow,Lufthansa,YYZ Pearson Intl,1 stop,MUC,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,Lufthansa,YYZ Pearson Intl,direct,8h 00m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,Air Canada,YYZ Pearson Intl,direct,8h 00m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,Air Canada,YYZ Pearson Intl,direct,8h 00m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
15:00 – 17:50,LHR Heathrow,Lufthansa,YYZ Pearson Intl,direct,7h 50m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
15:00 – 17:50,LHR Heathrow,Lufthansa,YYZ Pearson Intl,direct,7h 50m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Air Canada, Lufthansa",YYZ Pearson Intl,direct,8h 00m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Air Canada, Lufthansa",YYZ Pearson Intl,direct,8h 00m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Lufthansa, Air Canada",YYZ Pearson Intl,direct,8h 00m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Lufthansa, Air Canada",YYZ Pearson Intl,direct,8h 00m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
15:00 – 17:50,LHR Heathrow,Air Canada,YYZ Pearson Intl,direct,7h 50m,18:30 – 06:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
15:00 – 17:50,LHR Heathrow,Air Canada,YYZ Pearson Intl,direct,7h 50m,20:30 – 08:30 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Air Canada, British Airways",YYZ Pearson Intl,direct,8h 00m,18:20 – 06:25 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 05m
11:10 – 14:10,LHR Heathrow,"Lufthansa, British Airways",YYZ Pearson Intl,direct,8h 00m,22:05 – 10:05 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 00m
11:10 – 14:10,LHR Heathrow,"Lufthansa, British Airways",YYZ Pearson Intl,direct,8h 00m,18:20 – 06:25 +1,YYZ Pearson Intl,LHR Heathrow,direct,7h 05m
