,Unnamed: 0,Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
0,0,17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
1,1,19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
2,2,17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
3,3,20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,07:00 – 07:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
4,4,14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 – 21:25,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
5,5,19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
6,6,20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,20:35 – 20:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 10m
7,7,17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
8,8,19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
9,9,14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,18:25 – 18:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
10,10,17:35 – 19:55,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
11,11,19:45 – 22:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
12,12,14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 – 13:45,CDG Charles de Gaulle,LHR Heathrow,direct,1h 30m
13,13,14:45 – 17:05,LHR Heathrow,Air France,CDG Charles de Gaulle,direct,1h 20m,16:10 – 16:35,CDG Charles de Gaulle,LHR Heathrow,direct,1h 25m
14,14,20:30 – 22:50,LHR Heathrow,British Airways,CDG Charles de Gaulle,direct,1h 20m,11:50 – 12:10,CDG Charles de Gaulle,LHR Heathrow,direct,1h 20m
15,15,11:45 – 19:40,LHR Heathrow,KLM,ALC Alicante,1 stop,AMS,16:20 – 20:50,ALC Alicante,LHR Heathrow,1 stop,AMS
16,16,06:30 – 19:40,LHR Heathrow,KLM,ALC Alicante,1 stop,AMS,16:20 – 20:50,ALC Alicante,LHR Heathrow,1 stop,AMS
17,17,06:30 – 15:30,LHR Heathrow,KLM,ALC Alicante,1 stop,AMS,16:20 – 20:50,ALC Alicante,LHR Heathrow,1 stop,AMS
18,18,11:45 – 19:40,LHR Heathrow,KLM,ALC Alicante,1 stop,AMS,10:20 – 16:05,ALC Alicante,LHR Heathrow,1 stop,AMS
19,19,11:45 – 19:40,LHR Heathrow,"KLM, SAS",ALC Alicante,1 stop,AMS,11:20 – 18:30,ALC Alicante,LHR Heathrow,1 stop,OSL
20,20,06:30 – 15:30,LHR Heathrow,"KLM, SAS",ALC Alicante,1 stop,AMS,11:20 – 18:30,ALC Alicante,LHR Heathrow,1 stop,OSL
22,22,02:55 – 11:00,LHR Heathrow,Multiple Airlines,ALC Alicante,1 stop,LGW,16:20 – 20:50,ALC Alicante,LHR Heathrow,1 stop,AMS
23,23,11:45 – 19:40,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,13:50 – 18:55,ALC Alicante,LHR Heathrow,1 stop,MAD
24,24,11:45 – 19:40,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,09:25 – 14:55,ALC Alicante,LHR Heathrow,1 stop,MAD
25,25,06:30 – 15:30,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,13:50 – 18:55,ALC Alicante,LHR Heathrow,1 stop,MAD
26,26,06:30 – 15:30,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,09:25 – 14:55,ALC Alicante,LHR Heathrow,1 stop,MAD
27,27,11:45 – 19:40,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,09:25 – 18:55,ALC Alicante,LHR Heathrow,1 stop,MAD
28,28,06:30 – 15:30,LHR Heathrow,"KLM, Iberia",ALC Alicante,1 stop,AMS,09:25 – 18:55,ALC Alicante,LHR Heathrow,1 stop,MAD
29,29,11:45 – 19:40,LHR Heathrow,"KLM, SAS",ALC Alicante,1 stop,AMS,10:50 – 17:55,ALC Alicante,LHR Heathrow,1 stop,ARN
30,30,07:25 – 10:55,LHR Heathrow,ITA - Airways,FCO Fiumicino,direct,2h 30m,21:00 – 22:40,FCO Fiumicino,LHR Heathrow,direct,2h 40m
31,31,07:25 – 10:55,LHR Heathrow,ITA - Airways,FCO Fiumicino,direct,2h 30m,21:00 – 22:40,FCO Fiumicino,LHR Heathrow,direct,2h 40m
32,32,16:55 – 20:35,LHR Heathrow,ITA - Airways,FCO Fiumicino,direct,2h 40m,21:00 – 22:40,FCO Fiumicino,LHR Heathrow,direct,2h 40m
33,33,17:15 – 21:00,LHR Heathrow,"British Airways, ITA - Airways",FCO Fiumicino,direct,2h 45m,21:00 – 22:40,FCO Fiumicino,LHR Heathrow,direct,2h 40m
34,34,17:15 – 21:00,LHR Heathrow,British Airways,FCO Fiumicino,direct,2h 45m,06:20 – 08:20,FCO Fiumicino,LHR Heathrow,direct,3h 00m
35,35,16:55 – 20:35,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 40m,06:20 – 08:20,FCO Fiumicino,LHR Heathrow,direct,3h 00m
36,36,17:15 – 21:00,LHR Heathrow,British Airways,FCO Fiumicino,direct,2h 45m,13:45 – 15:35,FCO Fiumicino,LHR Heathrow,direct,2h 50m
37,37,16:55 – 20:35,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 40m,13:45 – 15:35,FCO Fiumicino,LHR Heathrow,direct,2h 50m
38,38,17:15 – 21:00,LHR Heathrow,British Airways,FCO Fiumicino,direct,2h 45m,17:15 – 19:00,FCO Fiumicino,LHR Heathrow,direct,2h 45m
39,39,07:25 – 10:55,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 30m,06:20 – 08:20,FCO Fiumicino,LHR Heathrow,direct,3h 00m
40,40,16:55 – 20:35,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 40m,17:15 – 19:00,FCO Fiumicino,LHR Heathrow,direct,2h 45m
41,41,07:25 – 10:55,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 30m,13:45 – 15:35,FCO Fiumicino,LHR Heathrow,direct,2h 50m
42,42,07:25 – 10:55,LHR Heathrow,"ITA - Airways, British Airways",FCO Fiumicino,direct,2h 30m,17:15 – 19:00,FCO Fiumicino,LHR Heathrow,direct,2h 45m
43,43,12:45 – 16:20,LHR Heathrow,British Airways,FCO Fiumicino,direct,2h 35m,06:20 – 08:20,FCO Fiumicino,LHR Heathrow,direct,3h 00m
44,44,12:45 – 16:20,LHR Heathrow,British Airways,FCO Fiumicino,direct,2h 35m,13:45 – 15:35,FCO Fiumicino,LHR Heathrow,direct,2h 50m
45,45,12:45 – 16:20,LHR Heathrow,"British Airways, ITA - Airways",FCO Fiumicino,direct,2h 35m,21:00 – 22:40,FCO Fiumicino,LHR Heathrow,direct,2h 40m
