Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,20:35 - 20:50,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 15m,£90
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,20:35 - 20:50,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 15m,£90
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,07:20 - 07:40,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 20m,£90
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,10:20 - 10:45,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,08:35 - 09:00,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
20:25 - 22:35,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 10m,18:50 - 19:15,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
11:45 - 14:05,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 20m,20:35 - 20:50,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 15m,£90
10:00 - 12:25,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 25m,20:35 - 20:50,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 15m,£90
11:45 - 14:05,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 20m,07:20 - 07:40,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 20m,£90
19:05 - 21:25,LHR Heathrow,N/A,British Airways,AMS Schiphol,direct,1h 20m,07:15 - 07:30,AMS Schiphol,N/A,British Airways,LHR Heathrow,direct,1h 15m,£83
19:05 - 21:25,LHR Heathrow,N/A,"British Airways, KLM",AMS Schiphol,direct,1h 20m,20:35 - 20:50,AMS Schiphol,N/A,"British Airways, KLM",LHR Heathrow,direct,1h 15m,£87
10:00 - 12:25,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 25m,07:20 - 07:40,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 20m,£90
11:45 - 14:05,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 20m,08:35 - 09:00,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
11:45 - 14:05,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 20m,10:20 - 10:45,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
11:45 - 14:05,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 20m,18:50 - 19:15,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
10:00 - 12:25,LHR Heathrow,N/A,KLM,AMS Schiphol,direct,1h 25m,18:50 - 19:15,AMS Schiphol,N/A,KLM,LHR Heathrow,direct,1h 25m,£90
