Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
10:25 - 12:05,LHR Heathrow,KUL,Multiple Airlines,DPS Bali Ngurah Rai,1 stop,17h 40m,13:00 - 07:10,DPS Bali Ngurah Rai,KUL,Multiple Airlines,LHR Heathrow,2 stops,26h 10m,£753
17:05 - 12:05,LHR Heathrow,AMS,KLM,DPS Bali Ngurah Rai,3 stops,35h 00m,19:15 - 09:00,DPS Bali Ngurah Rai,AMS,KLM,LHR Heathrow,3 stops,45h 45m,£556
10:25 - 15:25,LHR Heathrow,KUL,Multiple Airlines,DPS Bali Ngurah Rai,1 stop,21h 00m,13:00 - 07:10,DPS Bali Ngurah Rai,KUL,Multiple Airlines,LHR Heathrow,2 stops,26h 10m,£753
10:25 - 12:05,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,17h 40m,19:15 - 11:40,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,24h 25m,£775
10:25 - 12:05,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,17h 40m,19:15 - 13:50,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,26h 35m,£775
10:25 - 15:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,21h 00m,19:15 - 11:40,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,24h 25m,£775
10:25 - 15:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,21h 00m,19:15 - 13:50,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,26h 35m,£775
10:25 - 18:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,24h 00m,19:15 - 11:40,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,24h 25m,£779
10:25 - 12:05,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,17h 40m,16:25 - 11:40,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,27h 15m,£779
10:25 - 12:05,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,17h 40m,16:25 - 13:50,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,29h 25m,£779
10:25 - 15:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,21h 00m,16:25 - 11:40,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,27h 15m,£779
10:25 - 12:05,LHR Heathrow,KUL,Multiple Airlines,DPS Bali Ngurah Rai,1 stop,17h 40m,15:35 - 12:00,DPS Bali Ngurah Rai,KUL,Multiple Airlines,LHR Heathrow,2 stops,28h 25m,£776
10:25 - 18:25,LHR Heathrow,KUL,Multiple Airlines,DPS Bali Ngurah Rai,1 stop,24h 00m,13:00 - 07:10,DPS Bali Ngurah Rai,KUL,Multiple Airlines,LHR Heathrow,2 stops,26h 10m,£753
10:25 - 18:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,24h 00m,19:15 - 13:50,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,26h 35m,£779
10:25 - 12:05,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,17h 40m,16:25 - 16:10,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,31h 45m,£779
10:25 - 15:25,LHR Heathrow,KUL,"Malaysia Airlines, Emirates",DPS Bali Ngurah Rai,1 stop,21h 00m,16:25 - 13:50,DPS Bali Ngurah Rai,KUL,"Malaysia Airlines, Emirates",LHR Heathrow,2 stops,29h 25m,£779
