Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
22:00 - 19:15,LHR Heathrow,DXB,Emirates,BKK Suvarnabhumi,1 stop,14h 15m,21:15 - 07:10,BKK Suvarnabhumi,DXB,Emirates,LHR Heathrow,1 stop,16h 55m,£561
11:50 - 09:40,LHR Heathrow,N/A,Thai Airways,BKK Suvarnabhumi,direct,14h 50m,00:15 - 06:20,BKK Suvarnabhumi,N/A,Thai Airways,LHR Heathrow,direct,13h 05m,£853
22:00 - 19:15,LHR Heathrow,DXB,Emirates,BKK Suvarnabhumi,1 stop,14h 15m,21:15 - 07:10,BKK Suvarnabhumi,DXB,Emirates,LHR Heathrow,1 stop,16h 55m,£535
21:20 - 19:10,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,14h 50m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£736
15:10 - 19:10,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,21h 00m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£792
09:35 - 19:10,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,26h 35m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£725
08:25 - 19:10,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,27h 45m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£795
11:50 - 09:40,LHR Heathrow,HKT,Thai Airways,BKK Suvarnabhumi,1 stop,14h 50m,00:15 - 06:20,BKK Suvarnabhumi,HKT,Thai Airways,LHR Heathrow,direct,13h 05m,£814
13:40 - 12:05,LHR Heathrow,DXB,"Emirates, Thai Airways",BKK Suvarnabhumi,1 stop,15h 25m,00:15 - 06:20,BKK Suvarnabhumi,DXB,"Emirates, Thai Airways",LHR Heathrow,direct,13h 05m,£844
19:00 - 19:15,LHR Heathrow,DXB,"Emirates, Thai Airways",BKK Suvarnabhumi,1 stop,17h 15m,00:15 - 06:20,BKK Suvarnabhumi,DXB,"Emirates, Thai Airways",LHR Heathrow,direct,13h 05m,£844
09:35 - 06:30,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,13h 55m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£860
08:25 - 06:30,LHR Heathrow,DOH,"Qatar Airways, Thai Airways",BKK Suvarnabhumi,1 stop,15h 05m,00:15 - 06:20,BKK Suvarnabhumi,DOH,"Qatar Airways, Thai Airways",LHR Heathrow,direct,13h 05m,£845
17:05 - 14:35,LHR Heathrow,AMS,"KLM, Thai Airways",BKK Suvarnabhumi,1 stop,14h 30m,00:15 - 06:20,BKK Suvarnabhumi,AMS,"KLM, Thai Airways",LHR Heathrow,direct,13h 05m,£859
09:10 - 08:40,LHR Heathrow,SIN,"Singapore Airlines, Thai Airways",BKK Suvarnabhumi,1 stop,16h 30m,00:15 - 06:20,BKK Suvarnabhumi,SIN,"Singapore Airlines, Thai Airways",LHR Heathrow,direct,13h 05m,£873
20:20 - 19:15,LHR Heathrow,DXB,Emirates,BKK Suvarnabhumi,1 stop,15h 55m,21:15 - 07:10,BKK Suvarnabhumi,DXB,Emirates,LHR Heathrow,1 stop,16h 55m,£535
19:00 - 19:15,LHR Heathrow,DXB,Emirates,BKK Suvarnabhumi,1 stop,17h 15m,21:15 - 07:10,BKK Suvarnabhumi,DXB,Emirates,LHR Heathrow,1 stop,16h 55m,£535
