Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
17:55 - 21:10,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 15m,06:55 - 08:35,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 40m,£80
17:55 - 21:10,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 15m,06:55 - 08:35,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 40m,£80
17:55 - 21:10,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 15m,10:10 - 11:40,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 30m,£85
17:55 - 21:10,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 15m,12:20 - 13:45,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 25m,£100
17:55 - 21:10,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 15m,17:45 - 19:15,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 30m,£105
17:55 - 21:10,LHR Heathrow,N/A,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 15m,10:10 - 11:40,BCN Barcelona-El Prat,N/A,"British Airways, Iberia",LHR Heathrow,direct,2h 30m,£129
17:55 - 21:10,LHR Heathrow,N/A,"British Airways, Iberia",BCN Barcelona-El Prat,direct,2h 15m,17:45 - 19:15,BCN Barcelona-El Prat,N/A,"British Airways, Iberia",LHR Heathrow,direct,2h 30m,£162
13:20 - 16:25,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,06:55 - 08:35,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 40m,£185
13:20 - 16:25,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,10:10 - 11:40,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 30m,£190
08:25 - 11:30,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,06:55 - 08:35,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 40m,£199
13:20 - 16:25,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,12:20 - 13:45,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 25m,£203
08:25 - 11:30,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,10:10 - 11:40,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 30m,£204
13:20 - 16:25,LHR Heathrow,N/A,Iberia,BCN Barcelona-El Prat,direct,2h 05m,10:10 - 11:40,BCN Barcelona-El Prat,N/A,Iberia,LHR Heathrow,direct,2h 30m,£212
13:20 - 16:25,LHR Heathrow,N/A,British Airways,BCN Barcelona-El Prat,direct,2h 05m,17:45 - 19:15,BCN Barcelona-El Prat,N/A,British Airways,LHR Heathrow,direct,2h 30m,£208
17:55 - 21:10,LHR Heathrow,N/A,"British Airways, TAP AIR PORTUGAL",BCN Barcelona-El Prat,direct,2h 15m,10:50 - 17:30,BCN Barcelona-El Prat,N/A,"British Airways, TAP AIR PORTUGAL",LHR Heathrow,1 stop,7h 40m,£123
17:55 - 21:10,LHR Heathrow,N/A,"British Airways, KLM",BCN Barcelona-El Prat,direct,2h 15m,17:25 - 20:50,BCN Barcelona-El Prat,N/A,"British Airways, KLM",LHR Heathrow,1 stop,4h 25m,£139
