Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
21:50 - 12:10,LHR Heathrow,BAH,Gulf Air,DXB Dubai Intl,1 stop,10h 20m,07:55 - 14:45,DXB Dubai Intl,BAH,Gulf Air,LHR Heathrow,1 stop,10h 50m,£301
12:25 - 23:35,LHR Heathrow,N/A,British Airways,DXB Dubai Intl,direct,7h 10m,02:20 - 06:30,DXB Dubai Intl,N/A,British Airways,LHR Heathrow,direct,8h 10m,£359
12:25 - 23:35,LHR Heathrow,N/A,British Airways,DXB Dubai Intl,direct,7h 10m,10:20 - 14:20,DXB Dubai Intl,N/A,British Airways,LHR Heathrow,direct,8h 00m,£366
20:40 - 07:45,LHR Heathrow,N/A,British Airways,DXB Dubai Intl,direct,7h 05m,02:20 - 06:30,DXB Dubai Intl,N/A,British Airways,LHR Heathrow,direct,8h 10m,£401
15:50 - 02:40,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 - 18:20,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 50m,£401
09:10 - 20:00,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 - 18:20,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 50m,£401
19:00 - 05:50,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,14:30 - 18:20,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 50m,£401
15:50 - 02:40,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 - 11:40,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
19:00 - 05:50,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 - 20:00,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
15:50 - 02:40,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 - 20:00,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
19:00 - 05:50,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 - 11:40,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
09:10 - 20:00,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,07:45 - 11:40,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
09:10 - 20:00,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,16:05 - 20:00,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,7h 55m,£401
09:10 - 20:00,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,03:10 - 07:10,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,8h 00m,£401
15:50 - 02:40,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,12:10 - 16:10,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,8h 00m,£401
19:00 - 05:50,LHR Heathrow,N/A,Emirates,DXB Dubai Intl,direct,6h 50m,03:10 - 07:10,DXB Dubai Intl,N/A,Emirates,LHR Heathrow,direct,8h 00m,£401
