Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
21:15 - 22:35,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 20m,20:40 - 21:55,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 15m,£61
06:35 - 08:05,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 30m,20:40 - 21:55,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 15m,£62
21:15 - 22:35,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 20m,07:10 - 08:45,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 35m,£73
21:15 - 22:35,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 20m,17:50 - 19:20,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 30m,£75
21:15 - 22:35,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 20m,09:40 - 11:15,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 35m,£75
06:35 - 08:05,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 30m,07:10 - 08:45,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 35m,£75
06:35 - 08:05,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 30m,17:50 - 19:20,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 30m,£76
06:35 - 08:05,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 30m,09:40 - 11:15,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 35m,£76
21:15 - 22:35,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 20m,13:05 - 14:30,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 25m,£78
18:20 - 19:45,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 25m,20:40 - 21:55,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 15m,£79
06:35 - 08:05,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 30m,13:05 - 14:30,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 25m,£79
20:45 - 22:05,LHR Heathrow,N/A,"Aer Lingus, British Airways",DUB Dublin,direct,1h 20m,20:40 - 21:55,DUB Dublin,N/A,"Aer Lingus, British Airways",LHR Heathrow,direct,1h 15m,£84
18:45 - 20:05,LHR Heathrow,N/A,"Aer Lingus, British Airways",DUB Dublin,direct,1h 20m,20:40 - 21:55,DUB Dublin,N/A,"Aer Lingus, British Airways",LHR Heathrow,direct,1h 15m,£84
18:20 - 19:45,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 25m,07:10 - 08:45,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 35m,£91
18:20 - 19:45,LHR Heathrow,N/A,British Airways,DUB Dublin,direct,1h 25m,17:50 - 19:20,DUB Dublin,N/A,British Airways,LHR Heathrow,direct,1h 30m,£93
